document,actual,labeled,atheism,hockey,apple hardware,for sale,guns,electronics
53,alt.atheism,atheism,191,55,45,94,111,61
54,alt.atheism,atheism,99,26,23,23,29,26
55,alt.atheism,atheism,84,17,24,20,25,26
56,alt.atheism,atheism,122,23,34,36,38,37
57,alt.atheism,atheism,79,16,18,34,26,27
58,alt.atheism,atheism,102,19,21,38,29,31
59,alt.atheism,atheism,162,53,37,66,93,79
60,alt.atheism,atheism,131,47,35,60,67,55
61,alt.atheism,atheism,80,20,21,29,33,27
62,alt.atheism,atheism,109,21,22,45,50,45
63,alt.atheism,atheism,84,17,21,28,36,27
64,alt.atheism,atheism,130,48,46,51,74,39
65,alt.atheism,atheism,63,34,34,45,50,40
66,alt.atheism,atheism,68,17,12,17,24,20
67,alt.atheism,atheism,65,17,29,31,37,33
68,alt.atheism,atheism,59,11,22,24,29,30
69,alt.atheism,atheism,105,24,28,38,49,39
70,alt.atheism,atheism,145,58,39,77,78,61
71,alt.atheism,atheism,111,33,31,44,68,47
72,alt.atheism,atheism,68,18,22,45,29,30
73,alt.atheism,atheism,168,49,45,81,97,65
74,alt.atheism,atheism,54,25,22,26,24,20
75,alt.atheism,atheism,115,34,38,37,53,42
76,alt.atheism,atheism,89,36,19,30,29,26
77,alt.atheism,atheism,102,48,44,81,66,70
78,alt.atheism,atheism,70,22,14,24,26,16
79,alt.atheism,atheism,156,54,50,71,89,54
80,alt.atheism,atheism,107,33,45,49,36,34
81,alt.atheism,atheism,70,29,31,35,24,22
82,alt.atheism,atheism,102,43,40,60,65,50
83,alt.atheism,atheism,63,20,20,32,32,33
84,alt.atheism,atheism,465,126,119,187,241,206
85,alt.atheism,atheism,118,51,61,64,79,66
86,alt.atheism,atheism,140,34,38,62,64,49
87,alt.atheism,atheism,756,194,152,274,399,324
88,alt.atheism,atheism,200,57,48,69,86,60
89,alt.atheism,atheism,100,48,28,50,60,43
90,alt.atheism,atheism,53,20,18,33,29,20
91,alt.atheism,atheism,67,21,21,41,49,33
92,alt.atheism,atheism,56,20,16,22,20,15
93,alt.atheism,atheism,212,59,60,75,122,80
94,alt.atheism,atheism,108,31,27,51,73,55
95,alt.atheism,atheism,74,25,17,33,36,28
96,alt.atheism,atheism,171,58,39,82,86,59
97,alt.atheism,atheism,77,27,25,42,39,34
98,alt.atheism,atheism,128,33,34,48,51,47
99,alt.atheism,atheism,69,21,17,38,25,28
100,alt.atheism,atheism,131,52,36,57,97,74
101,alt.atheism,atheism,119,42,37,58,62,49
102,alt.atheism,atheism,223,72,48,119,135,81
103,alt.atheism,atheism,48,17,14,21,25,28
104,alt.atheism,atheism,72,12,20,22,24,31
105,alt.atheism,atheism,49,12,12,17,26,17
106,alt.atheism,atheism,70,20,20,26,31,30
107,alt.atheism,atheism,250,47,42,81,112,85
108,alt.atheism,atheism,54,23,17,30,39,23
109,alt.atheism,atheism,79,25,18,42,52,29
110,alt.atheism,atheism,124,38,38,61,69,48
111,alt.atheism,atheism,167,39,45,89,116,70
112,alt.atheism,atheism,95,28,30,49,70,54
113,alt.atheism,atheism,42,14,15,16,25,14
114,alt.atheism,atheism,729,222,160,382,515,330
115,alt.atheism,atheism,106,21,16,25,51,43
116,alt.atheism,atheism,57,14,11,20,29,27
117,alt.atheism,atheism,70,20,10,27,33,23
118,alt.atheism,atheism,72,21,21,37,50,26
119,alt.atheism,atheism,199,49,38,58,77,81
120,alt.atheism,atheism,47,10,18,14,17,23
121,alt.atheism,atheism,102,31,27,46,57,41
122,alt.atheism,atheism,138,50,39,46,71,54
123,alt.atheism,atheism,146,40,24,49,61,56
124,alt.atheism,atheism,88,27,22,42,76,46
125,alt.atheism,atheism,204,68,41,78,113,72
126,alt.atheism,atheism,53,12,13,20,18,19
127,alt.atheism,atheism,125,28,31,57,76,48
128,alt.atheism,atheism,243,44,38,65,122,82
129,alt.atheism,atheism,218,58,55,98,126,77
130,alt.atheism,atheism,57,19,15,24,30,20
131,alt.atheism,atheism,187,71,52,81,79,56
132,alt.atheism,atheism,90,39,29,41,43,44
133,alt.atheism,atheism,102,50,34,52,79,67
134,alt.atheism,atheism,468,114,111,172,247,182
135,alt.atheism,atheism,140,35,28,60,57,41
136,alt.atheism,atheism,123,35,27,50,57,47
137,alt.atheism,atheism,85,25,24,32,46,22
138,alt.atheism,atheism,43,10,6,15,14,12
139,alt.atheism,atheism,66,10,10,14,25,15
140,alt.atheism,atheism,180,58,30,58,99,71
141,alt.atheism,atheism,88,22,13,26,46,30
142,alt.atheism,atheism,262,92,68,102,133,124
143,alt.atheism,atheism,108,26,24,33,50,39
144,alt.atheism,atheism,151,34,28,42,69,46
145,alt.atheism,atheism,71,28,18,23,37,29
146,alt.atheism,atheism,119,36,36,51,63,54
147,alt.atheism,atheism,194,56,54,77,98,72
148,alt.atheism,atheism,343,88,69,115,183,141
149,alt.atheism,atheism,124,34,35,42,63,53
150,alt.atheism,atheism,489,161,98,160,274,161
151,alt.atheism,atheism,85,15,17,23,33,37
152,alt.atheism,atheism,158,41,38,54,67,53
153,alt.atheism,atheism,74,28,21,38,31,25
154,alt.atheism,atheism,50,12,15,28,16,19
155,alt.atheism,atheism,211,59,51,78,92,69
156,alt.atheism,for sale,44,37,19,64,33,28
157,alt.atheism,atheism,100,27,34,43,42,36
158,alt.atheism,atheism,47,15,23,24,17,19
159,alt.atheism,atheism,49,14,20,22,17,17
160,alt.atheism,atheism,76,41,34,57,55,45
161,alt.atheism,atheism,560,169,122,205,361,217
162,alt.atheism,atheism,55,24,25,30,54,49
163,alt.atheism,atheism,207,66,54,85,119,82
164,alt.atheism,atheism,90,22,28,34,38,36
165,alt.atheism,atheism,134,47,27,56,79,51
166,alt.atheism,atheism,116,21,28,45,46,59
167,alt.atheism,atheism,141,34,29,42,73,62
168,alt.atheism,atheism,314,79,60,111,155,96
169,alt.atheism,atheism,192,57,46,70,75,69
170,alt.atheism,atheism,177,46,34,62,89,73
171,alt.atheism,atheism,173,50,45,58,92,76
172,alt.atheism,atheism,466,106,96,203,280,170
173,alt.atheism,atheism,100,35,33,48,57,47
174,alt.atheism,atheism,132,55,47,75,87,62
175,alt.atheism,atheism,685,234,187,272,423,284
176,alt.atheism,atheism,121,30,31,34,46,35
177,alt.atheism,atheism,102,37,43,45,69,50
178,alt.atheism,atheism,316,124,87,132,175,155
179,alt.atheism,atheism,486,96,83,145,251,179
180,alt.atheism,atheism,67,35,18,31,49,29
181,alt.atheism,atheism,58,22,17,20,28,25
182,alt.atheism,atheism,86,20,13,25,36,31
183,alt.atheism,atheism,73,20,18,23,32,30
184,alt.atheism,atheism,62,27,24,35,29,32
185,alt.atheism,atheism,48,29,22,32,25,26
186,alt.atheism,atheism,77,33,29,47,50,44
187,alt.atheism,atheism,284,76,71,92,148,120
188,alt.atheism,atheism,31,12,13,12,13,15
189,alt.atheism,atheism,451,130,87,152,239,162
190,alt.atheism,atheism,739,206,158,238,426,287
191,alt.atheism,atheism,156,67,38,77,107,86
192,alt.atheism,atheism,2131,567,463,715,1270,812
193,alt.atheism,atheism,1978,406,376,526,1200,686
194,alt.atheism,atheism,408,206,249,189,272,238
195,alt.atheism,atheism,58,23,16,28,21,24
196,alt.atheism,atheism,48,24,25,33,38,28
197,alt.atheism,atheism,68,22,14,23,20,20
198,alt.atheism,atheism,322,83,65,134,176,117
199,alt.atheism,atheism,143,39,29,70,56,46
200,misc.forsale,apple hardware,18,11,28,27,11,23
201,misc.forsale,apple hardware,23,18,47,20,21,29
202,misc.forsale,for sale,21,19,26,38,17,21
203,misc.forsale,apple hardware,22,14,46,19,18,27
204,misc.forsale,apple hardware,26,53,54,41,23,44
205,misc.forsale,apple hardware,7,9,18,9,10,11
206,misc.forsale,apple hardware,16,14,39,18,13,18
207,misc.forsale,for sale,53,37,29,67,55,39
208,misc.forsale,for sale,22,34,45,64,42,47
209,misc.forsale,electronics,79,85,168,43,84,232
210,misc.forsale,hockey,20,35,28,32,28,26
211,misc.forsale,electronics,12,27,17,14,22,36
212,misc.forsale,apple hardware,18,12,46,17,13,17
213,misc.forsale,apple hardware,8,13,30,10,13,14
214,misc.forsale,apple hardware,46,31,73,37,52,48
215,misc.forsale,apple hardware,81,104,158,38,96,63
216,misc.forsale,apple hardware,48,41,114,50,57,67
217,misc.forsale,apple hardware,27,29,51,26,36,39
218,misc.forsale,apple hardware,7,6,28,9,8,10
219,misc.forsale,apple hardware,18,29,61,24,23,38
220,misc.forsale,apple hardware,17,20,43,30,12,15
221,misc.forsale,apple hardware,15,11,24,8,8,15
222,misc.forsale,apple hardware,87,106,173,63,137,98
223,misc.forsale,apple hardware,32,33,42,41,37,41
224,misc.forsale,electronics,10,24,20,9,1,32
225,misc.forsale,atheism,58,38,34,50,47,38
226,misc.forsale,electronics,15,14,21,18,17,22
227,misc.forsale,electronics,36,35,51,33,40,66
228,misc.forsale,atheism,84,38,48,72,65,55
229,misc.forsale,apple hardware,9,23,30,10,14,22
230,misc.forsale,apple hardware,15,15,49,14,17,24
231,misc.forsale,guns,27,26,19,32,34,32
232,misc.forsale,electronics,50,48,69,59,61,76
233,misc.forsale,apple hardware,29,28,56,26,34,36
234,misc.forsale,apple hardware,40,24,91,35,33,45
235,misc.forsale,apple hardware,35,20,39,28,21,27
236,misc.forsale,electronics,12,15,23,15,11,25
237,misc.forsale,electronics,7,13,19,8,5,25
238,misc.forsale,apple hardware,25,31,78,23,32,40
239,misc.forsale,apple hardware,45,23,78,31,30,39
240,misc.forsale,apple hardware,25,30,75,23,32,38
241,misc.forsale,apple hardware,31,26,77,14,35,30
242,misc.forsale,apple hardware,31,39,77,42,52,47
243,misc.forsale,apple hardware,14,13,28,14,13,17
244,misc.forsale,hockey,13,27,27,19,14,27
245,misc.forsale,apple hardware,35,20,61,34,36,45
246,misc.forsale,apple hardware,33,39,86,27,41,48
247,misc.forsale,apple hardware,35,20,61,36,31,37
248,misc.forsale,apple hardware,89,84,136,63,114,104
249,misc.forsale,apple hardware,36,40,141,31,52,56
250,misc.forsale,apple hardware,18,30,49,22,22,28
251,misc.forsale,apple hardware,40,35,46,38,42,41
252,misc.forsale,apple hardware,22,15,48,20,19,19
253,misc.forsale,hockey,34,66,42,32,62,58
254,misc.forsale,electronics,22,15,22,19,17,24
255,misc.forsale,apple hardware,39,34,79,32,42,61
256,misc.forsale,electronics,23,18,25,25,25,48
257,misc.forsale,apple hardware,18,12,27,18,19,19
258,misc.forsale,apple hardware,16,17,43,16,15,35
259,misc.forsale,apple hardware,21,7,33,23,19,20
260,misc.forsale,apple hardware,31,38,56,29,39,49
261,misc.forsale,apple hardware,19,17,54,14,24,26
262,misc.forsale,apple hardware,61,35,109,50,55,56
263,misc.forsale,apple hardware,9,8,25,10,19,15
264,misc.forsale,apple hardware,12,27,42,19,19,24
265,misc.forsale,apple hardware,62,51,160,51,60,87
266,misc.forsale,apple hardware,26,25,54,30,29,26
267,misc.forsale,electronics,102,76,91,94,113,170
268,misc.forsale,apple hardware,28,25,51,49,40,40
269,misc.forsale,guns,37,50,68,70,79,59
270,misc.forsale,apple hardware,14,14,17,16,15,15
271,misc.forsale,apple hardware,70,42,79,79,64,70
272,misc.forsale,apple hardware,24,29,55,28,23,33
273,misc.forsale,apple hardware,21,30,49,16,13,27
274,misc.forsale,apple hardware,45,36,60,34,41,39
275,misc.forsale,apple hardware,17,20,42,33,25,23
276,misc.forsale,apple hardware,38,28,45,32,24,29
277,misc.forsale,electronics,4,9,9,12,10,17
278,misc.forsale,apple hardware,24,27,67,21,37,40
279,misc.forsale,apple hardware,19,43,57,35,21,27
280,misc.forsale,electronics,52,70,69,68,67,83
281,misc.forsale,apple hardware,28,54,58,29,36,36
282,misc.forsale,apple hardware,33,40,84,30,38,63
283,misc.forsale,apple hardware,39,36,62,55,58,52
284,misc.forsale,apple hardware,23,25,98,28,38,40
285,misc.forsale,electronics,45,37,47,23,40,66
286,misc.forsale,electronics,55,49,66,42,52,86
287,misc.forsale,apple hardware,37,23,44,35,33,29
288,misc.forsale,electronics,16,24,24,16,25,26
289,misc.forsale,apple hardware,21,22,72,23,28,32
290,misc.forsale,apple hardware,17,26,30,19,20,27
291,misc.forsale,apple hardware,23,25,36,27,23,28
292,misc.forsale,apple hardware,32,33,74,29,31,43
293,misc.forsale,for sale,19,9,13,28,8,14
294,misc.forsale,apple hardware,13,20,30,18,17,26
295,misc.forsale,apple hardware,20,18,61,22,21,26
296,misc.forsale,apple hardware,19,23,49,21,16,27
297,misc.forsale,apple hardware,31,27,86,19,40,50
298,misc.forsale,apple hardware,12,5,29,19,9,16
299,misc.forsale,apple hardware,18,22,29,13,21,20
300,misc.forsale,apple hardware,19,22,29,12,21,20
301,misc.forsale,apple hardware,34,21,67,27,24,36
302,misc.forsale,apple hardware,22,14,57,24,25,27
303,misc.forsale,apple hardware,67,37,119,61,60,70
304,misc.forsale,apple hardware,40,46,52,40,45,31
305,misc.forsale,apple hardware,30,21,35,15,21,31
306,misc.forsale,electronics,35,44,33,39,41,91
307,misc.forsale,apple hardware,21,14,50,14,16,49
308,misc.forsale,apple hardware,32,52,54,22,46,49
309,misc.forsale,apple hardware,11,13,38,10,8,14
310,misc.forsale,apple hardware,24,29,44,17,17,36
311,misc.forsale,apple hardware,17,9,52,13,20,22
312,misc.forsale,apple hardware,18,21,32,17,18,26
313,misc.forsale,apple hardware,18,21,39,20,22,30
314,misc.forsale,apple hardware,20,25,50,16,35,21
315,misc.forsale,electronics,22,18,38,26,16,40
316,misc.forsale,apple hardware,18,17,75,11,27,23
317,misc.forsale,apple hardware,54,40,105,38,43,54
318,misc.forsale,apple hardware,96,62,210,49,119,70
319,misc.forsale,apple hardware,39,28,120,17,59,51
320,misc.forsale,apple hardware,30,26,82,20,45,32
321,misc.forsale,apple hardware,58,44,118,39,65,48
322,misc.forsale,electronics,124,117,116,103,130,132
323,misc.forsale,apple hardware,6,11,48,14,9,18
324,misc.forsale,electronics,23,18,20,15,14,25
325,misc.forsale,apple hardware,14,23,32,13,17,29
326,misc.forsale,electronics,13,19,17,13,17,31
327,misc.forsale,electronics,35,26,42,29,28,47
328,misc.forsale,apple hardware,6,6,9,3,6,7
329,misc.forsale,for sale,56,34,37,60,57,45
330,misc.forsale,guns,60,52,77,74,83,70
331,misc.forsale,electronics,27,37,35,36,37,40
332,misc.forsale,electronics,24,19,28,22,29,79
333,misc.forsale,apple hardware,9,16,23,20,15,17
334,misc.forsale,apple hardware,10,14,39,11,9,17
335,misc.forsale,apple hardware,20,32,66,24,40,40
336,misc.forsale,hockey,19,34,31,20,34,27
337,misc.forsale,electronics,14,26,24,18,18,29
338,misc.forsale,electronics,51,44,48,34,56,89
339,misc.forsale,electronics,20,37,34,27,33,46
340,misc.forsale,apple hardware,8,14,16,6,8,14
341,misc.forsale,apple hardware,15,15,29,15,14,20
342,misc.forsale,apple hardware,30,25,42,33,30,30
343,misc.forsale,apple hardware,20,12,36,31,9,17
344,misc.forsale,apple hardware,23,20,72,19,25,28
345,misc.forsale,apple hardware,61,44,123,32,49,62
346,misc.forsale,apple hardware,7,12,34,12,14,15
347,misc.forsale,apple hardware,71,57,152,45,72,63
348,misc.forsale,electronics,56,49,62,53,47,91
349,misc.forsale,hockey,35,60,52,42,38,44
350,misc.forsale,electronics,23,24,36,14,25,40
351,misc.forsale,electronics,66,66,79,71,81,83
352,misc.forsale,electronics,23,37,28,25,36,58
353,misc.forsale,apple hardware,42,30,66,19,35,31
354,misc.forsale,electronics,21,15,27,16,16,29
355,misc.forsale,apple hardware,27,27,53,22,24,28
356,misc.forsale,hockey,15,24,23,17,21,18
357,misc.forsale,apple hardware,13,18,50,23,15,13
358,misc.forsale,hockey,357,1138,329,194,433,272
359,misc.forsale,apple hardware,19,32,54,20,17,37
360,misc.forsale,hockey,103,304,114,63,119,78
361,misc.forsale,hockey,19,24,18,11,21,20
362,misc.forsale,apple hardware,16,20,50,20,25,22
363,misc.forsale,apple hardware,11,10,31,12,25,29
364,misc.forsale,apple hardware,72,84,158,82,104,82
365,misc.forsale,for sale,10,14,20,22,16,17
366,misc.forsale,electronics,8,7,22,4,14,24
367,misc.forsale,apple hardware,24,29,63,20,27,47
368,misc.forsale,apple hardware,9,11,19,15,3,10
369,misc.forsale,apple hardware,28,22,84,26,32,41
370,misc.forsale,apple hardware,12,14,42,19,18,19
371,misc.forsale,apple hardware,21,15,41,8,15,22
372,misc.forsale,apple hardware,37,43,87,26,51,67
373,misc.forsale,apple hardware,34,38,77,30,27,60
374,misc.forsale,apple hardware,18,28,41,22,25,28
375,misc.forsale,apple hardware,11,16,32,18,18,17
376,misc.forsale,electronics,14,20,22,17,16,24
377,misc.forsale,apple hardware,14,23,48,16,18,14
378,misc.forsale,apple hardware,33,22,38,26,21,36
379,misc.forsale,apple hardware,8,8,14,9,3,3
380,misc.forsale,apple hardware,11,11,28,15,7,6
381,misc.forsale,apple hardware,54,38,67,26,61,52
382,misc.forsale,apple hardware,7,19,24,8,9,6
383,misc.forsale,apple hardware,16,19,37,9,11,13
384,misc.forsale,apple hardware,34,42,80,41,39,48
385,misc.forsale,apple hardware,16,23,26,14,18,17
386,misc.forsale,for sale,15,20,28,29,18,25
387,misc.forsale,hockey,17,36,22,17,12,26
388,misc.forsale,electronics,15,13,22,16,18,30
389,misc.forsale,electronics,41,37,36,38,35,57
390,misc.forsale,apple hardware,23,14,59,22,26,24
391,misc.forsale,apple hardware,70,45,161,53,81,77
392,misc.forsale,apple hardware,18,17,67,13,18,28
393,misc.forsale,apple hardware,19,13,80,16,23,37
394,misc.forsale,atheism,61,31,58,48,53,59
395,misc.forsale,for sale,28,33,16,36,33,22
396,misc.forsale,apple hardware,11,16,45,21,13,18
397,misc.forsale,for sale,254,330,314,690,316,311
398,misc.forsale,apple hardware,14,21,24,20,8,21
399,misc.forsale,apple hardware,9,15,26,14,9,11
400,rec.sport.hockey,hockey,272,370,97,228,260,194
401,rec.sport.hockey,hockey,76,123,26,60,49,54
402,rec.sport.hockey,hockey,60,91,36,45,59,33
403,rec.sport.hockey,hockey,27,59,26,29,23,25
404,rec.sport.hockey,for sale,20,25,11,34,11,9
405,rec.sport.hockey,hockey,75,135,29,76,83,62
406,rec.sport.hockey,hockey,27,35,23,30,21,23
407,rec.sport.hockey,hockey,7,15,10,11,7,6
408,rec.sport.hockey,hockey,54,134,38,67,66,49
409,rec.sport.hockey,hockey,50,105,36,52,54,53
410,rec.sport.hockey,hockey,46,682,56,35,167,55
411,rec.sport.hockey,hockey,32,406,41,21,125,42
412,rec.sport.hockey,hockey,15,77,20,28,20,16
413,rec.sport.hockey,hockey,27,40,14,28,36,33
414,rec.sport.hockey,hockey,59,132,41,52,60,67
415,rec.sport.hockey,hockey,45,81,18,50,39,42
416,rec.sport.hockey,hockey,55,72,31,45,59,42
417,rec.sport.hockey,hockey,139,216,58,129,137,98
418,rec.sport.hockey,hockey,22,39,21,26,12,20
419,rec.sport.hockey,hockey,127,169,43,100,97,79
420,rec.sport.hockey,hockey,66,106,31,60,68,53
421,rec.sport.hockey,hockey,52,233,29,48,62,43
422,rec.sport.hockey,hockey,15,45,9,15,11,22
423,rec.sport.hockey,electronics,70,86,43,68,66,90
424,rec.sport.hockey,hockey,53,153,28,63,59,62
425,rec.sport.hockey,hockey,80,116,51,76,65,83
426,rec.sport.hockey,hockey,8,16,7,12,6,7
427,rec.sport.hockey,hockey,36,244,24,49,49,42
428,rec.sport.hockey,hockey,28,77,17,36,31,31
429,rec.sport.hockey,atheism,144,131,61,139,120,94
430,rec.sport.hockey,hockey,36,86,24,35,40,33
431,rec.sport.hockey,hockey,35,63,31,32,29,31
432,rec.sport.hockey,hockey,28,44,24,43,23,27
433,rec.sport.hockey,hockey,26,99,21,24,23,37
434,rec.sport.hockey,for sale,45,46,39,63,39,32
435,rec.sport.hockey,hockey,28,77,15,23,36,35
436,rec.sport.hockey,hockey,37,52,18,29,30,30
437,rec.sport.hockey,hockey,10,22,13,15,7,15
438,rec.sport.hockey,hockey,51,85,22,45,47,41
439,rec.sport.hockey,hockey,91,175,36,72,94,60
440,rec.sport.hockey,hockey,21,48,16,24,24,23
441,rec.sport.hockey,electronics,31,40,27,29,31,41
442,rec.sport.hockey,hockey,56,102,45,61,66,44
443,rec.sport.hockey,hockey,78,125,39,77,80,61
444,rec.sport.hockey,hockey,21,44,11,16,18,16
445,rec.sport.hockey,hockey,48,75,25,31,42,23
446,rec.sport.hockey,hockey,56,97,45,66,57,64
447,rec.sport.hockey,for sale,36,54,27,59,30,38
448,rec.sport.hockey,hockey,57,109,31,57,47,47
449,rec.sport.hockey,hockey,32,65,22,32,33,27
450,rec.sport.hockey,hockey,72,100,31,67,59,49
451,rec.sport.hockey,hockey,39,48,17,48,28,23
452,rec.sport.hockey,hockey,58,92,30,42,48,41
453,rec.sport.hockey,for sale,54,47,33,95,40,35
454,rec.sport.hockey,hockey,16,29,17,25,6,13
455,rec.sport.hockey,hockey,118,207,47,99,110,75
456,rec.sport.hockey,hockey,45,134,44,59,47,44
457,rec.sport.hockey,hockey,75,110,43,87,69,58
458,rec.sport.hockey,hockey,21,74,25,15,10,21
459,rec.sport.hockey,hockey,72,109,38,83,82,59
460,rec.sport.hockey,hockey,88,151,43,81,101,69
461,rec.sport.hockey,hockey,67,157,58,83,73,80
462,rec.sport.hockey,hockey,94,170,47,90,103,76
463,rec.sport.hockey,hockey,63,148,24,64,69,62
464,rec.sport.hockey,hockey,301,970,152,289,385,295
465,rec.sport.hockey,hockey,94,155,28,84,68,67
466,rec.sport.hockey,hockey,63,146,40,77,71,52
467,rec.sport.hockey,hockey,56,241,30,53,63,45
468,rec.sport.hockey,hockey,78,129,38,70,67,70
469,rec.sport.hockey,hockey,29,353,48,40,45,22
470,rec.sport.hockey,hockey,39,52,31,32,43,41
471,rec.sport.hockey,hockey,139,229,65,107,126,98
472,rec.sport.hockey,electronics,15,10,21,13,21,26
473,rec.sport.hockey,hockey,154,266,65,122,161,121
474,rec.sport.hockey,hockey,35,59,16,39,35,33
475,rec.sport.hockey,hockey,22,50,13,24,26,27
476,rec.sport.hockey,hockey,42,66,18,40,33,27
477,rec.sport.hockey,hockey,9,102,12,16,27,13
478,rec.sport.hockey,hockey,43,51,28,48,47,34
479,rec.sport.hockey,hockey,12,124,15,14,23,11
480,rec.sport.hockey,hockey,100,538,103,113,136,109
481,rec.sport.hockey,hockey,63,800,68,91,78,78
482,rec.sport.hockey,hockey,24,43,18,24,20,31
483,rec.sport.hockey,hockey,31,68,12,28,30,27
484,rec.sport.hockey,hockey,29,77,19,28,24,19
485,rec.sport.hockey,for sale,36,35,24,40,22,23
486,rec.sport.hockey,hockey,38,50,42,47,39,44
487,rec.sport.hockey,hockey,75,110,36,78,70,52
488,rec.sport.hockey,hockey,95,154,31,95,116,78
489,rec.sport.hockey,hockey,27,63,21,25,31,25
490,rec.sport.hockey,hockey,109,178,48,105,124,97
491,rec.sport.hockey,hockey,45,95,15,37,51,51
492,rec.sport.hockey,hockey,67,125,30,66,62,59
493,rec.sport.hockey,hockey,33,77,10,29,35,43
494,rec.sport.hockey,hockey,25,49,13,26,26,32
495,rec.sport.hockey,hockey,86,154,47,92,101,77
496,rec.sport.hockey,hockey,49,102,31,48,46,48
497,rec.sport.hockey,hockey,94,166,62,92,101,85
498,rec.sport.hockey,hockey,20,42,15,26,21,26
499,rec.sport.hockey,atheism,37,37,13,36,20,17
500,rec.sport.hockey,hockey,40,68,19,35,34,34
501,rec.sport.hockey,hockey,97,259,60,102,118,98
502,rec.sport.hockey,hockey,11,43,11,15,11,15
503,rec.sport.hockey,electronics,21,17,15,15,17,27
504,rec.sport.hockey,apple hardware,7,6,10,9,8,10
505,rec.sport.hockey,hockey,60,105,28,56,51,66
506,rec.sport.hockey,hockey,149,301,64,119,145,112
507,rec.sport.hockey,hockey,51,76,35,48,48,48
508,rec.sport.hockey,hockey,29,53,11,23,28,31
509,rec.sport.hockey,hockey,32,111,27,33,30,35
510,rec.sport.hockey,hockey,41,66,21,47,38,40
511,rec.sport.hockey,hockey,102,132,54,93,115,71
512,rec.sport.hockey,hockey,117,194,52,126,135,97
513,rec.sport.hockey,hockey,14,25,13,17,13,14
514,rec.sport.hockey,hockey,26,73,18,32,22,24
515,rec.sport.hockey,apple hardware,12,21,26,22,13,24
516,rec.sport.hockey,hockey,29,60,24,34,29,20
517,rec.sport.hockey,hockey,33,40,16,35,21,23
518,rec.sport.hockey,for sale,7,6,10,11,8,10
519,rec.sport.hockey,hockey,21,53,20,31,17,19
520,rec.sport.hockey,hockey,1646,6198,1301,1272,2466,1562
521,rec.sport.hockey,hockey,48,83,32,65,43,44
522,rec.sport.hockey,hockey,34,69,32,41,25,30
523,rec.sport.hockey,hockey,78,146,42,82,75,73
524,rec.sport.hockey,hockey,120,185,60,129,117,101
525,rec.sport.hockey,hockey,73,170,47,66,75,62
526,rec.sport.hockey,hockey,63,139,30,42,55,49
527,rec.sport.hockey,hockey,23,141,30,29,32,29
528,rec.sport.hockey,hockey,69,102,22,59,63,61
529,rec.sport.hockey,hockey,72,88,29,80,53,54
