document,actual,for sale,hockey,apple hardware,atheism,email filler,university misc,electronics,guns
33,atheism,9.43,2.05,3.69,64.96,6.76,5.74,3.48,3.89
34,atheism,9.85,6.4,5.91,27.09,15.76,19.21,8.37,7.39
35,university misc,14.55,7.04,7.51,18.31,13.15,25.35,7.98,6.1
36,atheism,14.8,3.0,5.0,52.2,4.4,9.8,3.6,7.2
37,atheism,9.48,4.74,9.05,39.66,15.09,8.62,6.03,7.33
38,atheism,15.5,9.3,13.18,22.48,10.85,10.08,9.3,9.3
39,university misc,19.25,6.1,7.51,17.37,8.45,24.88,7.51,8.92
40,atheism,11.17,6.15,7.26,25.14,8.38,23.46,7.82,10.61
41,university misc,5.71,5.24,6.67,29.52,6.19,32.86,6.19,7.62
42,atheism,14.41,3.24,4.71,46.76,3.53,13.82,4.71,8.82
43,university misc,9.34,6.04,6.59,20.88,7.14,34.07,8.24,7.69
44,atheism,21.93,4.83,6.69,34.94,8.92,7.81,7.43,7.43
45,atheism,14.04,3.07,5.04,58.33,3.95,4.82,5.7,5.04
46,university misc,20.1,8.25,6.7,18.04,8.25,23.2,7.73,7.73
47,university misc,7.41,7.41,8.02,20.37,6.79,37.04,6.17,6.79
48,atheism,16.08,8.39,9.09,23.78,11.89,11.19,8.39,11.19
49,atheism,16.27,4.14,3.25,45.56,9.47,9.47,6.51,5.33
50,atheism,20.16,4.94,5.76,33.33,6.58,15.64,6.58,7.0
51,atheism,10.85,7.75,7.75,24.81,10.08,21.71,8.53,8.53
52,atheism,9.41,5.1,6.67,41.57,5.1,10.59,7.06,14.51
53,atheism,18.27,4.33,13.31,38.39,6.19,8.05,5.88,5.57
54,university misc,9.47,7.37,5.79,23.68,6.84,34.21,5.79,6.84
55,university misc,8.14,5.81,6.98,16.86,6.98,40.12,7.56,7.56
56,university misc,10.23,4.65,5.12,17.67,9.3,41.4,5.12,6.51
57,university misc,9.94,5.52,6.08,10.5,7.18,44.2,7.73,8.84
58,university misc,14.29,5.1,5.1,9.69,7.65,43.88,6.12,8.16
59,atheism,13.19,6.23,5.86,44.69,4.4,10.99,9.89,4.76
60,university misc,18.91,5.46,5.04,13.45,6.3,37.82,4.62,8.4
61,university misc,12.07,6.32,7.47,21.26,6.9,29.31,7.47,9.2
62,atheism,13.27,6.12,6.63,28.57,5.1,25.51,7.65,7.14
63,atheism,8.88,5.92,6.51,37.87,6.51,20.12,5.92,8.28
64,atheism,10.04,4.02,5.22,40.16,15.26,9.24,7.23,8.84
65,for sale,20.56,8.89,11.67,18.33,10.0,8.33,8.89,13.33
66,atheism,7.64,6.37,7.64,38.22,6.37,19.75,7.64,6.37
67,university misc,10.12,5.95,7.74,17.86,9.52,27.98,8.33,12.5
68,university misc,7.69,6.41,8.97,19.87,7.69,29.49,10.26,9.62
69,atheism,10.5,5.0,5.5,34.0,7.0,22.0,8.0,8.0
70,atheism,15.94,4.38,5.18,37.05,9.56,12.35,9.56,5.98
71,atheism,13.64,5.91,6.36,41.36,7.73,9.09,7.27,8.64
72,university misc,10.65,6.51,7.1,19.53,8.28,32.54,7.69,7.69
73,university misc,15.15,4.38,8.42,22.56,4.38,32.32,5.05,7.74
74,university misc,9.59,8.22,7.53,21.92,7.53,28.77,8.9,7.53
75,atheism,6.7,6.22,7.18,33.01,4.78,27.75,8.13,6.22
76,atheism,12.72,6.94,6.94,39.31,9.83,10.4,6.36,7.51
77,for sale,24.9,4.98,9.13,21.99,11.2,10.79,9.13,7.88
78,atheism,12.03,7.59,6.96,29.11,10.13,17.72,8.23,8.23
79,atheism,12.45,4.15,6.04,45.28,6.42,8.68,5.28,11.7
80,university misc,8.8,5.56,6.94,13.89,5.09,49.54,5.09,5.09
81,university misc,8.7,8.07,8.07,21.74,7.45,33.54,6.21,6.21
82,atheism,11.21,8.88,9.35,23.83,5.61,20.56,7.01,13.55
83,atheism,9.49,7.59,6.96,32.28,10.76,18.99,6.96,6.96
84,atheism,23.34,2.11,2.76,49.59,4.21,3.73,10.86,3.4
85,atheism,15.64,5.76,9.05,27.16,9.47,13.99,8.23,10.7
86,atheism,14.29,4.62,5.88,43.28,4.2,15.13,5.88,6.72
87,atheism,18.92,2.98,4.36,57.28,2.44,3.19,7.44,3.4
88,atheism,11.18,6.21,4.97,49.69,7.14,8.7,7.14,4.97
89,university misc,16.19,5.71,10.0,22.86,7.14,23.81,6.67,7.62
90,university misc,12.0,7.33,9.33,18.0,7.33,29.33,7.33,9.33
91,atheism,9.76,6.71,7.32,25.0,9.15,16.46,7.93,17.68
92,atheism,9.03,9.72,7.64,26.39,6.94,21.53,9.72,9.03
93,atheism,13.35,3.42,5.59,48.76,8.07,7.14,7.76,5.9
94,atheism,16.17,4.68,6.81,24.68,5.96,14.47,11.91,15.32
95,atheism,10.71,6.55,8.33,30.95,9.52,14.29,11.9,7.74
96,atheism,21.99,3.9,8.51,41.49,4.26,8.51,5.32,6.03
97,university misc,8.67,7.51,6.94,17.34,9.25,28.9,7.51,13.87
98,atheism,5.96,4.26,6.81,31.06,6.81,30.21,6.81,8.09
99,university misc,7.1,6.51,7.1,22.49,11.24,31.36,5.92,8.28
100,atheism,17.04,5.56,8.52,28.15,8.89,13.7,5.56,12.59
101,atheism,15.38,4.52,6.79,32.58,8.14,17.19,7.69,7.69
102,atheism,18.16,3.25,4.34,42.82,5.96,7.59,5.15,12.74
103,atheism,12.84,10.14,10.14,22.3,13.51,11.49,9.46,10.14
104,atheism,9.82,6.13,7.98,32.52,9.2,14.72,11.66,7.98
105,university misc,9.86,8.45,9.15,20.42,9.86,22.54,7.75,11.97
106,atheism,8.62,6.32,7.47,25.86,21.84,13.79,6.9,9.2
107,atheism,9.09,3.23,4.99,64.22,4.11,4.99,4.99,4.4
108,university misc,19.61,7.19,7.19,15.69,6.54,22.88,7.19,13.73
109,atheism,19.54,6.32,6.32,22.99,5.75,20.11,7.47,11.49
110,atheism,18.69,4.67,6.54,29.44,7.48,18.22,6.07,8.88
111,atheism,21.83,4.23,3.87,32.75,6.69,14.08,5.99,10.56
112,atheism,17.26,5.58,7.11,21.83,6.09,18.78,9.14,14.21
113,university misc,9.49,8.03,8.76,16.06,7.3,29.2,9.49,11.68
114,atheism,26.16,2.73,2.84,48.32,1.47,6.09,4.1,8.3
115,atheism,8.72,5.13,7.18,44.62,8.21,13.85,5.64,6.67
116,atheism,14.86,6.76,6.76,21.62,12.16,17.57,10.14,10.14
117,atheism,11.66,7.98,7.36,28.22,9.82,18.4,7.36,9.2
118,atheism,12.43,7.57,7.57,22.7,10.27,13.51,7.57,18.38
119,atheism,5.08,5.42,5.08,56.61,6.1,8.47,7.46,5.76
120,atheism,10.53,9.02,12.78,21.05,12.78,14.29,12.03,7.52
121,atheism,11.5,6.0,8.0,39.0,6.5,14.0,6.5,8.5
122,atheism,13.33,6.25,5.42,46.25,7.08,7.5,6.25,7.92
123,atheism,8.57,5.31,4.49,52.24,5.71,5.71,11.02,6.94
124,atheism,8.92,5.63,7.04,33.8,7.04,7.98,9.39,20.19
125,atheism,16.88,3.12,5.0,49.06,5.31,5.31,7.19,8.12
126,atheism,11.68,8.03,9.49,33.58,9.49,13.14,7.3,7.3
127,atheism,14.05,5.37,5.79,34.71,9.5,16.53,6.2,7.85
128,atheism,8.73,3.31,4.82,63.55,4.22,5.12,6.63,3.61
129,atheism,16.91,5.04,6.82,41.54,4.15,8.31,6.23,10.98
130,university misc,8.9,7.53,7.53,24.66,6.85,27.4,8.9,8.22
131,atheism,10.77,4.04,5.05,36.36,12.12,19.87,6.4,5.39
132,university misc,12.63,7.07,7.07,22.73,7.58,27.27,5.56,10.1
133,atheism,15.32,10.08,8.06,25.0,7.66,11.69,8.47,13.71
134,atheism,15.47,2.66,3.66,60.9,3.16,4.99,3.66,5.49
135,atheism,8.37,5.29,6.17,53.3,5.73,8.81,7.05,5.29
136,university misc,12.73,5.45,5.0,28.64,4.55,31.36,5.45,6.82
137,atheism,13.16,5.79,7.89,34.74,10.0,7.37,7.37,13.68
138,atheism,8.87,8.87,8.06,37.1,9.68,9.68,9.68,8.06
139,atheism,10.2,8.16,7.48,42.86,8.84,7.48,7.48,7.48
140,atheism,14.39,4.68,4.32,53.24,5.76,5.4,6.83,5.4
141,atheism,12.43,6.21,6.78,38.42,9.6,7.91,9.6,9.04
142,atheism,16.62,4.9,4.36,50.95,4.63,4.63,10.08,3.81
143,atheism,13.02,5.73,8.33,47.92,6.25,7.29,5.73,5.73
144,atheism,7.76,4.49,9.39,54.29,4.9,7.76,5.31,6.12
145,university misc,10.69,8.18,7.55,19.5,7.55,27.67,8.18,10.69
146,atheism,16.74,4.65,5.12,39.53,7.44,11.16,8.84,6.51
147,atheism,15.25,3.73,5.76,48.47,6.44,8.81,5.08,6.44
148,atheism,9.69,3.08,3.96,61.67,4.19,6.61,5.51,5.29
149,atheism,10.36,6.31,5.86,44.59,7.21,9.91,8.11,7.66
150,atheism,10.85,2.07,2.87,63.96,2.87,3.99,5.9,7.5
151,atheism,7.47,6.32,8.05,41.38,6.32,13.22,10.92,6.32
152,atheism,11.2,4.4,6.0,53.6,7.2,7.6,4.8,5.2
153,university misc,9.14,7.43,7.43,24.0,10.86,28.0,5.71,7.43
154,university misc,10.14,7.97,7.25,23.19,10.87,23.91,9.42,7.25
155,atheism,11.6,3.76,5.33,54.23,7.84,6.58,3.76,6.9
156,for sale,27.27,10.8,7.95,11.93,12.5,9.09,8.52,11.93
157,atheism,9.64,5.58,6.09,37.06,7.61,18.78,7.11,8.12
158,university misc,8.21,8.96,7.46,20.15,10.45,26.12,9.7,8.96
159,university misc,9.15,8.45,7.75,22.54,9.86,25.35,8.45,8.45
160,atheism,14.93,7.46,5.97,20.9,12.44,19.9,6.97,11.44
161,atheism,19.32,1.9,2.59,58.1,3.13,2.45,5.71,6.8
162,university misc,11.6,7.18,6.08,13.81,7.73,20.99,18.23,14.36
163,atheism,9.88,4.01,6.17,42.9,5.25,13.27,8.02,10.49
164,atheism,11.89,7.03,5.95,34.05,6.49,18.92,8.65,7.03
165,atheism,11.76,6.72,5.04,46.64,4.62,12.18,6.3,6.72
166,atheism,6.11,4.8,6.55,41.48,5.24,15.72,11.35,8.73
167,atheism,8.73,5.24,6.11,54.59,6.55,6.11,6.99,5.68
168,atheism,10.73,3.2,2.97,59.59,3.65,6.85,6.39,6.62
169,atheism,11.69,4.55,6.49,48.38,7.14,12.34,4.87,4.55
170,atheism,9.85,4.74,5.47,52.19,5.84,9.12,7.3,5.47
171,atheism,12.92,5.17,6.64,54.24,4.8,6.64,5.54,4.06
172,atheism,15.19,2.85,2.85,53.01,3.16,8.07,4.11,10.76
173,atheism,12.89,6.7,7.22,40.72,9.79,9.79,6.7,6.19
174,atheism,19.92,7.2,5.93,32.2,8.47,11.86,5.51,8.9
175,atheism,18.02,2.21,5.0,60.81,4.3,2.67,3.6,3.37
176,atheism,11.47,6.88,6.88,27.52,6.88,26.61,7.34,6.42
177,atheism,12.81,7.88,8.87,36.45,11.33,7.39,6.9,8.37
178,atheism,20.65,3.71,5.34,53.13,4.41,2.78,5.57,4.41
179,atheism,11.07,2.04,4.43,70.19,2.73,2.73,3.92,2.9
180,atheism,12.29,8.38,9.5,30.73,10.61,11.17,7.26,10.06
181,atheism,6.76,6.76,11.49,30.41,9.46,16.89,9.46,8.78
182,atheism,10.92,6.32,8.62,40.23,8.05,8.62,9.2,8.05
183,atheism,8.64,6.17,9.26,38.89,9.88,11.11,8.02,8.02
184,atheism,20.38,8.92,7.64,24.2,12.74,8.92,7.01,10.19
185,atheism,19.59,6.76,12.16,21.62,9.46,12.16,6.76,11.49
186,atheism,17.28,6.28,6.81,27.75,12.04,10.47,8.38,10.99
187,atheism,13.71,3.3,4.57,55.33,3.81,4.82,7.11,7.36
188,atheism,11.97,8.55,9.4,21.37,11.97,16.24,9.4,11.11
189,atheism,12.19,2.87,2.87,69.0,2.33,4.12,4.12,2.51
190,atheism,15.66,1.42,2.96,61.34,2.85,3.72,3.72,8.32
191,university misc,22.22,4.66,5.38,19.71,5.73,27.6,5.02,9.68
192,atheism,8.89,1.9,1.32,71.39,2.87,1.63,3.69,8.31
193,atheism,7.0,1.02,1.2,79.26,1.02,0.75,3.68,6.07
194,atheism,5.23,4.24,13.98,35.31,18.64,12.01,7.34,3.25
195,atheism,17.45,8.05,10.07,28.86,8.72,12.08,7.38,7.38
196,for sale,19.5,9.43,6.92,16.98,15.09,8.81,10.69,12.58
197,atheism,11.18,8.07,8.07,26.71,11.18,17.39,9.94,7.45
198,atheism,18.22,3.33,4.44,55.78,4.89,3.78,3.56,6.0
199,atheism,13.77,4.86,5.26,47.37,9.72,9.72,4.05,5.26
200,atheism,13.29,11.56,9.25,23.12,12.14,12.72,6.94,10.98
201,university misc,11.35,10.92,5.68,18.78,6.11,21.83,11.79,13.54
202,university misc,17.05,10.85,10.08,15.5,9.3,18.6,10.08,8.53
203,atheism,15.16,2.04,2.6,66.52,2.38,2.38,5.09,3.85
204,atheism,15.89,4.3,5.3,43.71,4.3,12.25,6.29,7.95
205,atheism,10.29,11.03,9.56,30.15,11.03,9.56,8.82,9.56
206,atheism,15.11,7.19,9.35,23.74,12.23,14.39,9.35,8.63
207,university misc,17.65,5.19,9.34,14.19,11.42,20.76,10.73,10.73
208,atheism,18.26,5.48,5.94,42.47,6.85,7.31,7.76,5.94
209,atheism,17.5,8.75,8.33,25.0,12.08,13.75,4.58,10.0
210,for sale,30.37,4.81,5.19,25.56,7.04,12.96,8.89,5.19
211,university misc,14.29,10.92,8.4,12.61,10.08,24.37,10.92,8.4
212,atheism,13.83,5.85,6.91,39.89,6.38,11.7,7.45,7.98
213,atheism,10.06,8.18,8.18,30.82,9.43,13.84,11.32,8.18
214,atheism,15.47,7.73,7.18,26.52,6.63,19.89,8.29,8.29
215,atheism,25.87,4.63,6.56,34.75,5.79,10.81,6.18,5.41
216,atheism,21.2,7.07,7.07,26.63,8.15,12.5,10.33,7.07
217,atheism,12.38,10.48,13.33,16.19,11.43,16.19,10.48,9.52
218,atheism,20.62,4.03,4.5,46.92,9.24,4.5,5.21,4.98
219,university misc,10.93,5.46,6.01,21.31,6.01,36.61,6.56,7.1
220,atheism,16.0,8.0,9.14,33.71,6.86,10.29,6.86,9.14
221,atheism,17.92,6.94,9.25,32.95,8.09,8.09,8.67,8.09
222,atheism,9.52,5.95,8.33,32.14,8.33,13.1,10.71,11.9
223,atheism,22.95,8.74,8.74,28.42,9.29,8.74,6.56,6.56
224,atheism,8.67,5.61,7.14,42.86,5.61,11.22,9.18,9.69
225,atheism,11.54,6.59,7.69,44.51,6.04,8.79,6.59,8.24
226,atheism,10.11,4.12,4.87,35.96,6.37,29.21,5.62,3.75
227,atheism,11.54,8.97,7.05,27.56,15.38,14.1,7.69,7.69
228,atheism,11.43,3.57,4.64,35.36,5.36,26.43,6.07,7.14
229,for sale,22.76,8.28,10.34,11.72,8.28,20.69,6.9,11.03
230,atheism,17.7,3.61,4.26,27.87,4.26,27.21,7.87,7.21
231,for sale,23.03,11.21,6.67,17.88,6.06,10.3,6.97,17.88
232,atheism,12.74,6.6,6.13,32.08,7.08,21.23,6.13,8.02
233,atheism,10.81,4.5,6.31,36.04,7.66,22.07,6.31,6.31
234,atheism,9.23,3.87,3.57,51.19,3.57,7.14,5.06,16.37
235,atheism,7.71,4.91,4.21,50.23,3.27,6.31,4.67,18.69
236,atheism,10.42,5.83,5.83,45.83,10.0,5.83,6.67,9.58
237,atheism,10.73,4.73,3.79,45.43,5.68,18.61,5.36,5.68
238,atheism,15.38,5.92,10.65,29.59,7.69,15.38,7.1,8.28
239,atheism,16.8,4.72,3.94,53.81,4.46,5.51,4.99,5.77
240,university misc,15.29,3.92,6.67,27.45,4.31,29.8,7.84,4.71
241,atheism,8.72,5.13,5.13,28.72,7.18,26.67,5.64,12.82
242,atheism,13.46,7.69,8.97,23.72,7.69,20.51,10.26,7.69
243,university misc,13.87,5.78,6.36,17.92,5.78,35.84,8.09,6.36
244,atheism,7.52,6.19,7.52,41.15,7.52,12.83,5.75,11.5
245,atheism,12.12,6.67,10.91,32.12,9.7,12.12,7.88,8.48
246,university misc,12.23,12.23,7.19,11.51,10.07,30.22,7.91,8.63
247,atheism,13.85,5.64,5.64,37.44,7.69,17.44,6.15,6.15
248,for sale,27.73,7.03,9.38,18.36,12.11,10.16,7.81,7.42
249,atheism,25.06,3.34,4.06,50.6,4.53,3.58,4.77,4.06
250,atheism,25.0,3.36,4.41,42.65,6.51,6.3,3.78,7.98
251,university misc,12.44,8.13,8.13,11.96,7.66,31.1,8.13,12.44
252,atheism,9.01,3.73,5.28,55.9,3.42,11.49,5.9,5.28
253,atheism,10.61,4.92,4.55,50.0,4.92,12.5,6.06,6.44
254,university misc,9.6,8.0,9.6,15.2,8.8,31.2,8.0,9.6
255,atheism,10.27,6.85,10.27,23.97,7.53,21.92,9.59,9.59
256,atheism,11.11,6.54,8.5,24.18,7.84,23.53,9.15,9.15
257,atheism,9.14,8.0,6.86,27.43,9.14,25.71,8.0,5.71
258,atheism,9.66,8.52,8.52,24.43,17.61,11.93,8.52,10.8
259,atheism,12.64,4.98,6.51,40.23,13.41,9.58,5.75,6.9
260,atheism,21.21,6.57,6.57,22.22,13.13,14.65,7.07,8.59
261,atheism,8.5,6.07,8.91,38.06,14.57,12.55,5.67,5.67
262,atheism,23.81,7.94,7.41,25.93,5.82,9.52,6.88,12.7
263,for sale,25.53,7.98,8.51,12.23,9.57,9.04,9.57,17.55
264,for sale,31.6,5.2,5.2,25.28,8.18,8.92,7.81,7.81
265,university misc,16.67,8.0,8.0,11.33,19.33,20.67,8.0,8.0
266,atheism,24.9,6.23,5.84,32.68,8.17,7.0,6.23,8.95
267,atheism,13.56,5.05,3.46,53.72,2.93,10.11,7.18,3.99
268,for sale,29.6,5.38,7.62,19.28,14.8,10.31,4.48,8.52
269,atheism,14.17,5.51,3.94,45.28,7.09,9.06,5.51,9.45
270,atheism,15.61,4.46,5.2,49.44,4.83,7.81,7.43,5.2
271,atheism,15.87,8.47,6.35,22.22,14.29,8.47,11.64,12.7
272,atheism,11.64,8.22,6.85,29.45,12.33,11.64,8.9,10.96
273,university misc,9.45,8.66,7.87,22.05,9.45,24.41,8.66,9.45
274,atheism,8.81,6.22,6.74,37.82,12.44,7.77,5.7,14.51
275,atheism,15.94,4.83,6.76,40.58,7.73,12.08,6.28,5.8
276,atheism,17.52,4.14,7.01,26.43,11.78,19.11,9.87,4.14
277,atheism,9.52,6.8,7.48,30.61,7.48,21.09,8.16,8.84
278,atheism,11.17,5.59,6.15,35.75,5.59,21.79,7.26,6.7
279,atheism,19.19,5.05,6.06,30.3,5.05,20.71,6.57,7.07
280,university misc,12.41,7.59,8.28,17.24,8.28,28.28,8.97,8.97
281,atheism,11.92,6.22,7.25,41.97,7.25,10.36,5.7,9.33
282,atheism,8.8,6.0,7.2,50.8,6.0,8.4,6.8,6.0
283,atheism,16.43,5.24,5.94,48.25,5.59,6.29,5.59,6.64
284,for sale,29.09,5.45,5.45,20.45,6.36,20.0,7.27,5.91
285,atheism,16.73,5.06,5.06,31.13,5.06,17.9,7.39,11.67
286,atheism,16.99,5.01,4.18,44.57,3.34,15.32,4.74,5.85
287,atheism,12.36,7.3,7.87,26.4,7.3,24.72,7.87,6.18
288,atheism,13.57,6.03,5.53,42.71,9.05,9.55,5.53,8.04
289,atheism,15.93,4.87,6.19,31.86,6.19,20.35,7.08,7.52
290,atheism,20.41,5.44,7.14,30.61,5.1,8.84,7.14,15.31
291,atheism,16.33,4.01,4.87,51.29,4.3,8.31,5.16,5.73
292,university misc,9.66,6.9,6.9,14.48,8.28,35.17,8.97,9.66
293,atheism,20.45,4.83,5.2,43.49,5.95,7.06,7.43,5.58
294,university misc,17.89,5.05,5.5,23.39,5.05,26.61,7.34,9.17
295,atheism,11.21,4.74,6.03,40.09,4.31,21.55,6.03,6.03
296,atheism,8.47,4.24,5.08,48.73,4.24,16.95,5.08,7.2
297,atheism,14.0,6.5,6.0,26.5,6.0,22.5,6.5,12.0
298,university misc,12.16,6.76,8.11,19.59,9.46,25.0,9.46,9.46
299,atheism,16.86,4.21,4.21,36.4,5.36,21.46,5.75,5.75
300,university misc,20.63,5.83,4.93,21.97,5.83,27.35,6.73,6.73
301,for sale,27.64,3.73,5.59,24.53,12.42,8.39,9.94,7.76
302,for sale,28.27,6.81,6.28,16.23,17.8,7.85,9.95,6.81
303,atheism,12.32,7.11,8.53,28.91,13.74,8.06,7.58,13.74
304,atheism,15.5,6.5,6.5,34.5,7.0,16.0,6.5,7.5
305,atheism,13.0,5.5,6.0,34.0,7.0,16.5,8.0,10.0
306,atheism,12.38,4.46,3.71,45.05,3.96,12.87,9.41,8.17
307,university misc,12.43,6.49,6.49,21.08,8.11,30.81,7.57,7.03
308,university misc,18.22,4.67,5.14,16.36,7.48,27.57,10.75,9.81
309,atheism,9.0,3.86,3.22,50.16,4.5,17.68,3.22,8.36
310,atheism,16.67,5.24,7.62,32.86,6.19,14.76,7.62,9.05
311,atheism,10.55,4.0,4.36,45.82,4.73,7.27,6.18,17.09
312,atheism,15.35,5.39,8.71,38.59,9.96,8.3,9.54,4.15
313,university misc,19.11,6.37,8.28,14.65,7.01,25.48,8.92,10.19
314,university misc,19.25,7.45,6.21,18.63,6.21,26.71,6.83,8.7
315,atheism,12.21,3.82,5.34,45.42,4.58,17.56,5.34,5.73
316,atheism,13.61,7.1,5.92,30.18,6.51,23.08,6.51,7.1
317,email filler,17.88,6.15,5.59,10.61,30.17,14.53,6.7,8.38
318,university misc,7.8,7.09,7.09,18.44,9.22,29.08,9.93,11.35
319,university misc,14.36,7.18,5.52,17.68,5.52,30.94,8.84,9.94
320,atheism,13.78,5.12,5.91,38.98,4.72,21.26,4.72,5.51
321,for sale,23.02,4.91,7.92,21.51,10.94,16.98,6.42,8.3
322,atheism,14.16,2.95,4.42,46.9,3.24,17.11,5.01,6.19
323,atheism,10.42,6.94,8.33,37.5,9.03,13.19,6.94,7.64
324,atheism,9.36,5.85,8.77,30.99,8.19,21.64,8.19,7.02
325,atheism,10.0,7.69,7.69,28.46,10.0,20.77,7.69,7.69
326,atheism,11.72,8.28,8.97,24.14,7.59,20.69,8.28,10.34
327,atheism,15.72,6.92,6.92,28.3,7.55,16.98,8.81,8.81
328,atheism,17.48,8.39,7.69,24.48,13.29,12.59,7.69,8.39
329,university misc,9.38,7.29,5.21,22.92,6.25,33.85,6.25,8.85
330,atheism,14.39,6.82,4.92,39.39,4.17,15.91,7.58,6.82
331,atheism,20.69,4.74,6.03,34.91,5.17,16.81,6.9,4.74
332,atheism,13.91,6.62,7.28,27.81,6.62,18.54,7.95,11.26
333,atheism,10.37,6.1,6.71,30.49,7.32,21.34,6.1,11.59
334,university misc,14.74,10.0,6.32,14.74,10.53,18.95,8.95,15.79
335,atheism,13.2,5.08,9.14,33.5,6.6,15.74,9.14,7.61
336,university misc,14.21,6.01,7.1,20.77,8.74,28.96,8.2,6.01
337,atheism,12.82,7.18,5.13,37.44,11.79,10.77,8.21,6.67
338,atheism,7.66,7.66,5.24,43.95,11.69,10.48,7.26,6.05
339,university misc,8.96,5.97,6.47,23.88,9.95,24.38,6.97,13.43
340,university misc,9.38,5.73,7.81,17.71,8.33,31.77,10.94,8.33
341,for sale,35.48,9.68,7.53,12.9,13.98,8.06,5.38,6.99
342,atheism,14.38,6.54,7.19,34.64,13.07,9.15,8.5,6.54
343,atheism,13.69,3.71,4.18,54.76,4.18,9.51,4.41,5.57
344,atheism,18.88,3.72,5.32,51.33,3.46,4.79,4.79,7.71
345,atheism,8.71,5.39,4.15,47.3,6.22,14.94,6.22,7.05
346,atheism,10.06,3.91,5.59,56.15,5.87,6.98,7.26,4.19
347,atheism,9.34,6.04,6.59,31.87,11.54,14.84,7.14,12.64
348,atheism,16.17,7.14,7.52,34.96,10.15,6.02,10.15,7.89
349,for sale,29.35,5.07,8.7,28.26,6.52,7.61,7.25,7.25
350,email filler,13.41,7.82,7.82,12.85,30.17,9.5,8.38,10.06
351,atheism,15.73,7.02,5.06,38.2,5.06,11.8,3.93,13.2
352,atheism,10.43,8.59,9.2,36.2,9.82,8.59,6.75,10.43
353,university misc,12.73,10.0,10.91,13.64,11.82,20.91,9.09,10.91
354,atheism,11.65,5.4,4.26,50.28,4.55,9.94,4.83,9.09
355,atheism,18.99,2.78,3.29,45.06,5.57,10.63,5.82,7.85
356,atheism,8.39,3.87,4.52,52.58,4.52,11.94,4.19,10.0
357,atheism,18.29,6.1,9.15,25.61,8.54,12.8,8.54,10.98
358,atheism,19.4,4.31,6.9,34.05,9.91,12.93,4.74,7.76
359,atheism,24.41,1.74,1.95,44.1,2.26,2.87,3.9,18.77
360,atheism,17.12,2.19,2.91,62.3,4.37,4.37,3.28,3.46
361,atheism,13.61,6.51,7.69,34.32,7.1,12.43,9.47,8.88
362,atheism,11.68,6.09,8.12,41.12,7.11,8.12,7.11,10.66
363,university misc,11.5,7.08,6.64,16.37,6.64,35.84,7.08,8.85
364,university misc,11.76,5.88,5.88,25.0,6.37,26.96,6.37,11.76
365,university misc,8.7,7.25,7.25,19.57,10.87,28.99,8.7,8.7
