document,actual,apple hardware,electronics,email filler words,for sale,hockey,guns,atheism,misc
36,atheism,4.8,4.0,4.0,3.2,3.6,8.6,56.8,15.0
37,atheism,11.21,7.76,11.64,6.47,6.03,6.9,40.95,9.05
38,atheism,13.95,7.75,11.63,11.63,10.08,9.3,19.38,16.28
39,atheism,11.27,7.04,15.96,7.04,6.57,7.98,26.29,17.84
40,atheism,8.38,8.94,12.85,9.5,7.26,8.38,34.08,10.61
41,atheism,7.62,10.95,26.67,7.14,5.24,6.67,30.95,4.76
42,atheism,5.29,7.06,5.29,3.82,4.12,7.65,45.88,20.88
43,atheism,7.69,9.89,18.68,6.59,5.49,8.24,32.97,10.44
44,atheism,5.58,7.81,8.92,6.69,5.2,13.01,30.11,22.68
45,atheism,4.17,5.48,4.39,6.58,3.73,5.7,51.97,17.98
46,email filler words,7.73,8.25,24.23,6.7,8.25,8.76,14.43,21.65
47,email filler words,7.41,7.41,37.04,7.41,6.79,6.79,18.52,8.64
48,email filler words,10.49,8.39,21.68,7.69,6.99,8.39,20.98,15.38
49,atheism,4.44,4.73,14.5,4.44,4.14,7.4,47.04,13.31
50,atheism,4.94,7.82,11.11,5.35,4.53,7.0,37.86,21.4
51,atheism,9.3,8.53,13.18,7.75,7.75,9.3,32.56,11.63
52,atheism,6.27,9.8,10.2,4.71,5.49,12.94,39.22,11.37
53,atheism,9.6,5.88,9.6,5.57,5.26,8.67,42.41,13.0
54,atheism,6.32,7.37,7.37,7.37,6.84,5.79,46.84,12.11
55,atheism,6.4,6.98,12.79,6.98,6.4,6.98,45.35,8.14
56,atheism,6.05,6.51,9.3,8.37,5.58,6.05,48.37,9.77
57,atheism,6.08,5.52,20.44,7.18,6.08,8.29,36.46,9.94
58,atheism,7.14,8.67,12.24,6.12,7.14,6.63,40.31,11.73
59,atheism,7.69,7.69,9.16,7.69,5.13,7.69,42.49,12.45
60,atheism,5.88,6.72,20.17,7.14,5.04,6.72,32.35,15.97
61,atheism,7.47,6.32,13.22,6.9,7.47,8.62,37.36,12.64
62,atheism,7.14,8.16,11.22,5.1,6.63,6.63,45.92,9.18
63,atheism,6.51,7.69,8.88,6.51,6.51,7.69,46.75,9.47
64,atheism,6.02,6.02,10.44,12.45,5.22,10.04,40.56,9.24
65,misc,7.78,8.89,10.0,9.44,8.89,7.78,20.0,27.22
66,atheism,7.01,7.64,15.29,8.92,6.37,6.37,40.76,7.64
67,atheism,10.12,8.93,16.07,8.93,5.95,13.1,26.19,10.71
68,atheism,10.26,8.33,12.18,10.26,7.05,10.9,32.69,8.33
69,atheism,7.5,5.0,13.5,7.0,5.5,9.0,42.0,10.5
70,atheism,5.18,6.77,12.35,7.57,6.37,7.57,37.05,17.13
71,atheism,5.91,7.73,6.82,6.82,7.27,11.82,41.36,12.27
72,email filler words,7.1,5.92,29.59,9.47,7.1,7.1,23.08,10.65
73,atheism,5.72,5.72,15.15,4.71,4.38,6.4,43.43,14.48
74,atheism,8.9,8.22,19.86,7.53,6.85,8.9,28.77,10.96
75,atheism,7.18,4.78,17.22,5.74,7.18,6.7,44.02,7.18
76,atheism,6.94,7.51,13.87,6.36,7.51,8.67,39.31,9.83
77,misc,9.96,11.62,17.84,6.64,6.64,7.47,17.84,21.99
78,atheism,7.59,8.86,11.39,6.96,7.59,8.23,37.34,12.03
79,atheism,6.04,7.17,7.92,6.04,4.53,10.19,44.53,13.58
80,email filler words,5.56,6.48,45.37,6.02,5.09,6.48,16.67,8.33
81,atheism,6.83,6.83,26.09,6.83,8.07,6.83,27.95,10.56
82,atheism,7.48,9.81,13.55,8.41,7.94,13.08,30.37,9.35
83,atheism,10.76,9.49,15.82,8.23,8.86,8.23,29.11,9.49
84,atheism,3.89,12.16,3.57,3.08,2.76,5.35,50.57,18.64
85,atheism,10.7,11.93,13.58,9.05,5.35,8.23,27.57,13.58
86,atheism,6.3,4.62,10.92,6.72,5.04,6.3,49.58,10.5
87,atheism,2.98,8.71,3.19,2.66,3.29,2.55,59.72,16.9
88,atheism,6.21,5.9,11.18,8.39,6.52,5.28,43.48,13.04
89,atheism,6.19,8.1,12.38,5.71,6.19,12.38,30.0,19.05
90,atheism,10.0,8.0,13.33,7.33,6.67,10.67,28.0,16.0
91,atheism,6.71,12.8,11.59,8.54,9.15,14.02,22.56,14.63
92,atheism,8.33,9.72,12.5,9.03,9.72,9.72,31.25,9.72
93,atheism,7.45,6.52,9.01,5.59,4.35,6.52,49.69,10.87
94,atheism,5.53,13.19,10.21,7.66,5.11,13.62,32.34,12.34
95,atheism,7.74,10.71,14.88,8.93,7.14,6.55,35.71,8.33
96,atheism,8.16,4.61,9.22,4.26,4.96,6.38,44.68,17.73
97,email filler words,6.94,8.67,28.32,6.94,9.25,10.98,19.65,9.25
98,email filler words,5.96,7.66,32.34,5.96,5.96,8.09,28.94,5.11
99,email filler words,6.51,8.28,33.14,7.69,5.92,7.69,23.67,7.1
100,email filler words,7.41,6.67,24.07,5.56,5.19,11.85,24.07,15.19
101,atheism,4.98,6.79,14.48,9.5,5.88,5.88,37.1,15.38
102,atheism,4.34,4.07,6.23,3.79,3.52,12.2,44.44,21.41
103,atheism,10.14,15.54,14.86,11.49,8.11,7.43,23.65,8.78
104,atheism,6.75,9.2,14.72,8.59,6.75,9.2,34.36,10.43
105,atheism,8.45,8.45,11.27,9.86,10.56,12.68,28.17,10.56
106,atheism,8.05,8.05,13.22,9.77,6.9,10.92,34.48,8.62
107,atheism,5.57,6.74,4.11,3.23,2.93,3.81,64.81,8.8
108,atheism,8.5,7.19,13.07,9.15,7.19,13.07,21.57,20.26
109,atheism,8.05,8.05,9.2,6.9,6.9,10.92,32.18,17.82
110,atheism,7.94,7.48,10.75,6.07,5.14,9.35,29.44,23.83
111,atheism,4.23,5.99,5.99,4.58,4.93,9.51,40.14,24.65
112,atheism,7.11,7.61,9.14,6.09,5.58,12.18,29.44,22.84
113,atheism,10.22,9.49,14.6,7.3,8.03,13.14,29.2,8.03
114,atheism,2.52,4.94,2.52,2.21,1.89,6.72,47.69,31.51
115,atheism,8.21,6.15,6.67,6.15,6.15,7.69,49.23,9.74
116,atheism,9.46,11.49,8.11,8.11,6.76,10.81,31.76,13.51
117,atheism,7.36,10.43,13.5,8.59,6.75,11.04,29.45,12.88
118,atheism,7.03,11.89,10.27,9.19,8.11,18.38,23.24,11.89
119,atheism,6.1,6.1,6.78,4.75,6.1,5.76,58.31,6.1
120,atheism,12.78,9.77,13.53,9.77,8.27,9.02,24.06,12.78
121,atheism,9.0,7.5,11.0,6.0,8.0,8.5,36.0,14.0
122,atheism,4.58,7.92,7.92,6.25,5.83,7.08,51.67,8.75
123,atheism,4.9,8.57,6.94,6.12,4.9,5.31,51.02,12.24
124,atheism,10.33,7.98,6.1,5.63,5.16,22.07,32.86,9.86
125,atheism,5.0,5.94,8.12,5.94,4.06,9.38,45.0,16.56
126,atheism,8.76,8.76,16.06,8.03,8.03,8.03,32.85,9.49
127,atheism,6.61,5.37,18.18,8.68,4.55,9.09,36.78,10.74
128,atheism,3.92,6.63,4.82,3.61,3.92,4.52,63.55,9.04
129,atheism,4.75,6.82,9.5,4.75,3.56,9.79,45.99,14.84
130,atheism,7.53,6.85,15.07,7.53,7.53,8.9,35.62,10.96
131,atheism,7.74,6.73,13.47,5.05,4.71,6.73,43.1,12.46
132,email filler words,6.06,9.09,29.8,6.06,5.56,9.09,24.75,9.6
133,email filler words,6.05,5.24,24.19,6.85,8.06,14.52,21.77,13.31
134,atheism,2.33,5.49,5.82,2.83,1.83,6.32,63.39,11.98
135,atheism,5.73,5.29,6.17,6.61,5.73,5.73,55.07,9.69
136,atheism,5.45,8.64,10.0,5.0,5.91,8.18,44.55,12.27
137,atheism,7.89,6.84,13.16,9.47,7.37,12.11,31.05,12.11
138,atheism,8.06,8.06,11.29,8.87,9.68,9.68,34.68,9.68
139,atheism,7.48,8.16,8.84,7.48,6.8,6.8,44.9,9.52
140,atheism,4.32,5.76,5.76,7.19,6.83,5.4,53.24,11.51
141,atheism,7.91,7.34,7.34,6.21,6.78,10.73,42.94,10.73
142,atheism,4.63,4.9,5.18,4.36,3.0,5.72,52.32,19.89
143,atheism,7.81,8.33,7.29,7.29,5.21,5.73,46.35,11.98
144,atheism,6.53,7.35,9.39,5.71,4.9,6.12,51.84,8.16
145,atheism,7.55,6.92,11.32,8.18,6.92,9.43,37.11,12.58
146,atheism,7.44,9.77,13.49,5.12,4.65,7.44,40.0,12.09
147,atheism,5.08,4.07,10.51,5.76,4.41,4.41,45.08,20.68
148,atheism,2.86,6.39,6.17,2.86,3.08,4.85,61.67,12.11
149,atheism,5.86,6.76,6.76,5.86,6.31,7.21,50.45,10.81
150,atheism,2.87,5.1,3.03,2.87,2.55,7.18,60.61,15.79
151,atheism,6.9,13.22,9.77,5.75,6.32,6.32,42.53,9.2
152,atheism,6.8,5.2,9.6,5.6,6.8,4.8,50.4,10.8
153,atheism,9.71,8.57,20.57,5.71,8.0,8.57,29.14,9.71
154,atheism,7.97,8.7,21.74,7.25,7.25,7.25,28.26,11.59
155,atheism,6.58,4.7,7.52,5.64,5.33,5.02,53.29,11.91
156,email filler words,10.23,9.09,23.3,9.09,8.52,7.95,15.34,16.48
157,atheism,7.11,6.6,13.71,5.08,6.6,8.63,44.16,8.12
158,atheism,7.46,8.96,23.13,9.7,9.7,8.21,25.37,7.46
159,atheism,9.86,7.04,18.31,8.45,7.75,9.86,30.28,8.45
160,email filler words,7.96,7.96,27.86,7.46,6.97,10.95,15.42,15.42
161,atheism,2.99,7.35,3.81,3.13,1.77,10.07,52.52,18.37
162,email filler words,8.29,17.13,23.2,6.08,7.18,7.18,12.15,18.78
163,atheism,5.86,6.17,10.19,6.48,4.01,11.42,46.91,8.95
164,atheism,6.49,8.65,17.3,7.03,5.41,9.73,35.14,10.27
165,atheism,4.62,5.88,11.34,5.88,8.4,7.98,46.64,9.24
166,atheism,6.11,9.17,12.23,5.24,4.37,6.11,49.34,7.42
167,atheism,4.37,7.42,8.73,5.68,4.8,4.8,51.53,12.66
168,atheism,3.42,5.94,6.39,5.94,3.2,5.48,52.74,16.89
169,atheism,6.17,4.87,16.56,6.17,4.22,5.84,47.4,8.77
170,atheism,5.11,7.66,10.58,4.38,6.2,6.93,51.46,7.66
171,atheism,5.17,6.64,5.9,5.54,4.06,4.06,54.98,13.65
172,atheism,2.53,4.75,4.11,3.16,3.01,5.54,60.13,16.77
173,atheism,6.19,8.25,15.98,7.22,7.22,6.19,35.57,13.4
174,atheism,6.36,5.51,13.14,8.05,8.05,6.78,32.2,19.92
175,atheism,3.49,3.72,4.42,5.23,2.79,4.42,60.23,15.7
176,atheism,7.34,6.88,11.47,5.05,6.88,6.88,44.5,11.01
177,atheism,7.39,7.39,8.87,13.3,8.37,6.9,32.51,15.27
178,atheism,3.94,7.66,6.26,5.57,3.94,4.18,48.26,20.19
179,atheism,4.09,4.77,3.24,2.21,2.21,3.58,68.14,11.75
180,atheism,12.29,10.06,10.06,7.82,8.38,10.06,30.17,11.17
181,atheism,11.49,9.46,13.51,8.78,7.43,11.49,29.73,8.11
182,atheism,11.49,6.9,8.62,8.05,7.47,8.05,39.66,9.77
183,atheism,8.02,8.02,11.11,7.41,8.02,8.02,37.65,11.73
184,atheism,11.46,10.19,11.46,8.92,8.28,11.46,22.29,15.92
185,misc,14.86,7.43,14.86,8.78,8.11,12.16,16.22,17.57
186,atheism,14.14,9.95,8.9,7.85,7.85,13.61,19.9,17.8
187,atheism,5.33,7.11,4.82,3.05,3.81,6.35,56.85,12.69
188,atheism,16.24,9.4,11.11,10.26,8.55,11.97,17.95,14.53
189,atheism,1.97,4.3,3.05,2.15,2.33,2.15,72.58,11.47
190,atheism,2.08,2.74,1.97,3.18,1.64,6.02,67.03,15.33
191,atheism,6.09,7.17,13.98,6.81,5.73,8.96,27.6,23.66
192,atheism,1.16,3.61,1.55,2.25,1.51,6.37,73.25,10.29
193,atheism,0.84,4.21,0.66,2.08,1.2,3.5,82.01,5.49
194,atheism,12.29,7.34,17.23,12.15,5.37,2.97,37.57,5.08
195,atheism,10.74,7.38,15.44,8.72,9.4,6.71,29.53,12.08
196,misc,10.06,13.21,8.81,10.06,8.81,14.47,16.35,18.24
197,atheism,7.45,9.32,18.63,10.56,9.94,9.94,22.98,11.18
198,atheism,4.0,4.0,4.89,3.56,4.0,4.89,54.67,20.0
199,atheism,6.07,4.86,10.53,6.07,4.86,7.29,46.56,13.77
200,atheism,11.56,8.67,12.72,9.83,9.83,14.45,18.5,14.45
201,atheism,7.42,8.73,13.97,5.24,10.92,13.1,23.14,17.47
202,atheism,13.18,11.63,13.95,8.53,10.85,8.53,17.83,15.5
203,atheism,2.26,6.22,2.38,1.7,2.83,4.52,67.76,12.33
204,atheism,4.3,6.95,11.26,4.97,4.3,6.95,45.03,16.23
205,atheism,8.09,8.82,13.24,8.09,12.5,12.5,25.74,11.03
206,misc,9.35,8.63,15.11,13.67,7.91,8.63,12.23,24.46
207,email filler words,5.19,9.34,26.3,13.49,5.88,12.8,9.69,17.3
208,atheism,6.39,8.22,8.68,8.22,4.57,7.31,42.92,13.7
209,atheism,8.33,5.83,19.17,8.33,9.58,7.5,22.5,18.75
210,misc,5.93,6.67,10.74,7.04,5.93,6.67,26.67,30.37
211,email filler words,10.92,10.92,27.73,8.4,9.24,9.24,14.29,9.24
212,atheism,6.38,6.91,10.11,6.38,5.32,9.57,40.43,14.89
213,atheism,8.81,9.43,12.58,6.92,6.92,9.43,32.7,13.21
214,atheism,6.08,9.94,17.13,7.18,8.29,7.18,32.04,12.15
215,misc,6.18,5.02,11.97,5.02,5.79,7.34,28.57,30.12
216,atheism,8.15,10.87,15.76,7.61,6.52,9.24,25.54,16.3
217,email filler words,11.43,11.43,19.05,10.48,11.43,11.43,13.33,11.43
218,misc,4.03,6.64,7.11,6.87,3.55,4.74,26.78,40.28
219,atheism,9.29,6.01,15.85,5.46,7.1,6.01,37.7,12.57
220,atheism,9.14,9.14,9.71,12.57,7.43,6.29,26.29,19.43
221,atheism,9.25,9.25,9.25,8.09,6.36,9.83,32.37,15.61
222,atheism,11.31,8.93,12.5,7.14,6.55,10.71,33.33,9.52
223,atheism,10.38,6.56,10.38,6.01,7.1,8.2,26.78,24.59
224,atheism,8.16,5.1,9.18,7.65,6.63,12.24,40.31,10.71
225,atheism,10.44,6.04,8.24,5.49,6.04,6.59,31.87,25.27
226,atheism,4.49,6.37,14.98,6.74,4.49,4.49,49.06,9.36
227,misc,9.62,8.33,12.82,8.33,13.46,9.62,16.67,21.15
228,atheism,6.79,7.5,10.0,5.0,4.64,7.86,50.71,7.5
229,email filler words,14.48,9.66,18.62,8.28,7.59,8.97,15.17,17.24
230,atheism,3.93,5.9,12.79,7.54,4.59,4.92,39.67,20.66
231,misc,5.76,7.27,9.09,7.88,14.24,19.7,15.76,20.3
232,atheism,8.49,9.91,13.21,5.66,5.66,6.6,37.74,12.74
233,atheism,6.31,6.76,13.96,9.46,7.21,9.91,33.33,13.06
234,atheism,3.27,3.87,9.23,4.76,3.27,16.96,49.11,9.52
235,atheism,4.21,5.14,5.61,5.37,3.74,17.76,48.6,9.58
236,atheism,6.67,6.25,8.33,12.92,7.5,8.33,37.5,12.5
237,atheism,4.1,8.52,8.2,4.73,5.68,5.05,55.52,8.2
238,atheism,11.24,10.06,13.02,8.88,5.92,7.69,25.44,17.75
239,misc,4.46,5.25,6.82,3.15,4.72,6.04,25.2,44.36
240,atheism,5.88,12.94,8.63,4.71,4.71,4.31,34.9,23.92
241,atheism,6.15,6.67,11.79,6.15,6.15,9.74,42.05,11.28
242,atheism,6.41,8.33,12.82,7.69,7.69,8.33,33.97,14.74
243,atheism,9.83,9.83,8.67,7.51,6.36,7.51,34.68,15.61
244,atheism,7.08,5.31,11.95,7.96,4.87,11.06,41.15,10.62
245,atheism,12.73,9.7,8.48,7.88,6.67,8.48,32.12,13.94
246,atheism,9.35,12.95,15.83,9.35,10.07,9.35,21.58,11.51
247,atheism,7.18,5.13,9.74,7.69,6.15,8.72,41.54,13.85
248,misc,10.55,11.72,11.33,8.2,8.59,8.59,15.23,25.78
249,misc,3.82,5.01,4.77,3.82,3.58,4.53,27.92,46.54
250,misc,5.25,5.25,6.93,5.67,3.57,7.14,31.3,34.87
251,email filler words,9.09,10.05,28.23,8.13,10.53,11.48,12.44,10.05
252,atheism,4.97,8.39,6.21,3.11,3.11,5.28,57.45,11.49
253,atheism,5.68,8.71,8.33,4.92,5.68,7.58,47.73,11.36
254,atheism,8.0,10.4,18.4,8.0,8.0,8.0,31.2,8.0
255,atheism,8.22,8.9,11.64,9.59,6.85,10.96,34.25,9.59
256,atheism,7.84,11.76,11.76,9.15,6.54,12.42,29.41,11.11
257,atheism,10.86,11.43,10.29,8.57,6.86,6.86,32.57,12.57
258,atheism,8.52,7.95,13.64,9.66,13.07,11.36,23.3,12.5
259,atheism,4.98,8.81,10.34,8.81,6.13,8.43,43.68,8.81
260,atheism,8.59,8.08,18.18,9.09,5.05,7.07,24.75,19.19
261,atheism,11.74,7.69,12.15,7.29,6.88,6.88,34.82,12.55
262,atheism,9.52,7.41,8.47,5.82,8.47,12.7,28.04,19.58
263,misc,7.98,5.85,12.23,6.91,11.17,18.62,15.43,21.81
264,misc,8.92,7.43,7.06,8.55,6.69,9.29,25.65,26.39
265,email filler words,8.67,6.67,31.33,13.33,8.0,8.67,12.67,10.67
266,atheism,6.23,5.84,8.56,6.23,6.61,10.51,29.57,26.46
267,atheism,2.66,6.38,6.91,3.19,6.12,5.59,55.59,13.56
268,misc,7.62,6.28,20.18,6.73,7.62,5.83,19.28,26.46
269,atheism,5.51,6.69,8.27,5.51,5.12,9.84,46.46,12.6
270,atheism,7.06,10.78,8.92,3.72,5.95,6.32,40.52,16.73
271,atheism,10.58,8.47,8.99,8.99,10.05,11.64,24.34,16.93
272,atheism,10.27,10.96,10.27,7.53,8.9,8.9,34.93,8.22
273,atheism,10.24,9.45,14.17,8.66,7.87,7.87,32.28,9.45
274,atheism,7.25,6.74,11.92,7.25,5.7,15.03,36.79,9.33
275,atheism,5.8,6.28,12.56,7.25,4.83,5.8,43.48,14.01
276,atheism,6.69,7.32,15.29,4.46,5.41,4.46,32.48,23.89
277,atheism,7.48,8.84,14.97,7.48,6.8,9.52,34.01,10.88
278,atheism,6.7,6.7,10.61,5.59,5.59,6.7,46.37,11.73
279,atheism,5.56,7.07,10.1,5.56,5.05,6.06,47.47,13.13
280,atheism,6.9,8.28,13.1,8.97,7.59,10.34,33.79,11.03
281,atheism,9.84,5.18,8.81,5.7,6.74,8.81,43.52,11.4
282,atheism,10.4,5.2,7.2,4.4,8.0,7.2,47.2,10.4
283,atheism,5.94,8.04,5.59,6.64,4.9,8.04,49.65,11.19
284,misc,6.82,5.45,9.09,5.45,5.45,5.0,29.55,33.18
285,atheism,4.67,8.56,7.39,6.23,6.61,9.73,36.19,20.62
286,atheism,4.18,4.46,6.96,2.79,4.74,5.85,54.04,16.99
287,atheism,7.3,8.43,19.1,7.3,7.3,6.18,30.9,13.48
288,atheism,6.53,5.03,12.56,6.53,7.04,6.03,34.17,22.11
289,atheism,6.19,4.87,8.85,6.19,6.19,6.19,42.92,18.58
290,misc,5.78,7.48,8.84,4.42,6.46,19.73,20.75,26.53
291,misc,6.88,7.16,5.73,5.44,3.72,6.59,25.21,39.26
292,atheism,8.28,6.9,14.48,11.72,8.28,9.66,31.72,8.97
293,misc,5.58,5.2,5.95,4.83,4.83,7.81,17.47,48.33
294,atheism,5.5,9.17,11.93,5.5,5.96,8.26,37.16,16.51
295,atheism,5.17,5.17,8.19,4.31,4.31,6.47,54.74,11.64
296,atheism,4.24,5.08,6.78,5.08,5.08,4.66,61.02,8.05
297,atheism,6.0,6.5,8.5,5.0,7.5,14.0,39.0,13.5
298,atheism,10.14,8.11,12.84,7.43,6.76,7.43,38.51,8.78
299,atheism,4.98,7.28,7.66,4.6,3.83,4.98,50.57,16.09
300,atheism,4.93,6.28,10.76,4.48,5.83,6.28,35.43,26.01
301,misc,4.66,10.56,13.35,4.66,4.66,7.76,18.63,35.71
302,misc,9.95,7.33,19.9,5.76,8.9,5.76,17.28,25.13
303,atheism,6.64,10.9,9.0,11.37,8.06,13.74,24.64,15.64
304,misc,5.5,5.5,10.0,6.5,8.5,6.5,25.5,32.0
305,atheism,5.0,7.0,18.0,8.0,5.5,10.5,32.5,13.5
306,atheism,4.7,8.17,9.16,5.45,5.69,7.92,44.55,14.36
307,atheism,7.57,8.65,10.81,5.95,7.03,7.03,41.62,11.35
308,atheism,5.61,7.94,14.95,7.01,6.54,12.15,27.57,18.22
309,atheism,3.22,4.18,6.75,3.54,3.54,5.47,63.34,9.97
310,atheism,11.43,7.62,13.81,5.71,7.62,7.14,31.9,14.76
311,atheism,6.91,4.73,5.09,6.18,4.73,19.64,43.64,9.09
312,atheism,9.96,7.47,10.79,9.54,4.56,4.56,40.25,12.86
313,atheism,7.01,7.64,12.1,8.28,6.37,9.55,27.39,21.66
314,atheism,6.83,6.83,9.32,6.83,9.94,9.94,31.06,19.25
315,atheism,4.96,4.96,5.73,4.96,3.82,4.96,54.58,16.03
316,atheism,8.28,6.51,9.47,6.51,6.51,7.69,42.01,13.02
317,email filler words,7.26,7.82,36.31,8.38,8.94,6.15,12.85,12.29
318,atheism,9.93,8.51,11.35,8.51,7.09,8.51,36.17,9.93
319,atheism,5.52,7.18,9.39,6.63,8.29,8.29,35.36,19.34
320,atheism,4.33,6.3,5.91,4.33,4.72,7.09,55.12,12.2
321,atheism,6.42,8.68,11.7,8.3,5.28,9.06,32.45,18.11
322,atheism,5.01,5.01,4.42,3.54,3.83,5.31,60.18,12.68
323,atheism,8.33,6.94,15.28,7.64,7.64,8.33,36.11,9.72
324,atheism,8.77,8.77,14.04,5.85,5.85,7.02,37.43,12.28
325,atheism,8.46,7.69,13.85,7.69,9.23,7.69,35.38,10.0
326,atheism,8.28,7.59,14.48,8.28,8.97,8.97,34.48,8.97
327,atheism,6.29,6.29,14.47,8.18,6.92,6.92,29.56,21.38
328,atheism,8.39,7.69,19.58,7.69,9.09,9.09,22.38,16.08
329,atheism,6.25,5.73,8.85,7.29,6.77,6.77,47.4,10.94
330,atheism,6.44,5.68,6.06,4.55,5.3,5.68,51.52,14.77
331,atheism,6.47,8.62,9.48,6.47,5.17,5.6,44.83,13.36
332,atheism,9.93,9.93,12.58,7.28,7.95,11.26,31.79,9.27
333,atheism,7.32,9.76,15.24,8.54,6.1,11.59,34.15,7.32
334,email filler words,6.84,5.79,23.68,8.42,10.53,13.16,18.42,13.16
335,atheism,9.14,7.11,16.24,7.61,6.09,6.09,29.95,17.77
336,atheism,7.65,10.38,12.57,8.2,6.56,6.56,34.43,13.66
337,atheism,10.26,6.67,8.72,8.21,8.21,7.18,36.41,14.36
338,atheism,9.27,6.05,12.1,7.26,6.45,5.65,43.15,10.08
339,atheism,7.96,9.95,8.96,11.94,7.46,7.96,36.82,8.96
340,atheism,8.85,9.9,11.98,6.77,6.25,7.81,39.06,9.38
341,misc,7.53,8.06,16.67,7.53,9.68,8.06,13.98,28.49
342,atheism,7.84,7.19,12.42,13.73,6.54,8.5,28.1,15.69
343,atheism,4.64,6.73,9.51,4.87,4.18,6.03,50.35,13.69
344,atheism,5.85,4.79,3.19,4.52,3.72,9.57,45.74,22.61
345,atheism,4.98,7.88,12.45,4.15,6.22,5.81,50.21,8.3
346,atheism,4.47,5.03,5.03,5.03,5.03,5.87,54.75,14.8
347,atheism,8.24,7.14,16.48,8.79,6.04,13.19,29.12,10.99
348,atheism,7.14,6.39,6.77,10.15,7.14,12.78,38.35,11.28
349,atheism,5.43,8.33,11.96,4.71,5.43,5.43,29.71,28.99
350,apple hardware,24.0,12.8,15.2,12.0,8.0,8.8,8.0,11.2
351,for sale,16.89,10.14,14.86,27.7,7.43,7.43,8.11,7.43
352,email filler words,10.37,10.37,33.33,11.85,8.15,8.15,8.15,9.63
353,apple hardware,26.39,13.89,13.19,11.81,8.33,7.64,10.42,8.33
354,email filler words,10.4,7.51,34.1,11.56,13.87,6.36,9.25,6.94
355,email filler words,13.33,11.43,17.14,15.24,12.38,10.48,10.48,9.52
356,apple hardware,20.8,8.8,19.2,14.4,9.6,10.4,8.0,8.8
357,email filler words,7.22,10.56,26.67,6.67,7.22,13.33,12.78,15.56
358,email filler words,7.03,12.97,27.57,18.92,7.57,8.65,5.95,11.35
359,for sale,11.08,19.9,4.79,48.36,3.27,4.79,4.28,3.53
360,guns,12.59,12.59,11.89,13.29,13.29,14.69,11.19,10.49
361,hockey,14.93,11.94,11.19,17.16,17.91,11.94,7.46,7.46
362,for sale,15.04,10.53,15.04,24.81,8.27,9.77,8.27,8.27
363,for sale,14.53,8.55,17.95,20.51,11.97,8.55,9.4,8.55
364,for sale,16.32,12.63,11.58,25.79,5.79,11.05,7.37,9.47
365,for sale,9.3,7.64,8.64,48.84,7.97,6.98,5.98,4.65
