document,actual,hockey,atheism,for sale,apple hardware,electronics,guns
141,atheism,7.01,52.23,11.46,7.64,8.92,12.74
142,atheism,4.03,70.32,8.36,5.48,6.63,5.19
143,atheism,6.4,60.47,10.47,6.98,8.14,7.56
144,atheism,4.89,65.33,8.0,6.67,7.11,8.0
145,for sale,7.19,25.18,35.25,7.91,10.07,14.39
146,atheism,5.13,52.31,14.36,7.69,10.77,9.74
147,atheism,4.73,62.18,11.64,5.82,7.27,8.36
148,atheism,3.46,71.2,7.6,4.15,5.53,8.06
149,atheism,6.93,56.93,8.91,6.93,10.4,9.9
150,atheism,1.98,73.48,5.27,3.79,5.27,10.21
151,atheism,7.79,50.65,14.94,7.79,12.34,6.49
152,atheism,6.96,58.26,11.74,6.96,8.26,7.83
153,for sale,7.74,23.87,39.35,7.74,9.68,11.61
154,for sale,9.32,25.42,34.75,8.47,11.86,10.17
155,atheism,5.02,63.88,8.36,6.02,7.69,9.03
156,for sale,10.26,22.44,28.85,15.38,8.97,14.1
157,atheism,6.21,47.46,24.86,5.65,6.78,9.04
158,for sale,10.53,24.56,33.33,12.28,10.53,8.77
159,atheism,9.84,30.33,27.87,13.11,8.2,10.66
160,atheism,9.39,32.04,28.73,6.63,9.94,13.26
161,atheism,2.38,73.85,3.78,2.66,6.43,10.91
162,for sale,9.32,14.29,27.33,7.45,24.22,17.39
163,atheism,5.26,51.32,16.78,4.61,8.88,13.16
164,atheism,7.27,45.45,21.82,7.88,7.88,9.7
165,atheism,9.63,56.42,11.01,6.42,7.34,9.17
166,atheism,6.22,48.33,22.97,6.7,7.66,8.13
167,atheism,5.74,67.46,9.09,5.26,5.26,7.18
168,atheism,3.35,70.1,8.37,5.02,3.35,9.81
169,atheism,6.25,58.33,14.93,9.38,4.86,6.25
170,atheism,4.33,63.78,12.6,5.12,5.91,8.27
171,atheism,5.98,67.73,8.37,5.58,5.98,6.37
172,atheism,3.92,66.99,10.46,2.94,4.08,11.6
173,atheism,6.9,50.57,17.24,7.47,9.2,8.62
174,atheism,11.57,42.13,15.74,8.8,6.48,15.28
175,atheism,4.4,74.17,5.12,5.71,3.1,7.5
176,atheism,7.58,38.89,29.8,7.07,8.08,8.59
177,atheism,9.84,45.36,13.66,11.48,8.2,11.48
178,atheism,3.41,74.45,6.57,5.35,4.14,6.08
179,atheism,1.94,81.13,4.41,3.88,4.76,3.88
180,atheism,10.06,35.85,8.81,11.32,14.47,19.5
181,atheism,8.59,38.28,17.97,10.16,13.28,11.72
182,atheism,7.79,51.3,11.69,9.74,9.74,9.74
183,atheism,8.45,50.7,10.56,9.15,13.38,7.75
184,atheism,9.49,35.77,18.98,8.03,14.6,13.14
185,atheism,10.94,31.25,17.19,14.06,13.28,13.28
186,atheism,8.77,38.6,17.54,7.02,11.11,16.96
187,atheism,3.21,70.05,6.68,4.01,6.68,9.36
188,atheism,11.34,27.84,17.53,13.4,17.53,12.37
189,atheism,2.79,80.48,6.69,2.79,3.53,3.72
190,atheism,2.02,76.82,4.7,3.14,3.25,10.08
191,atheism,8.88,35.91,26.64,7.34,9.27,11.97
192,atheism,1.53,74.92,3.29,1.56,3.21,15.49
193,atheism,1.03,84.62,1.21,1.83,3.04,8.27
194,atheism,6.98,42.01,18.6,16.86,8.28,7.27
195,atheism,11.63,41.86,18.6,11.63,7.75,8.53
196,atheism,17.99,23.74,16.55,14.39,10.07,17.27
197,for sale,11.35,26.24,31.91,9.93,9.93,10.64
198,atheism,3.49,72.33,6.05,3.95,4.65,9.53
199,for sale,5.29,27.75,48.46,5.73,5.29,7.49
200,atheism,13.73,26.8,24.18,16.34,9.15,9.8
201,atheism,11.48,27.27,27.27,4.78,8.61,20.57
202,for sale,11.93,21.1,33.03,10.09,11.01,12.84
203,atheism,2.78,82.41,3.59,2.66,3.12,5.44
204,atheism,5.67,45.74,27.3,4.96,7.8,8.51
205,atheism,14.66,37.07,15.52,9.48,8.62,14.66
206,atheism,9.24,31.09,19.33,12.61,15.13,12.61
207,for sale,11.9,21.93,23.42,8.55,22.68,11.52
208,atheism,6.53,61.81,10.55,6.03,8.04,7.04
209,atheism,12.73,33.64,27.73,5.91,6.82,13.18
210,atheism,8.8,51.6,14.4,5.6,10.0,9.6
211,atheism,11.11,24.24,24.24,13.13,14.14,13.13
212,atheism,7.14,34.52,31.55,7.74,8.93,10.12
213,for sale,10.07,25.18,34.53,10.07,9.35,10.79
214,for sale,9.32,21.74,42.86,7.45,11.18,7.45
215,atheism,8.79,54.81,12.97,5.44,9.21,8.79
216,atheism,9.15,36.59,20.12,9.15,12.8,12.2
217,atheism,17.65,23.53,16.47,16.47,12.94,12.94
218,atheism,6.22,60.2,12.44,5.72,9.45,5.97
219,for sale,7.36,30.06,37.42,8.59,8.59,7.98
220,atheism,9.68,45.16,13.55,8.39,12.9,10.32
221,atheism,7.84,39.22,16.99,11.11,11.76,13.07
222,atheism,7.43,33.11,23.65,10.81,12.84,12.16
223,atheism,9.2,44.79,15.34,8.59,12.88,9.2
224,atheism,7.95,44.89,21.02,10.23,6.82,9.09
225,atheism,7.41,51.23,14.81,8.64,9.88,8.02
226,atheism,6.07,40.49,36.03,6.07,6.88,4.45
227,atheism,12.5,30.15,27.94,8.09,9.56,11.76
228,atheism,4.62,44.62,28.85,4.62,8.46,8.85
229,atheism,12.8,27.2,26.4,8.0,10.4,15.2
230,atheism,5.96,40.0,31.93,5.26,8.07,8.77
231,atheism,12.9,34.84,13.55,7.1,8.06,23.55
232,atheism,6.25,45.83,24.48,8.33,6.25,8.85
233,atheism,8.42,38.61,29.7,6.44,8.91,7.92
234,atheism,3.8,59.81,11.39,4.11,3.8,17.09
235,atheism,5.15,55.88,7.11,3.92,5.39,22.55
236,atheism,7.73,56.36,11.36,7.27,5.45,11.82
237,atheism,7.74,46.8,25.93,6.06,6.4,7.07
238,atheism,10.07,32.89,22.15,12.08,8.72,14.09
239,atheism,7.48,68.7,8.86,4.43,5.26,5.26
240,atheism,5.11,45.53,24.68,7.66,11.49,5.53
241,atheism,5.71,42.29,25.71,6.29,6.29,13.71
242,atheism,8.82,33.82,24.26,11.76,7.35,13.97
243,for sale,7.84,20.26,39.22,7.19,12.42,13.07
244,atheism,5.83,48.06,16.02,5.83,7.28,16.99
245,atheism,9.66,32.41,18.62,15.17,11.03,13.1
246,for sale,16.81,10.92,35.29,13.45,11.76,11.76
247,atheism,7.43,43.43,25.14,9.14,8.57,6.29
248,atheism,11.02,30.93,19.92,9.75,14.41,13.98
249,atheism,4.51,70.68,8.02,3.76,6.02,7.02
250,atheism,4.82,63.38,11.84,4.82,5.48,9.65
251,for sale,10.58,20.11,36.51,7.41,10.58,14.81
252,atheism,4.3,66.89,12.91,4.64,6.62,4.64
253,atheism,4.51,61.07,16.39,5.33,6.15,6.56
254,for sale,10.48,20.95,35.24,10.48,11.43,11.43
255,atheism,7.94,30.16,26.19,11.11,12.7,11.9
256,atheism,7.52,30.83,27.82,7.52,10.53,15.79
257,atheism,7.1,32.9,29.68,11.61,9.03,9.68
258,for sale,14.1,22.44,32.69,8.33,8.33,14.1
259,atheism,6.64,36.51,34.85,7.05,7.05,7.88
260,for sale,8.99,22.47,40.45,10.11,10.67,7.3
261,atheism,7.49,36.56,27.75,10.13,7.05,11.01
262,atheism,7.69,36.09,18.93,8.28,8.28,20.71
263,guns,11.31,27.98,8.93,8.33,13.1,30.36
264,atheism,7.63,50.6,13.65,6.83,12.05,9.24
265,for sale,12.31,14.62,40.77,11.54,8.46,12.31
266,atheism,8.44,46.41,17.3,7.17,8.02,12.66
267,atheism,3.93,69.94,10.67,4.21,4.78,6.46
268,atheism,7.39,41.38,21.18,8.87,10.84,10.34
269,atheism,5.56,55.98,14.96,5.56,6.84,11.11
270,atheism,5.62,62.25,9.64,6.43,7.63,8.43
271,atheism,8.88,34.91,11.24,11.24,13.61,20.12
272,atheism,10.32,41.27,16.67,8.73,11.9,11.11
273,for sale,10.28,27.1,33.64,9.35,9.35,10.28
274,atheism,9.25,43.35,12.72,6.36,8.09,20.23
275,for sale,5.88,32.62,40.11,8.02,6.95,6.42
276,atheism,5.1,46.94,23.81,5.1,13.61,5.44
277,atheism,7.87,37.01,25.98,9.45,8.66,11.02
278,atheism,6.29,49.69,20.75,6.29,7.55,9.43
279,atheism,5.62,50.0,24.16,5.62,6.18,8.43
280,atheism,8.0,32.8,25.6,11.2,9.6,12.8
281,atheism,6.36,55.49,12.14,9.25,7.51,9.25
282,atheism,6.09,42.17,29.13,7.83,7.83,6.96
283,atheism,7.14,57.52,11.65,6.02,9.02,8.65
284,atheism,7.0,45.0,23.5,8.0,7.5,9.0
285,atheism,6.33,40.51,18.14,7.59,8.86,18.57
286,atheism,4.42,67.55,12.39,5.01,4.13,6.49
287,atheism,10.13,34.81,30.38,8.23,6.96,9.49
288,for sale,8.94,32.4,34.08,8.38,8.38,7.82
289,atheism,8.25,38.35,29.13,7.77,7.77,8.74
290,atheism,4.74,38.69,15.69,5.84,10.58,24.45
291,atheism,4.86,67.17,10.03,3.95,7.6,6.38
292,for sale,8.8,23.2,40.0,8.0,8.8,11.2
293,atheism,5.62,62.65,10.04,4.82,6.43,10.44
294,atheism,6.57,36.36,33.33,5.56,6.57,11.62
295,atheism,5.19,55.66,20.75,5.19,5.66,7.55
296,atheism,5.09,58.33,15.74,5.56,6.02,9.26
297,atheism,8.33,36.67,28.33,6.11,6.11,14.44
298,atheism,8.59,35.94,27.34,10.16,7.81,10.16
299,atheism,4.56,53.11,24.48,4.98,7.47,5.39
300,atheism,7.39,35.47,32.51,6.9,6.9,10.84
301,atheism,6.62,38.08,19.54,6.29,17.22,12.25
302,atheism,9.36,31.58,27.49,7.02,16.37,8.19
303,atheism,8.38,41.88,17.28,7.85,13.61,10.99
304,atheism,7.78,49.44,21.67,7.78,6.11,7.22
305,atheism,6.67,43.89,22.78,7.78,8.33,10.56
306,atheism,8.07,57.03,12.5,4.95,6.77,10.68
307,atheism,9.09,36.36,33.33,7.27,7.27,6.67
308,for sale,6.19,29.38,34.54,7.73,8.76,13.4
309,atheism,4.12,60.82,18.56,4.12,4.47,7.9
310,atheism,6.32,47.37,16.32,9.47,9.47,11.05
311,atheism,4.31,52.16,9.41,4.71,7.45,21.96
312,atheism,5.43,49.77,15.84,9.05,12.67,7.24
313,for sale,7.3,27.74,32.85,10.22,10.22,11.68
314,atheism,9.93,36.17,26.95,7.8,9.22,9.93
315,atheism,5.37,58.26,17.36,5.37,6.2,7.44
316,atheism,8.05,40.27,27.52,7.38,8.05,8.72
317,for sale,10.69,18.87,40.88,10.06,9.43,10.06
318,for sale,9.09,27.27,32.23,9.09,9.92,12.4
319,atheism,7.45,32.3,31.06,6.83,10.56,11.8
320,atheism,5.13,50.85,25.64,5.13,6.41,6.84
321,atheism,5.71,39.59,20.0,9.8,10.61,14.29
322,atheism,3.76,64.26,16.3,4.39,5.96,5.33
323,for sale,8.87,22.58,41.94,8.06,10.48,8.06
324,for sale,7.28,21.85,44.37,8.61,7.95,9.93
325,for sale,10.0,16.36,44.55,9.09,9.09,10.91
326,for sale,9.6,12.8,43.2,8.8,11.2,14.4
327,for sale,7.91,19.42,43.17,8.63,10.79,10.07
328,for sale,13.01,13.01,44.72,9.76,8.94,10.57
329,atheism,6.98,37.79,31.98,6.4,7.56,9.3
330,atheism,6.15,53.28,21.31,5.74,5.74,7.79
331,atheism,5.19,50.94,21.23,4.72,9.91,8.02
332,atheism,8.4,38.17,21.37,9.16,9.16,13.74
333,atheism,6.94,37.5,25.0,8.33,11.81,10.42
334,for sale,14.12,20.0,29.41,7.06,10.0,19.41
335,atheism,8.47,44.63,20.9,9.6,7.34,9.04
336,for sale,9.82,20.86,42.94,8.59,9.82,7.98
337,atheism,6.29,42.29,14.86,11.43,15.43,9.71
338,atheism,10.53,50.0,14.47,7.46,8.33,9.21
339,for sale,8.29,22.65,32.6,12.15,8.84,15.47
340,for sale,7.56,29.07,34.88,11.05,7.56,9.88
341,atheism,13.25,30.72,25.9,9.64,10.84,9.64
342,atheism,9.02,45.86,12.03,11.28,7.52,14.29
343,atheism,3.41,65.69,10.46,7.3,6.33,6.81
344,atheism,3.37,67.13,7.58,6.46,5.34,10.11
345,atheism,5.43,61.54,13.12,5.43,7.24,7.24
346,atheism,4.73,69.53,7.69,5.33,5.62,7.1
347,for sale,7.41,27.16,35.8,9.88,8.64,11.11
348,atheism,5.69,50.81,8.13,11.79,11.79,11.79
349,atheism,7.03,55.08,14.06,7.81,8.2,7.81
350,atheism,9.43,40.88,15.72,13.21,10.69,10.06
351,atheism,8.63,38.1,15.18,4.17,5.65,28.27
352,atheism,10.49,47.55,13.99,8.39,8.39,11.19
353,for sale,11.11,20.0,31.11,12.22,14.44,11.11
354,atheism,6.02,68.37,5.72,4.52,7.83,7.53
355,atheism,4.0,57.07,20.53,3.47,5.87,9.07
356,atheism,4.48,56.9,13.79,4.14,5.17,15.52
357,atheism,9.03,36.81,22.92,9.03,9.03,13.19
358,for sale,5.66,25.47,41.04,8.02,8.02,11.79
359,atheism,2.3,60.52,7.43,2.93,3.87,22.93
360,atheism,3.02,76.75,5.86,2.84,3.4,8.13
361,atheism,10.07,42.95,18.12,8.72,10.07,10.07
362,atheism,7.91,49.72,16.95,7.91,8.47,9.04
363,for sale,7.28,19.9,42.72,5.83,11.17,13.11
364,atheism,5.98,33.15,30.43,7.61,7.61,15.22
365,for sale,8.47,15.25,37.29,11.86,11.02,16.1
366,atheism,10.74,42.98,11.57,10.74,13.22,10.74
367,atheism,7.14,45.0,15.0,9.29,10.71,12.86
368,atheism,8.07,33.54,27.95,8.7,8.07,13.66
369,for sale,7.94,24.77,36.45,7.94,8.41,14.49
370,atheism,16.96,22.32,20.54,13.39,13.39,13.39
371,atheism,2.44,61.91,7.54,1.7,2.37,24.04
372,atheism,9.04,50.0,10.24,12.05,8.43,10.24
373,atheism,11.2,36.0,21.6,12.0,11.2,8.0
374,atheism,3.67,73.95,5.42,4.02,4.55,8.39
375,electronics,6.28,24.15,23.19,9.18,24.64,12.56
376,atheism,10.69,33.59,22.14,11.45,10.69,11.45
377,atheism,10.71,45.54,15.18,8.93,9.82,9.82
378,atheism,3.93,67.66,9.16,2.8,11.03,5.42
379,atheism,8.26,45.87,21.1,5.5,9.63,9.63
380,for sale,12.96,12.96,45.68,8.64,7.41,12.35
381,for sale,12.9,16.13,33.87,8.87,12.1,16.13
382,atheism,14.05,37.19,18.18,9.92,9.92,10.74
383,atheism,12.79,29.07,17.44,15.12,12.79,12.79
384,atheism,9.21,30.92,26.32,14.47,9.87,9.21
385,atheism,4.3,63.67,9.77,6.64,5.86,9.77
386,atheism,8.17,42.79,12.98,6.73,6.73,22.6
387,for sale,8.15,21.74,46.2,8.15,7.61,8.15
388,for sale,13.82,22.76,30.08,9.76,10.57,13.01
389,for sale,11.34,21.65,27.84,14.43,12.37,12.37
390,for sale,8.26,19.83,40.5,10.74,12.4,8.26
391,atheism,5.96,62.84,5.96,6.42,10.55,8.26
392,atheism,7.61,53.81,11.68,5.58,10.15,11.17
393,atheism,9.3,36.43,16.28,10.85,15.5,11.63
394,atheism,6.94,34.72,25.0,10.42,13.89,9.03
395,for sale,11.03,22.76,38.62,9.66,10.34,7.59
396,atheism,6.52,43.48,15.76,5.98,13.04,15.22
397,atheism,8.38,32.96,21.79,8.94,15.64,12.29
398,atheism,10.0,25.0,21.0,13.0,13.0,18.0
399,atheism,9.63,41.48,11.85,10.37,9.63,17.04
400,atheism,7.77,49.22,12.44,9.33,12.95,8.29
401,atheism,9.09,46.46,17.68,7.58,10.61,8.59
402,for sale,15.47,18.23,23.2,11.05,16.57,15.47
403,for sale,8.06,23.81,34.43,6.23,12.09,15.38
404,atheism,8.82,39.22,19.61,11.27,12.25,8.82
405,atheism,7.59,36.08,22.78,9.49,11.39,12.66
406,atheism,8.99,42.33,19.05,7.94,11.64,10.05
407,atheism,7.01,44.59,19.11,10.83,7.01,11.46
408,atheism,7.85,50.79,14.66,8.9,8.9,8.9
409,atheism,6.58,50.66,17.11,7.89,8.55,9.21
410,atheism,9.05,47.74,13.58,9.47,12.35,7.82
411,atheism,10.57,34.96,26.83,9.76,8.13,9.76
412,atheism,7.35,41.91,18.38,9.56,13.97,8.82
413,atheism,12.14,31.55,25.73,10.19,10.19,10.19
414,atheism,8.89,33.33,31.11,10.37,8.15,8.15
415,atheism,11.45,31.3,25.19,8.4,9.16,14.5
416,atheism,6.48,49.07,11.57,5.56,6.94,20.37
417,atheism,5.2,58.8,12.0,6.8,10.8,6.4
418,atheism,2.24,84.16,2.12,1.45,2.84,7.2
419,atheism,4.17,74.09,6.61,2.26,5.57,7.3
420,for sale,10.34,20.69,40.0,8.97,9.66,10.34
421,atheism,6.92,66.44,9.0,6.23,5.88,5.54
422,for sale,13.04,19.57,22.83,16.3,10.87,17.39
423,for sale,5.81,29.65,43.02,7.56,6.98,6.98
424,for sale,12.84,12.84,39.45,9.17,14.68,11.01
425,atheism,5.44,65.99,5.78,6.8,6.8,9.18
426,atheism,7.03,46.09,13.67,5.47,10.16,17.58
427,for sale,16.25,18.75,21.25,12.5,15.0,16.25
428,atheism,8.05,49.43,10.34,8.62,12.64,10.92
429,for sale,11.0,24.5,31.0,9.0,9.5,15.0
430,atheism,9.77,47.13,20.11,8.62,7.47,6.9
431,atheism,13.04,29.35,16.3,15.22,13.04,13.04
432,atheism,13.27,26.55,18.58,12.39,13.27,15.93
433,atheism,7.8,45.39,13.48,11.35,11.35,10.64
434,atheism,10.07,36.91,16.78,10.07,7.38,18.79
435,atheism,9.02,36.07,23.77,9.84,10.66,10.66
436,atheism,7.24,37.5,28.95,9.21,8.55,8.55
437,atheism,7.5,37.92,20.42,11.25,12.5,10.42
438,atheism,5.3,48.11,9.47,9.85,7.58,19.7
439,atheism,5.15,56.99,9.93,8.46,5.51,13.97
440,atheism,10.63,35.83,28.35,8.66,6.69,9.84
441,atheism,4.67,49.49,6.57,3.07,4.09,32.12
442,atheism,9.69,41.84,13.78,6.63,7.14,20.92
443,for sale,14.53,14.53,33.33,14.53,11.97,11.11
444,atheism,9.45,43.31,14.17,11.02,8.66,13.39
445,atheism,3.67,72.44,6.3,3.15,6.3,8.14
446,atheism,7.43,50.86,18.29,8.57,8.0,6.86
447,atheism,4.86,68.02,8.1,4.45,8.1,6.48
448,atheism,15.08,30.95,20.63,11.11,11.9,10.32
449,atheism,5.51,56.36,13.56,8.9,8.05,7.63
450,for sale,10.43,21.74,39.13,8.7,11.3,8.7
451,atheism,8.13,33.33,31.71,8.13,8.94,9.76
452,for sale,9.84,29.51,30.33,9.02,12.3,9.02
453,atheism,7.97,41.53,19.93,8.97,7.31,14.29
454,for sale,8.28,24.84,33.12,9.55,10.19,14.01
455,for sale,8.97,23.45,33.79,8.97,8.28,16.55
456,atheism,9.26,28.7,28.7,10.19,9.26,13.89
457,for sale,6.47,26.47,33.53,8.82,8.24,16.47
458,atheism,9.16,35.11,27.48,8.4,10.69,9.16
459,atheism,4.23,69.01,5.99,4.93,7.04,8.8
460,atheism,13.76,33.03,16.51,11.01,11.01,14.68
461,atheism,8.68,54.72,10.94,7.92,8.68,9.06
462,atheism,4.55,61.9,8.01,4.33,6.71,14.5
463,atheism,7.28,42.72,17.48,8.25,10.19,14.08
