document,actual,guns,for sale,hockey,politics misc,apple hardware,atheism
64,atheism,9.61,15.72,6.99,10.92,6.99,49.78
65,politics misc,16.88,11.88,10.0,28.75,10.0,22.5
66,atheism,8.03,13.87,9.49,10.22,8.03,50.36
67,atheism,19.59,14.86,7.43,11.49,8.78,37.84
68,atheism,13.97,15.44,8.09,9.56,9.56,43.38
69,atheism,12.22,11.11,7.22,10.56,7.78,51.11
70,atheism,9.96,12.55,5.19,24.68,8.66,38.96
71,atheism,11.5,9.5,6.5,15.0,7.0,50.5
72,atheism,14.09,18.79,8.05,12.75,10.74,35.57
73,atheism,12.27,7.94,6.5,15.88,6.5,50.9
74,atheism,10.32,19.05,8.73,10.32,11.9,39.68
75,atheism,6.88,15.34,7.41,8.47,5.29,56.61
76,atheism,10.46,10.46,9.15,9.15,11.11,49.67
77,politics misc,9.95,17.65,6.33,29.86,10.86,25.34
78,atheism,14.49,10.87,7.25,12.32,12.32,42.75
79,atheism,18.37,9.8,4.49,13.06,6.53,47.76
80,for sale,7.14,38.27,6.63,7.65,8.16,32.14
81,atheism,7.8,21.99,10.64,9.22,9.22,41.13
82,atheism,19.59,11.86,7.73,11.34,11.86,37.63
83,atheism,11.59,12.32,13.04,14.49,8.7,39.86
84,atheism,6.37,5.19,2.18,21.11,6.87,58.29
85,atheism,10.31,18.83,5.83,20.63,9.42,34.98
86,atheism,6.88,10.09,6.88,12.39,8.72,55.05
87,atheism,3.91,3.04,4.67,16.4,5.86,66.12
88,atheism,7.28,5.3,4.97,12.91,9.6,59.93
89,atheism,10.0,11.05,7.89,15.26,10.0,45.79
90,atheism,13.85,13.08,7.69,14.62,8.46,42.31
91,atheism,22.92,13.19,9.72,14.58,10.42,29.17
92,atheism,12.1,14.52,10.48,12.9,9.68,40.32
93,atheism,6.95,11.59,3.64,8.61,12.91,56.29
94,atheism,14.88,7.44,6.05,13.02,15.81,42.79
95,atheism,10.14,14.19,6.76,14.86,8.11,45.95
96,atheism,6.11,6.87,6.49,14.12,6.11,60.31
97,atheism,13.73,13.07,10.46,9.15,10.46,43.14
98,atheism,7.91,15.35,7.44,7.91,7.44,53.95
99,atheism,11.41,14.77,8.72,8.72,11.41,44.97
100,atheism,16.8,7.6,7.6,16.4,9.6,42.0
101,atheism,7.96,13.43,6.97,18.91,8.96,43.78
102,atheism,12.32,7.16,6.3,14.61,4.58,55.01
103,atheism,10.94,15.62,9.38,12.5,13.28,38.28
104,atheism,15.38,14.69,9.09,11.19,13.99,35.66
105,atheism,20.49,11.48,10.66,13.93,13.11,30.33
106,atheism,13.64,14.29,11.69,11.69,9.09,39.61
107,atheism,6.23,4.98,4.36,10.59,5.3,68.54
108,atheism,18.05,14.29,9.02,18.8,9.02,30.83
109,atheism,13.64,10.39,7.79,17.53,10.39,40.26
110,atheism,12.89,12.89,6.7,14.95,10.82,41.75
111,atheism,13.64,5.3,6.44,16.67,4.55,53.41
112,atheism,14.12,7.34,7.91,12.99,11.86,45.76
113,atheism,17.09,14.53,10.26,11.97,9.4,36.75
114,atheism,9.33,2.58,2.58,25.11,3.76,56.65
115,atheism,8.0,7.43,6.86,12.0,6.86,58.86
116,atheism,13.28,9.38,7.81,12.5,14.06,42.97
117,atheism,12.59,9.09,9.79,9.09,8.39,51.05
118,atheism,15.15,14.55,9.09,23.03,9.09,29.09
119,atheism,8.0,5.09,6.55,8.73,6.18,65.45
120,atheism,14.16,11.5,11.5,15.93,15.04,31.86
121,atheism,12.22,10.56,8.33,11.67,8.89,48.33
122,atheism,10.91,8.18,7.73,11.82,8.18,53.18
123,atheism,7.11,7.11,6.22,11.56,8.89,59.11
124,atheism,23.32,9.33,7.25,8.81,16.06,35.23
125,atheism,13.33,8.33,5.67,13.0,5.33,54.33
126,atheism,9.4,14.53,10.26,11.11,8.55,46.15
127,atheism,11.71,12.16,6.76,9.01,9.46,50.9
128,atheism,4.17,3.53,3.85,8.65,6.41,73.4
129,atheism,11.99,8.2,4.42,15.14,6.62,53.63
130,atheism,11.9,13.49,8.73,15.87,8.73,41.27
131,atheism,6.86,13.36,4.33,14.08,6.86,54.51
132,atheism,12.36,14.04,7.87,10.11,8.43,47.19
133,atheism,19.74,11.4,12.72,10.96,7.46,37.72
134,atheism,6.37,3.61,4.48,9.81,3.27,72.46
135,atheism,10.14,7.25,6.28,10.14,5.31,60.87
136,atheism,10.5,9.5,12.0,14.5,9.5,44.0
137,atheism,11.18,8.82,10.0,20.0,9.41,40.59
138,atheism,9.62,13.46,10.58,13.46,11.54,41.35
139,atheism,9.45,8.66,8.66,11.81,7.87,53.54
140,atheism,8.14,5.43,7.36,8.91,6.59,63.57
141,atheism,12.74,8.28,7.64,12.1,8.28,50.96
142,atheism,6.63,3.46,4.61,20.17,4.61,60.52
143,atheism,8.72,6.98,6.4,12.21,7.56,58.14
144,atheism,6.22,8.0,5.78,10.67,8.44,60.89
145,atheism,11.51,15.11,9.35,10.79,7.19,46.04
146,atheism,9.23,10.26,6.15,17.44,10.26,46.67
147,atheism,5.45,8.73,6.55,16.73,5.45,57.09
148,atheism,6.45,3.92,3.0,10.37,5.76,70.51
149,atheism,10.4,6.44,6.93,10.89,8.42,56.93
150,atheism,8.73,4.45,1.98,12.19,3.29,69.36
151,atheism,10.39,7.79,7.14,11.04,11.69,51.95
152,atheism,7.39,8.26,6.52,11.3,4.78,61.74
153,atheism,7.74,20.0,7.1,13.55,9.03,42.58
154,atheism,8.47,19.49,8.47,12.71,10.17,40.68
155,atheism,8.03,7.36,6.02,12.71,4.35,61.54
156,atheism,16.03,22.44,12.18,15.38,8.33,25.64
157,atheism,10.17,12.43,6.21,9.04,7.91,54.24
158,atheism,10.53,21.93,10.53,10.53,9.65,36.84
159,atheism,11.48,16.39,9.84,12.3,9.84,40.16
160,atheism,17.13,10.5,11.6,16.57,10.5,33.7
161,atheism,9.93,3.5,1.96,16.64,4.48,63.5
162,politics misc,10.56,15.53,9.94,37.89,10.56,15.53
163,atheism,14.14,9.21,4.93,10.86,6.58,54.28
164,atheism,9.7,14.55,9.09,10.3,7.88,48.48
165,atheism,9.17,6.88,9.63,7.8,8.72,57.8
166,atheism,8.13,14.35,5.74,9.09,5.74,56.94
167,atheism,5.74,6.7,6.22,11.96,7.18,62.2
168,atheism,10.29,7.66,4.07,10.53,3.83,63.64
169,atheism,8.33,8.68,7.99,7.64,10.42,56.94
170,atheism,5.91,7.09,6.3,11.02,4.33,65.35
171,atheism,8.76,4.78,4.38,15.54,7.97,58.57
172,atheism,9.97,3.43,3.43,16.5,4.08,62.58
173,atheism,5.75,13.22,7.47,17.82,8.62,47.13
174,atheism,10.19,14.81,6.48,20.83,7.87,39.81
175,atheism,2.86,6.9,4.05,14.88,5.48,65.83
176,atheism,8.08,7.07,6.57,11.62,8.59,58.08
177,atheism,10.38,12.57,6.56,25.68,10.38,34.43
178,atheism,5.84,3.89,5.84,22.63,5.35,56.45
179,atheism,3.88,3.17,2.12,9.7,3.7,77.43
180,atheism,18.24,15.09,9.43,12.58,7.55,37.11
181,atheism,16.41,15.62,8.59,11.72,8.59,39.06
182,atheism,9.09,13.64,8.44,13.64,8.44,46.75
183,atheism,9.15,13.38,8.45,11.27,9.15,48.59
184,atheism,13.87,13.87,12.41,20.44,10.22,29.2
185,guns,21.09,16.41,8.59,21.09,13.28,19.53
186,atheism,12.28,13.45,9.94,22.22,9.36,32.75
187,atheism,12.3,7.49,3.48,13.37,9.63,53.74
188,atheism,14.43,18.56,11.34,14.43,11.34,29.9
189,atheism,3.72,3.16,2.23,8.36,3.72,78.81
190,atheism,7.84,3.36,2.13,15.68,3.02,67.97
191,atheism,11.2,7.72,8.11,20.46,6.18,46.33
192,atheism,9.51,2.74,1.84,7.75,1.76,76.41
193,atheism,6.21,1.74,1.61,5.19,1.7,83.55
194,atheism,5.67,24.13,7.99,8.58,8.58,45.06
195,atheism,13.18,15.5,10.85,16.28,10.08,34.11
196,atheism,16.55,12.95,15.83,20.14,11.51,23.02
197,atheism,14.18,14.89,16.31,17.02,13.48,24.11
198,atheism,7.67,4.42,4.88,21.16,5.35,56.51
199,atheism,8.37,9.69,7.49,15.42,7.49,51.54
200,for sale,13.33,37.14,11.43,13.33,12.38,12.38
201,for sale,10.94,42.19,10.16,12.5,14.84,9.38
202,for sale,9.57,36.52,11.3,19.13,10.43,13.04
203,for sale,10.48,29.03,11.29,14.52,19.35,15.32
204,for sale,10.46,47.71,13.73,7.84,9.15,11.11
205,for sale,15.29,29.41,15.29,11.76,15.29,12.94
206,for sale,10.48,38.1,11.43,16.19,13.33,10.48
207,politics misc,10.0,26.25,10.0,26.88,11.25,15.62
208,for sale,8.48,43.64,8.48,17.58,12.73,9.09
209,apple hardware,6.1,27.85,4.51,8.22,49.07,4.24
210,for sale,20.33,22.76,21.14,12.2,12.2,11.38
211,hockey,10.53,24.56,27.19,14.04,14.91,8.77
212,for sale,13.27,36.28,8.85,9.73,21.24,10.62
213,for sale,10.31,35.05,15.46,10.31,17.53,11.34
214,for sale,10.59,37.06,7.65,17.06,18.82,8.82
215,for sale,5.69,60.85,10.68,4.98,11.39,6.41
216,for sale,7.58,44.55,7.58,14.69,20.38,5.21
217,for sale,11.64,31.51,10.96,17.12,20.55,8.22
218,for sale,18.48,28.26,10.87,14.13,15.22,13.04
219,for sale,10.32,38.71,17.42,11.61,14.84,7.1
220,for sale,10.34,43.97,11.21,10.34,9.48,14.66
221,for sale,11.46,37.5,12.5,12.5,11.46,14.58
222,for sale,6.69,58.14,10.17,7.56,9.01,8.43
223,for sale,18.24,34.46,7.43,15.54,11.49,12.84
224,for sale,13.59,32.04,13.59,11.65,18.45,10.68
225,for sale,11.59,25.0,9.76,16.46,13.41,23.78
226,for sale,14.85,28.71,10.89,11.88,16.83,16.83
227,for sale,10.0,28.67,8.67,22.67,21.33,8.67
228,for sale,10.5,27.0,7.0,19.0,15.5,21.0
229,for sale,12.17,37.39,12.17,12.17,16.52,9.57
230,for sale,9.56,44.12,8.82,10.29,14.71,12.5
231,politics misc,19.7,17.42,12.12,23.48,14.39,12.88
232,for sale,7.61,33.15,10.87,15.22,21.2,11.96
233,for sale,12.95,23.74,10.79,20.86,20.86,10.79
234,for sale,8.47,37.29,6.78,9.04,30.51,7.91
235,for sale,12.17,30.43,10.43,13.04,15.65,18.26
236,for sale,12.5,35.42,12.5,11.46,17.71,10.42
237,for sale,11.11,35.56,12.22,12.22,17.78,11.11
238,for sale,8.33,56.41,10.9,8.33,8.33,7.69
239,for sale,8.43,28.92,8.43,10.24,26.51,17.47
240,for sale,7.24,53.95,9.87,9.87,10.53,8.55
241,apple hardware,10.76,27.22,13.29,8.86,28.48,11.39
242,for sale,10.06,43.58,7.82,10.61,17.88,10.06
243,apple hardware,13.13,23.23,14.14,15.15,24.24,10.1
244,for sale,12.5,33.04,16.07,15.18,13.39,9.82
245,apple hardware,7.88,24.24,6.67,13.33,32.12,15.76
246,for sale,6.63,54.22,9.64,11.45,12.05,6.02
247,for sale,11.33,44.0,8.0,13.33,9.33,14.0
248,for sale,11.96,40.94,12.32,9.42,14.13,11.23
249,apple hardware,8.12,29.06,8.97,6.41,42.31,5.13
250,for sale,9.45,35.43,16.54,12.6,14.96,11.02
251,for sale,8.84,35.37,8.84,19.05,12.93,14.97
252,for sale,9.92,42.98,10.74,11.57,14.05,10.74
253,for sale,10.26,38.97,17.95,7.18,16.41,9.23
254,for sale,9.82,23.21,14.29,17.86,21.43,13.39
255,for sale,10.34,37.93,6.9,13.79,21.26,9.77
256,apple hardware,15.08,23.81,8.73,16.67,25.4,10.32
257,for sale,16.36,33.64,9.09,20.0,10.91,10.0
258,for sale,9.02,33.61,9.84,12.3,27.05,8.2
259,for sale,12.04,38.89,12.04,12.04,13.89,11.11
260,for sale,9.36,42.11,12.87,12.28,14.62,8.77
261,for sale,8.73,37.3,11.9,8.73,23.81,9.52
262,for sale,11.24,54.62,6.43,9.64,8.43,9.64
263,for sale,17.17,28.28,13.13,13.13,15.15,13.13
264,for sale,9.38,32.81,17.97,12.5,17.19,10.16
265,for sale,4.41,59.93,8.46,6.62,13.6,6.99
266,for sale,13.04,40.58,13.04,14.49,10.14,8.7
267,politics misc,10.68,18.99,9.5,29.97,23.44,7.42
268,for sale,16.88,42.21,6.49,16.23,9.09,9.09
269,for sale,13.23,50.26,6.35,12.7,8.99,8.47
270,for sale,14.14,21.21,14.14,15.15,17.17,18.18
271,for sale,12.09,35.81,6.51,22.33,7.44,15.81
272,for sale,12.32,34.78,18.84,9.42,12.32,12.32
273,for sale,11.9,46.03,11.9,9.52,10.32,10.32
274,for sale,9.03,39.35,10.32,19.35,10.32,11.61
275,for sale,12.2,38.21,11.38,12.2,14.63,11.38
276,for sale,13.33,27.88,19.39,19.39,7.27,12.73
277,for sale,19.54,20.69,12.64,17.24,17.24,12.64
278,for sale,10.07,40.94,8.72,10.74,21.48,8.05
279,for sale,9.43,38.36,16.98,13.84,15.09,6.29
280,for sale,12.0,51.11,6.22,9.33,12.89,8.44
281,for sale,14.53,31.4,21.51,9.88,13.37,9.3
282,apple hardware,6.99,26.88,17.2,10.22,30.65,8.06
283,for sale,13.89,43.33,7.78,15.56,10.56,8.89
284,for sale,6.94,36.42,8.67,10.4,28.9,8.67
285,apple hardware,19.88,19.88,12.28,9.36,29.82,8.77
286,for sale,12.98,25.96,12.5,17.79,21.15,9.62
287,for sale,15.04,36.09,9.77,10.53,16.54,12.03
288,for sale,12.84,26.61,21.1,12.84,16.51,10.09
289,for sale,13.33,41.33,9.33,14.67,13.33,8.0
290,for sale,14.41,28.81,16.1,18.64,12.71,9.32
291,for sale,13.45,35.29,11.76,15.13,14.29,10.08
292,for sale,10.56,39.75,11.18,11.8,17.39,9.32
293,for sale,10.78,34.31,11.76,16.67,12.75,13.73
294,for sale,16.19,33.33,14.29,13.33,12.38,10.48
295,for sale,9.85,37.88,11.36,12.12,17.42,11.36
296,for sale,11.11,41.27,9.52,9.52,18.25,10.32
297,for sale,10.0,41.18,7.06,10.0,23.53,8.24
298,for sale,11.22,35.71,11.22,15.31,14.29,12.24
299,for sale,19.61,20.59,16.67,16.67,12.75,13.73
300,for sale,10.71,36.61,15.18,12.5,10.71,14.29
301,for sale,12.42,45.1,13.07,12.42,6.54,10.46
302,for sale,8.27,41.35,10.53,14.29,15.79,9.77
303,for sale,8.73,51.97,5.24,17.9,8.73,7.42
304,for sale,14.19,33.11,13.51,17.57,9.46,12.16
305,for sale,13.28,24.22,12.5,17.19,16.41,16.41
306,for sale,10.61,35.2,11.17,18.44,14.53,10.06
307,for sale,9.93,36.88,7.09,8.51,28.37,9.22
308,for sale,15.08,36.87,18.99,11.73,8.38,8.94
309,for sale,11.43,23.81,18.1,9.52,23.81,13.33
310,for sale,7.04,36.62,12.68,9.86,21.13,12.68
311,for sale,11.48,40.16,9.02,9.84,18.03,11.48
312,for sale,12.96,31.48,16.67,12.96,15.74,10.19
313,for sale,12.9,27.42,12.1,10.48,25.81,11.29
314,for sale,13.08,39.23,11.54,11.54,14.62,10.0
315,apple hardware,10.71,16.43,10.0,25.0,30.0,7.86
316,for sale,7.69,35.66,6.99,8.39,29.37,11.89
317,for sale,13.59,39.81,11.17,12.14,15.53,7.77
318,for sale,10.7,53.82,4.59,7.95,10.09,12.84
319,for sale,11.5,47.5,7.0,10.0,17.5,6.5
320,for sale,10.9,46.79,10.26,10.9,12.18,8.97
321,for sale,12.04,47.22,7.87,10.19,13.43,9.26
322,politics misc,13.5,21.49,13.77,25.07,13.77,12.4
323,for sale,8.7,45.22,12.17,10.43,13.91,9.57
324,for sale,13.21,30.19,14.15,16.98,14.15,11.32
325,for sale,15.24,37.14,15.24,9.52,12.38,10.48
326,for sale,19.63,29.91,14.95,10.28,14.95,10.28
327,for sale,13.64,38.96,10.39,11.04,16.23,9.74
328,for sale,16.88,23.38,12.99,16.88,14.29,15.58
329,for sale,18.01,24.22,7.45,22.98,13.04,14.29
330,politics misc,11.71,27.48,9.01,29.73,13.06,9.01
331,politics misc,13.87,18.25,13.87,21.9,17.52,14.6
332,politics misc,10.27,12.33,7.53,45.21,16.44,8.22
333,for sale,11.34,39.18,15.46,13.4,10.31,10.31
334,for sale,11.43,37.14,12.38,10.48,17.14,11.43
335,for sale,10.74,40.94,12.75,11.41,13.42,10.74
336,hockey,12.03,18.05,22.56,18.05,17.29,12.03
337,for sale,12.15,22.43,19.63,14.02,17.76,14.02
338,apple hardware,13.94,25.0,12.02,11.54,27.4,10.1
339,for sale,10.64,39.01,8.51,12.06,19.86,9.93
340,for sale,12.9,25.81,17.2,12.9,19.35,11.83
341,for sale,10.68,32.04,10.68,11.65,23.3,11.65
342,guns,24.62,16.92,13.85,16.92,15.38,12.31
343,for sale,11.48,41.8,9.84,10.66,16.39,9.84
344,for sale,13.1,48.28,9.66,8.97,11.72,8.28
345,for sale,9.59,57.08,9.13,7.76,9.59,6.85
346,for sale,10.2,38.78,12.24,15.31,12.24,11.22
347,for sale,7.78,40.47,10.12,16.34,19.46,5.84
348,for sale,12.5,46.43,11.16,10.27,12.05,7.59
349,for sale,12.28,26.9,20.47,11.7,20.47,8.19
350,for sale,10.57,32.52,14.63,8.94,18.7,14.63
351,politics misc,13.33,18.67,18.22,25.33,15.11,9.33
352,apple hardware,14.94,19.48,15.58,12.34,28.57,9.09
353,for sale,12.5,30.0,9.38,8.12,18.75,21.25
354,for sale,11.01,34.86,11.93,12.84,20.18,9.17
355,for sale,9.59,40.41,13.7,14.38,13.01,8.9
356,for sale,16.51,22.02,18.35,13.76,15.6,13.76
357,for sale,9.17,32.5,12.5,11.67,24.17,10.0
358,for sale,2.2,86.75,5.22,1.59,1.59,2.65
359,for sale,16.33,25.85,17.01,10.2,19.73,10.88
360,for sale,5.37,77.56,3.17,4.39,3.9,5.61
361,for sale,12.96,26.85,18.52,15.74,12.04,13.89
362,for sale,13.64,40.91,9.09,8.33,19.7,8.33
363,for sale,17.27,25.45,10.0,15.45,22.73,9.09
364,for sale,13.15,44.98,12.8,9.34,11.42,8.3
365,for sale,18.0,30.0,13.0,13.0,16.0,10.0
366,for sale,12.12,30.3,14.14,15.15,17.17,11.11
367,for sale,8.61,34.44,9.93,13.25,23.18,10.6
368,for sale,12.5,32.95,12.5,11.36,18.18,12.5
369,for sale,9.15,44.51,14.63,6.1,16.46,9.15
370,for sale,10.58,39.42,13.46,12.5,14.42,9.62
371,for sale,11.61,42.86,10.71,10.71,10.71,13.39
372,apple hardware,7.46,25.37,12.44,11.44,36.32,6.97
373,for sale,8.77,44.44,9.94,8.19,19.3,9.36
374,for sale,12.9,29.03,12.1,16.13,19.35,10.48
375,for sale,12.15,33.64,12.15,16.82,15.89,9.35
376,for sale,16.0,21.0,13.0,17.0,21.0,12.0
377,for sale,11.9,33.33,10.32,13.49,21.43,9.52
378,for sale,14.5,39.69,10.69,8.4,11.45,15.27
379,for sale,15.58,28.57,15.58,12.99,14.29,12.99
380,for sale,14.13,38.04,10.87,10.87,15.22,10.87
381,for sale,11.28,33.85,9.74,13.33,15.9,15.9
382,for sale,10.87,30.43,21.74,11.96,14.13,10.87
383,for sale,10.0,36.36,13.64,11.82,12.73,15.45
384,for sale,9.57,43.09,18.09,9.57,12.77,6.91
385,for sale,13.89,28.7,16.67,11.11,17.59,12.04
386,for sale,16.07,33.04,9.82,11.61,17.86,11.61
387,for sale,18.58,25.66,19.47,11.5,13.27,11.5
388,apple hardware,11.21,19.63,13.08,17.76,25.23,13.08
389,for sale,9.93,37.75,14.57,15.23,11.92,10.6
390,for sale,10.53,44.36,10.53,9.77,15.79,9.02
391,apple hardware,7.49,26.59,5.62,11.61,41.57,7.12
392,apple hardware,8.89,27.41,10.37,8.89,36.3,8.15
393,apple hardware,8.97,32.69,7.69,7.69,33.97,8.97
394,for sale,11.88,25.25,9.41,24.75,14.36,14.36
395,for sale,21.09,32.03,12.5,13.28,7.81,13.28
396,for sale,9.91,41.44,10.81,14.41,13.51,9.91
397,for sale,4.21,76.65,3.81,5.21,5.41,4.71
398,for sale,9.71,39.81,13.59,9.71,13.59,13.59
399,for sale,16.3,30.43,15.22,13.04,13.04,11.96
400,hockey,6.12,3.8,42.15,29.75,2.48,15.7
401,hockey,8.19,7.33,52.16,15.95,6.9,9.48
402,hockey,10.58,14.81,38.62,16.93,7.94,11.11
403,hockey,9.52,20.41,40.82,9.52,8.84,10.88
404,hockey,11.21,23.36,34.58,11.21,9.35,10.28
405,hockey,10.34,8.19,41.38,22.41,7.76,9.91
406,for sale,13.56,24.58,22.03,10.17,12.71,16.95
407,for sale,12.35,23.46,20.99,13.58,16.05,13.58
408,hockey,11.74,7.39,55.22,13.91,5.65,6.09
409,hockey,10.86,10.41,42.53,16.29,9.95,9.95
410,hockey,1.35,1.35,92.99,1.35,1.62,1.35
411,hockey,2.58,3.22,87.12,2.36,2.58,2.15
412,hockey,7.33,18.67,49.33,10.0,7.33,7.33
413,politics misc,9.85,15.15,22.73,24.24,12.88,15.15
414,hockey,10.64,5.11,56.17,8.09,11.06,8.94
415,hockey,7.69,15.38,39.05,22.49,7.1,8.28
416,hockey,17.03,10.99,36.26,15.93,7.14,12.64
417,hockey,7.67,6.88,42.06,25.4,5.03,12.96
418,hockey,11.38,21.14,32.52,13.82,9.76,11.38
419,hockey,5.14,5.47,51.13,18.33,4.82,15.11
420,hockey,9.76,14.63,40.49,20.49,7.8,6.83
421,hockey,5.38,4.43,73.42,6.96,4.11,5.7
422,hockey,13.04,13.04,40.87,9.57,13.91,9.57
423,politics misc,10.86,9.5,18.1,31.67,20.81,9.05
424,hockey,5.88,7.56,54.62,15.55,9.24,7.14
425,hockey,8.11,6.56,36.29,22.39,16.22,10.42
426,hockey,14.29,19.05,23.81,13.1,15.48,14.29
427,hockey,4.79,3.51,76.36,6.71,4.15,4.47
428,hockey,10.69,10.06,44.03,15.09,9.43,10.69
429,politics misc,7.97,6.98,24.25,42.19,5.98,12.62
430,hockey,9.2,6.75,52.76,16.56,6.13,8.59
431,hockey,9.66,20.0,33.1,15.86,9.66,11.72
432,hockey,10.27,25.34,32.88,12.33,10.27,8.9
433,hockey,9.66,9.66,57.95,7.95,7.39,7.39
434,for sale,12.12,28.48,18.18,21.21,10.91,9.09
435,hockey,14.65,9.55,45.86,11.46,9.55,8.92
436,hockey,14.73,9.3,35.66,19.38,10.08,10.85
437,guns,18.63,18.63,18.63,13.73,16.67,13.73
438,hockey,6.55,7.74,40.48,25.6,6.55,13.1
439,hockey,7.87,5.62,55.43,18.73,4.49,7.87
440,hockey,11.57,12.4,40.5,14.88,10.74,9.92
441,hockey,12.32,18.84,28.99,11.59,14.49,13.77
442,hockey,9.52,21.9,39.05,12.86,8.1,8.57
443,hockey,9.62,6.28,47.7,20.08,5.02,11.3
444,hockey,12.82,15.38,34.19,15.38,9.4,12.82
445,hockey,11.54,12.18,41.03,14.74,7.69,12.82
446,hockey,8.0,12.0,41.0,18.0,11.5,9.5
447,for sale,8.33,27.98,26.79,20.24,8.33,8.33
448,hockey,6.12,8.16,48.98,18.88,8.67,9.18
449,hockey,7.38,13.42,46.31,16.11,6.71,10.07
450,hockey,14.76,12.38,39.05,20.95,5.71,7.14
451,hockey,8.63,25.9,27.34,20.86,8.63,8.63
452,hockey,9.14,6.99,49.46,16.67,8.06,9.68
453,for sale,6.63,34.69,22.96,21.94,8.16,5.61
454,for sale,12.87,27.72,25.74,10.89,11.88,10.89
455,hockey,6.27,5.96,52.98,22.57,4.39,7.84
456,hockey,8.33,16.23,45.18,16.23,7.89,6.14
457,hockey,9.62,25.94,28.45,19.67,7.95,8.37
458,hockey,8.81,12.58,52.83,7.55,6.92,11.32
459,hockey,8.62,16.38,37.93,24.57,6.03,6.47
460,hockey,9.58,7.28,45.59,22.61,6.13,8.81
461,hockey,6.51,9.96,47.13,11.49,18.01,6.9
462,hockey,9.62,6.53,50.86,21.99,5.15,5.84
