document,actual,atheism,hockey,apple hardware,for sale,guns,electronics
65,atheism,28.12,11.88,16.88,18.75,16.25,8.12
66,atheism,48.91,8.03,8.76,14.6,10.22,9.49
67,atheism,33.11,6.76,10.81,20.95,14.19,14.19
68,atheism,35.29,8.82,11.76,13.97,16.18,13.97
69,atheism,51.11,7.78,7.22,12.78,11.67,9.44
70,atheism,53.25,6.06,8.66,14.72,8.23,9.09
71,atheism,50.0,7.0,8.5,11.0,13.5,10.0
72,atheism,38.26,6.71,11.41,24.83,8.72,10.07
73,atheism,51.26,8.3,9.03,15.52,10.11,5.78
74,atheism,42.06,9.52,9.52,18.25,11.11,9.52
75,atheism,53.97,7.41,6.88,13.76,7.94,10.05
76,atheism,54.9,7.84,7.19,11.11,8.5,10.46
77,atheism,33.48,7.24,9.5,26.24,9.95,13.57
78,atheism,52.9,7.97,7.97,12.32,8.7,10.14
79,atheism,53.88,4.49,5.71,15.92,13.47,6.53
80,atheism,46.43,6.63,12.24,18.88,8.16,7.65
81,atheism,44.68,9.93,9.93,19.86,8.51,7.09
82,atheism,41.24,12.37,9.28,12.89,13.4,10.82
83,atheism,42.75,8.7,10.87,18.12,8.7,10.87
84,atheism,67.67,2.35,4.86,8.71,7.87,8.54
85,atheism,34.98,8.07,11.21,17.94,16.14,11.66
86,atheism,60.09,5.5,5.5,14.22,8.26,6.42
87,atheism,74.38,3.37,2.93,4.78,6.41,8.14
88,atheism,59.6,5.63,6.95,10.93,8.61,8.28
89,atheism,43.68,7.89,10.53,14.21,12.11,11.58
90,atheism,35.38,9.23,10.0,21.54,14.62,9.23
91,atheism,31.94,7.64,9.72,17.36,20.14,13.19
92,atheism,36.29,10.48,12.1,16.94,12.9,11.29
93,atheism,62.58,4.64,8.61,9.93,8.94,5.3
94,atheism,37.21,6.05,7.44,13.95,19.53,15.81
95,atheism,45.27,8.78,8.78,12.84,11.49,12.84
96,atheism,55.73,6.11,9.16,16.03,6.87,6.11
97,atheism,43.14,7.84,11.11,17.65,11.11,9.15
98,atheism,54.42,7.91,6.51,17.21,6.98,6.98
99,atheism,41.61,8.05,9.4,18.12,8.72,14.09
100,atheism,40.4,9.2,7.2,12.0,22.4,8.8
101,atheism,49.25,7.46,9.95,14.43,7.96,10.95
102,atheism,56.73,4.58,4.87,16.62,11.17,6.02
103,atheism,35.16,11.72,10.16,13.28,14.06,15.62
104,atheism,48.95,7.69,9.09,12.59,9.79,11.89
105,atheism,34.43,10.66,11.48,15.57,17.21,10.66
106,atheism,44.81,11.69,9.09,13.64,9.74,11.04
107,atheism,71.65,3.12,4.98,6.54,6.54,7.17
108,atheism,36.84,7.52,8.27,15.04,23.31,9.02
109,atheism,44.16,9.09,9.09,13.64,16.23,7.79
110,atheism,55.67,5.15,7.22,12.37,11.86,7.73
111,atheism,50.76,4.55,4.92,15.15,15.91,8.71
112,atheism,37.85,7.34,9.6,12.99,19.21,12.99
113,atheism,31.62,10.26,11.97,14.53,18.8,12.82
114,atheism,67.7,2.47,2.25,8.15,14.38,5.04
115,atheism,58.86,6.86,7.43,7.43,6.86,12.57
116,atheism,39.06,8.59,7.81,17.19,11.72,15.62
117,atheism,51.05,8.39,8.39,11.89,12.59,7.69
118,atheism,32.12,11.52,10.3,19.39,16.36,10.3
119,atheism,64.0,7.27,4.36,5.09,7.64,11.64
120,atheism,31.86,12.39,15.04,16.81,10.62,13.27
121,atheism,52.78,8.89,8.89,12.78,8.89,7.78
122,atheism,59.09,8.18,5.91,6.82,10.45,9.55
123,atheism,63.56,7.11,5.78,8.0,5.78,9.78
124,atheism,34.2,6.22,6.74,11.4,24.87,16.58
125,atheism,62.0,6.33,6.33,8.0,9.33,8.0
126,atheism,41.03,9.4,13.68,17.95,9.4,8.55
127,atheism,49.1,5.86,6.31,15.32,15.77,7.66
128,atheism,70.51,4.49,4.49,5.45,6.41,8.65
129,atheism,57.73,4.73,6.62,12.93,11.04,6.94
130,atheism,42.86,9.52,9.52,15.08,12.7,10.32
131,atheism,57.04,5.05,7.94,13.72,9.39,6.86
132,atheism,43.82,8.43,7.3,15.73,11.24,13.48
133,atheism,32.46,11.4,7.02,14.47,20.61,14.04
134,atheism,71.6,3.1,3.96,8.43,8.26,4.65
135,atheism,66.18,5.31,4.83,7.73,8.21,7.73
136,atheism,53.5,8.0,6.0,15.5,10.0,7.0
137,atheism,41.18,12.35,7.06,13.53,18.82,7.06
138,atheism,46.15,9.62,9.62,12.5,10.58,11.54
139,atheism,51.97,8.66,9.45,8.66,13.39,7.87
140,atheism,67.05,5.43,4.26,8.91,6.59,7.75
141,atheism,49.68,7.64,7.64,12.1,16.56,6.37
142,atheism,68.88,6.05,5.76,7.2,6.05,6.05
143,atheism,59.3,6.4,8.14,10.47,8.72,6.98
144,atheism,64.44,6.22,8.89,6.67,8.0,5.78
145,atheism,48.92,8.63,8.63,11.51,12.23,10.07
146,atheism,53.33,7.69,8.21,13.33,9.74,7.69
147,atheism,59.27,5.82,6.91,11.64,10.18,6.18
148,atheism,71.66,3.46,2.3,7.83,7.6,7.14
149,atheism,52.97,6.44,8.91,7.92,12.87,10.89
150,atheism,72.65,2.8,3.46,6.1,9.72,5.27
151,atheism,50.65,7.79,7.79,12.99,9.74,11.04
152,atheism,63.91,6.96,6.09,11.3,5.65,6.09
153,atheism,43.23,8.39,11.61,16.77,11.61,8.39
154,atheism,39.83,8.47,11.02,18.64,9.32,12.71
155,atheism,63.88,5.69,6.35,10.37,8.36,5.35
156,for sale,20.51,10.9,9.62,37.18,10.9,10.9
157,atheism,53.67,6.21,6.78,16.38,9.04,7.91
158,atheism,34.21,11.4,10.53,21.05,12.28,10.53
159,atheism,40.16,9.02,11.48,18.85,9.02,11.48
160,atheism,31.49,8.84,8.84,24.86,15.47,10.5
161,atheism,68.25,2.38,1.96,7.55,12.73,7.13
162,electronics,23.6,11.18,8.7,13.66,16.77,26.09
163,atheism,54.93,5.59,4.61,11.18,15.79,7.89
164,atheism,50.91,6.67,6.67,15.15,10.91,9.7
165,atheism,51.83,8.72,6.42,10.09,11.47,11.47
166,atheism,51.2,5.26,6.7,18.18,7.66,11.0
167,atheism,58.85,6.22,6.22,9.57,9.57,9.57
168,atheism,66.75,3.83,3.83,8.13,13.64,3.83
169,atheism,59.72,5.9,9.72,11.46,6.6,6.6
170,atheism,63.78,5.91,4.72,12.2,7.48,5.91
171,atheism,63.75,4.78,7.57,6.77,7.97,9.16
172,atheism,68.14,4.25,3.27,10.13,9.8,4.41
173,atheism,51.72,7.47,8.05,14.94,8.05,9.77
174,atheism,43.52,8.33,10.19,17.13,12.96,7.87
175,atheism,73.33,3.93,6.31,4.52,7.38,4.52
176,atheism,53.03,8.08,10.1,11.11,10.1,7.58
177,atheism,48.09,10.93,7.65,10.38,10.38,12.57
178,atheism,68.61,7.06,4.14,7.3,4.87,8.03
179,atheism,83.07,2.29,2.47,3.88,3.53,4.76
180,atheism,36.48,13.21,8.18,13.21,16.98,11.95
181,atheism,42.97,10.94,9.38,12.5,13.28,10.94
182,atheism,54.55,7.79,7.79,9.74,8.44,11.69
183,atheism,48.59,7.04,10.56,10.56,11.27,11.97
184,atheism,37.23,10.22,7.3,16.79,10.22,18.25
185,atheism,31.25,11.72,14.84,17.19,10.94,14.06
186,atheism,37.43,8.19,11.7,16.37,15.79,10.53
187,atheism,68.18,3.48,5.61,6.42,8.02,8.29
188,atheism,30.93,11.34,15.46,13.4,12.37,16.49
189,atheism,80.86,2.42,2.79,5.95,3.53,4.46
190,atheism,74.69,1.9,3.36,4.26,12.88,2.91
191,atheism,46.33,9.65,5.41,15.06,13.51,10.04
192,atheism,75.27,2.11,1.45,2.97,14.2,3.99
193,atheism,81.9,1.61,1.25,1.79,9.3,4.16
194,atheism,42.01,7.27,22.97,8.87,7.27,11.63
195,atheism,38.76,10.85,9.3,21.71,9.3,10.08
196,atheism,25.18,12.95,12.95,17.99,17.27,13.67
197,atheism,45.39,9.22,8.51,16.31,9.22,11.35
198,atheism,69.07,3.26,4.19,13.95,6.74,2.79
199,atheism,56.39,6.17,5.73,21.15,5.73,4.85
200,for sale,21.57,16.34,14.38,25.49,11.76,10.46
201,atheism,37.32,13.88,8.61,18.66,12.44,9.09
202,atheism,33.03,11.01,11.93,21.1,11.01,11.93
203,atheism,78.59,2.78,2.66,3.24,8.22,4.51
204,atheism,61.35,4.26,6.38,9.57,10.64,7.8
205,atheism,37.07,14.66,10.34,11.21,17.24,9.48
206,atheism,34.45,10.08,11.76,14.29,12.61,16.81
207,atheism,33.46,10.04,8.55,17.47,13.38,17.1
208,atheism,57.29,9.55,6.53,11.06,6.53,9.05
209,atheism,34.55,14.55,9.09,24.09,13.18,4.55
210,atheism,46.8,9.2,4.8,18.0,7.6,13.6
211,atheism,23.23,13.13,12.12,22.22,13.13,16.16
212,atheism,57.74,7.14,7.14,10.12,10.71,7.14
213,atheism,43.17,8.63,9.35,16.55,10.79,11.51
214,atheism,45.34,9.32,6.83,14.91,10.56,13.04
215,atheism,49.37,5.02,7.53,20.92,9.21,7.95
216,atheism,35.98,7.93,11.59,21.34,15.24,7.93
217,atheism,22.35,15.29,17.65,17.65,11.76,15.29
218,atheism,58.21,5.72,7.96,13.68,5.97,8.46
219,atheism,47.24,6.75,9.82,20.25,7.98,7.98
220,atheism,49.03,9.68,9.03,9.03,9.68,13.55
221,atheism,40.52,7.19,13.73,15.69,12.42,10.46
222,atheism,42.57,8.11,10.81,12.84,10.81,14.86
223,atheism,46.01,11.66,8.59,12.27,9.2,12.27
224,atheism,52.27,7.39,11.36,7.95,12.5,8.52
225,atheism,55.56,7.41,9.26,9.88,9.88,8.02
226,atheism,61.54,4.86,4.05,15.38,6.07,8.1
227,atheism,27.94,9.56,8.82,23.53,22.06,8.09
228,atheism,61.92,4.62,5.38,11.54,8.85,7.69
229,atheism,27.2,16.8,8.8,24.8,10.4,12.0
230,atheism,56.14,5.26,5.61,16.84,8.42,7.72
231,atheism,31.94,11.94,6.13,20.65,21.94,7.42
232,atheism,53.12,5.73,6.25,15.62,10.94,8.33
233,atheism,56.44,6.93,7.43,14.36,7.43,7.43
234,atheism,58.23,4.75,5.7,6.01,21.2,4.11
235,atheism,53.68,5.64,4.9,5.88,23.77,6.13
236,atheism,55.91,8.18,8.18,10.0,10.45,7.27
237,atheism,65.66,6.4,6.4,9.09,7.41,5.05
238,atheism,41.61,9.4,9.4,18.12,12.08,9.4
239,atheism,66.76,6.37,3.6,9.97,6.65,6.65
240,atheism,56.6,6.81,6.81,12.77,8.09,8.94
241,atheism,51.43,6.86,6.86,14.86,12.0,8.0
242,atheism,41.91,8.82,10.29,16.91,10.29,11.76
243,atheism,45.75,7.84,7.84,20.26,9.15,9.15
244,atheism,50.49,5.34,7.77,12.14,17.48,6.8
245,atheism,39.31,8.97,11.72,14.48,14.48,11.03
246,atheism,23.53,17.65,10.08,22.69,10.92,15.13
247,atheism,61.14,5.71,8.0,10.86,6.86,7.43
248,for sale,25.85,11.02,10.59,27.12,12.71,12.71
249,atheism,64.16,4.26,3.51,13.28,6.27,8.52
250,atheism,62.28,3.29,3.95,13.82,11.62,5.04
251,atheism,27.51,15.87,11.11,25.4,9.52,10.58
252,atheism,71.52,3.97,5.63,4.97,5.63,8.28
253,atheism,64.34,5.74,6.15,8.2,9.02,6.56
254,atheism,39.05,10.48,10.48,18.1,11.43,10.48
255,atheism,40.48,8.73,9.52,18.25,11.9,11.11
256,atheism,48.87,7.52,9.02,12.78,11.28,10.53
257,atheism,50.97,8.39,11.61,9.68,8.39,10.97
258,atheism,28.85,11.54,12.82,26.28,12.82,7.69
259,atheism,51.45,8.3,6.64,14.52,9.13,9.96
260,atheism,38.76,7.3,11.24,23.03,8.99,10.67
261,atheism,40.97,10.13,11.01,24.67,5.73,7.49
262,atheism,43.79,9.47,7.1,14.2,16.57,8.88
263,atheism,28.57,13.69,7.14,14.88,23.81,11.9
264,atheism,47.79,6.43,7.63,13.65,9.64,14.86
265,for sale,23.08,15.38,14.62,26.15,13.08,7.69
266,atheism,45.99,7.59,8.02,19.83,10.55,8.02
267,atheism,70.51,6.18,4.21,6.46,5.34,7.3
268,atheism,40.89,8.37,7.88,18.72,12.81,11.33
269,atheism,59.4,5.98,4.27,7.69,14.96,7.69
270,atheism,64.26,6.02,4.82,10.84,6.02,8.03
271,atheism,36.69,7.69,12.43,11.24,17.75,14.2
272,atheism,46.83,8.73,8.73,14.29,9.52,11.9
273,atheism,42.99,10.28,10.28,14.95,10.28,11.21
274,atheism,43.35,8.09,6.94,9.25,20.81,11.56
275,atheism,57.22,6.42,7.49,14.97,7.49,6.42
276,atheism,52.38,6.8,6.12,20.41,6.46,7.82
277,atheism,48.03,7.87,9.45,14.96,11.02,8.66
278,atheism,57.23,6.29,8.81,8.18,11.32,8.18
279,atheism,60.67,6.18,6.74,8.43,6.18,11.8
280,atheism,41.6,10.4,11.2,13.6,13.6,9.6
281,atheism,54.34,7.51,9.83,9.25,12.72,6.36
282,atheism,63.04,6.52,8.7,7.39,6.09,8.26
283,atheism,61.65,8.65,4.89,10.53,6.02,8.27
284,atheism,52.0,6.5,8.0,16.5,10.0,7.0
285,atheism,51.9,5.06,6.33,11.81,17.72,7.17
286,atheism,69.03,4.42,4.13,10.62,7.37,4.42
287,atheism,43.04,8.23,10.76,20.25,10.13,7.59
288,atheism,54.75,7.82,6.7,15.08,7.26,8.38
289,atheism,57.28,6.31,9.22,12.14,8.25,6.8
290,atheism,35.04,6.93,5.47,11.68,31.39,9.49
291,atheism,65.35,3.65,4.86,10.33,10.03,5.78
292,atheism,42.4,8.0,8.0,20.0,12.0,9.6
293,atheism,59.84,4.82,5.62,14.06,10.44,5.22
294,atheism,56.57,5.05,6.06,13.13,12.12,7.07
295,atheism,67.45,5.19,5.66,7.55,7.08,7.08
296,atheism,68.52,4.63,6.02,6.94,8.8,5.09
297,atheism,52.78,5.56,8.33,11.11,14.44,7.78
298,atheism,46.09,7.81,8.59,16.41,12.5,8.59
299,atheism,68.46,4.15,4.98,9.96,7.05,5.39
300,atheism,58.62,5.91,5.42,14.29,9.85,5.91
301,atheism,30.13,5.63,6.95,29.8,14.57,12.91
302,atheism,30.41,8.77,8.19,28.65,9.94,14.04
303,atheism,37.7,9.42,9.42,16.75,17.28,9.42
304,atheism,57.78,7.78,8.33,13.89,6.67,5.56
305,atheism,53.33,7.22,7.78,14.44,9.44,7.78
306,atheism,64.84,5.21,4.17,4.17,10.16,11.46
307,atheism,52.73,7.88,6.06,15.15,9.7,8.48
308,atheism,36.6,7.73,7.73,19.59,15.46,12.89
309,atheism,70.1,4.12,3.78,8.93,8.93,4.12
310,atheism,44.21,8.42,8.95,16.84,13.16,8.42
311,atheism,49.41,4.71,5.49,6.67,25.1,8.63
312,atheism,45.7,6.33,9.05,17.19,7.24,14.48
313,atheism,36.5,9.49,8.76,17.52,14.6,13.14
314,atheism,53.19,9.22,7.09,10.64,8.51,11.35
315,atheism,66.12,4.96,6.2,9.5,7.02,6.2
316,atheism,55.03,7.38,7.38,13.42,7.38,9.4
317,atheism,28.93,10.06,10.06,25.79,15.09,10.06
318,atheism,47.93,8.26,10.74,10.74,11.57,10.74
319,atheism,51.55,9.94,9.32,11.18,9.32,8.7
320,atheism,64.53,4.7,4.7,13.68,6.84,5.56
321,atheism,44.49,7.76,6.94,15.92,12.65,12.24
322,atheism,74.61,3.76,4.7,6.27,6.58,4.08
323,atheism,44.35,8.87,8.06,20.16,8.06,10.48
324,atheism,52.32,7.95,7.28,13.91,7.95,10.6
325,atheism,46.36,10.0,10.0,13.64,9.09,10.91
326,atheism,48.0,9.6,8.8,10.4,12.8,10.4
327,atheism,46.76,9.35,9.35,14.39,10.79,9.35
328,atheism,35.77,12.2,9.76,21.95,9.76,10.57
329,atheism,56.4,7.56,7.56,12.79,8.14,7.56
330,atheism,60.66,6.56,6.97,10.66,9.43,5.74
331,atheism,58.49,5.66,6.6,15.09,6.13,8.02
332,atheism,50.38,8.4,7.63,12.98,9.92,10.69
333,atheism,54.17,7.64,8.33,11.11,9.72,9.03
334,atheism,26.47,13.53,7.06,20.0,18.24,14.71
335,atheism,51.41,6.78,10.73,16.95,6.21,7.91
336,atheism,52.15,11.04,10.43,10.43,6.13,9.82
337,atheism,44.0,7.43,8.57,15.43,12.0,12.57
338,atheism,53.51,10.53,7.89,8.77,9.21,10.09
339,atheism,46.96,8.29,9.39,11.05,16.57,7.73
340,atheism,48.84,6.4,12.21,12.21,10.47,9.88
341,atheism,32.53,13.86,7.23,27.71,7.23,11.45
342,atheism,45.86,7.52,12.03,12.03,12.03,10.53
343,atheism,62.04,4.14,6.81,11.44,9.0,6.57
344,atheism,64.89,4.21,3.93,9.83,12.08,5.06
345,atheism,61.54,6.33,5.43,12.67,5.88,8.14
346,atheism,67.46,5.03,4.73,6.8,8.88,7.1
347,atheism,35.19,8.64,11.11,20.99,13.58,10.49
348,atheism,50.41,10.16,7.72,10.16,10.57,10.98
349,atheism,46.88,4.69,7.03,26.95,7.81,6.64
350,atheism,34.59,9.43,13.21,18.87,11.32,12.58
351,atheism,46.73,6.55,3.57,12.8,22.02,8.33
352,atheism,46.15,9.79,11.19,12.59,12.59,7.69
353,for sale,21.11,13.33,12.22,23.33,16.67,13.33
354,atheism,70.78,6.93,3.92,4.52,8.13,5.72
355,atheism,61.07,3.73,4.27,12.53,12.27,6.13
356,atheism,59.31,4.14,4.14,8.28,17.24,6.9
357,atheism,40.28,10.42,8.33,25.0,7.64,8.33
358,atheism,41.04,5.19,5.66,30.19,10.85,7.08
359,atheism,51.52,2.09,2.41,14.14,25.45,4.4
360,atheism,73.91,3.59,3.97,9.07,5.67,3.78
361,atheism,44.3,10.07,9.4,14.09,12.08,10.07
362,atheism,53.67,7.34,7.91,12.99,10.17,7.91
363,atheism,29.13,10.19,9.22,28.64,12.62,10.19
364,atheism,45.65,5.98,7.07,16.85,17.39,7.07
365,atheism,39.83,10.17,10.17,22.03,9.32,8.47
366,atheism,45.45,9.09,9.09,16.53,11.57,8.26
367,atheism,49.29,7.86,8.57,12.86,11.43,10.0
368,atheism,49.07,8.07,7.45,17.39,9.94,8.07
369,atheism,30.84,10.28,10.28,25.23,14.49,8.88
370,atheism,25.0,15.18,14.29,16.96,13.39,15.18
371,atheism,54.66,1.85,1.55,13.68,24.41,3.85
372,atheism,46.99,11.45,10.84,12.05,12.05,6.63
373,atheism,40.0,10.4,9.6,21.6,8.8,9.6
374,atheism,71.68,3.85,3.15,8.39,8.04,4.9
375,for sale,27.05,6.28,7.25,30.92,10.63,17.87
376,atheism,36.64,9.92,12.21,22.14,8.4,10.69
377,atheism,44.64,8.93,10.71,11.61,10.71,13.39
378,atheism,63.18,3.18,3.55,14.02,6.36,9.72
379,atheism,35.78,7.8,10.09,29.36,9.63,7.34
380,for sale,26.54,9.88,11.73,34.57,8.64,8.64
381,for sale,26.61,11.29,10.48,27.42,11.29,12.9
382,atheism,42.98,12.4,9.09,12.4,10.74,12.4
383,atheism,26.74,12.79,15.12,17.44,11.63,16.28
384,for sale,22.37,10.53,14.47,30.92,9.21,12.5
385,atheism,58.59,5.08,7.03,8.59,14.06,6.64
386,atheism,42.31,8.17,4.81,11.06,26.44,7.21
387,atheism,46.74,9.24,8.15,20.11,7.07,8.7
388,for sale,17.89,15.45,12.2,31.71,10.57,12.2
389,atheism,28.87,11.34,14.43,20.62,13.4,11.34
390,atheism,24.79,9.92,15.7,24.79,8.26,16.53
391,atheism,59.63,4.59,5.96,9.17,10.09,10.55
392,atheism,56.35,6.09,7.11,10.15,10.66,9.64
393,atheism,34.11,9.3,10.08,17.83,12.4,16.28
394,atheism,46.53,8.33,9.72,13.19,10.42,11.81
395,atheism,29.66,11.03,14.48,22.76,9.66,12.41
396,atheism,41.85,7.61,8.7,13.04,16.3,12.5
397,atheism,35.75,7.26,10.06,13.97,17.88,15.08
398,atheism,29.0,13.0,13.0,20.0,12.0,13.0
399,atheism,45.93,8.15,10.37,9.63,12.59,13.33
400,atheism,46.11,5.18,10.36,16.06,10.36,11.92
401,atheism,45.96,10.61,9.6,14.14,11.62,8.08
402,atheism,29.28,18.23,11.05,13.81,14.92,12.71
403,atheism,39.19,8.06,8.06,21.98,10.62,12.09
404,atheism,41.18,11.27,9.31,14.22,11.27,12.75
405,atheism,45.57,8.86,9.49,17.09,9.49,9.49
406,atheism,46.03,6.35,10.05,9.52,13.76,14.29
407,atheism,52.87,7.01,13.38,10.19,8.92,7.64
408,atheism,57.07,6.28,8.38,9.42,9.95,8.9
409,atheism,51.32,6.58,8.55,9.87,7.89,15.79
410,atheism,47.74,7.41,10.29,12.76,9.05,12.76
411,atheism,34.96,10.57,13.01,23.58,9.76,8.13
412,atheism,45.59,8.09,11.03,11.03,9.56,14.71
413,atheism,35.44,8.25,12.62,28.16,6.8,8.74
414,atheism,46.67,10.37,11.11,12.59,10.37,8.89
415,atheism,40.46,10.69,11.45,14.5,12.21,10.69
416,atheism,48.61,8.33,5.56,12.5,17.13,7.87
417,atheism,58.8,7.6,8.0,7.2,8.8,9.6
418,atheism,78.37,2.35,0.95,9.57,5.72,3.04
419,atheism,76.35,3.3,2.43,8.7,4.52,4.7
420,for sale,24.83,11.03,9.66,32.41,11.72,10.34
421,atheism,64.01,6.23,5.88,10.38,6.57,6.92
422,for sale,18.48,13.04,17.39,27.17,10.87,13.04
423,atheism,59.3,6.4,6.98,12.79,6.98,7.56
424,atheism,24.77,11.93,10.09,24.77,12.84,15.6
425,atheism,66.33,4.42,5.44,8.5,7.82,7.48
426,atheism,50.0,8.59,7.03,13.28,12.5,8.59
427,atheism,22.5,15.0,13.75,21.25,15.0,12.5
428,atheism,51.72,10.34,6.9,10.34,8.05,12.64
429,atheism,38.0,15.5,8.5,15.0,14.5,8.5
430,atheism,53.45,9.77,9.2,14.37,5.75,7.47
431,atheism,29.35,13.04,14.13,14.13,14.13,15.22
432,atheism,25.66,17.7,10.62,21.24,12.39,12.39
433,atheism,48.94,8.51,9.22,11.35,9.93,12.06
434,atheism,41.61,12.08,10.74,10.07,16.78,8.72
435,atheism,47.54,9.84,11.48,10.66,9.84,10.66
436,atheism,57.89,7.24,9.21,8.55,7.89,9.21
437,atheism,35.0,5.83,12.5,23.75,11.67,11.25
438,atheism,43.56,5.3,9.85,9.47,24.24,7.58
439,atheism,52.94,6.25,9.19,9.93,15.07,6.62
440,atheism,46.06,10.24,8.27,20.08,7.48,7.87
441,atheism,43.36,3.36,2.34,15.18,31.09,4.67
442,atheism,46.43,7.14,7.14,13.27,16.33,9.69
443,for sale,14.53,12.82,13.68,37.61,9.4,11.97
444,atheism,46.46,9.45,9.45,11.02,13.39,10.24
445,atheism,68.5,3.41,3.41,9.97,9.45,5.25
446,atheism,56.0,5.71,9.14,13.71,8.0,7.43
447,atheism,65.59,5.26,6.48,7.69,9.31,5.67
448,atheism,28.57,10.32,13.49,20.63,14.29,12.7
449,atheism,53.81,6.36,9.32,13.98,9.32,7.2
450,atheism,40.87,8.7,10.43,18.26,9.57,12.17
451,atheism,47.97,9.76,10.57,13.82,8.94,8.94
452,atheism,45.08,9.02,9.84,16.39,9.02,10.66
453,atheism,40.86,8.31,6.98,20.27,11.63,11.96
454,atheism,39.49,8.92,8.28,16.56,17.2,9.55
455,atheism,39.31,8.28,8.97,17.93,15.17,10.34
456,atheism,31.48,10.19,11.11,24.07,12.04,11.11
457,atheism,37.06,8.24,7.65,19.41,19.41,8.24
458,atheism,39.69,8.4,8.4,19.08,8.4,16.03
459,atheism,66.55,5.28,4.23,12.32,6.34,5.28
460,atheism,39.45,11.93,9.17,16.51,12.84,10.09
461,atheism,53.21,9.06,7.55,9.81,11.32,9.06
462,atheism,66.88,4.76,5.84,6.71,10.61,5.19
463,atheism,45.63,7.77,9.22,18.45,9.71,9.22
