document,actual,labeled,for sale,hockey,apple hardware,atheism,email filler,university misc,electronics,guns
210,rec.sport.hockey,hockey,22,36,11,14,19,28,15,16
211,rec.sport.hockey,hockey,32,41,18,19,17,10,22,24
212,rec.sport.hockey,hockey,21,74,25,26,29,21,25,24
213,rec.sport.hockey,hockey,8,20,13,15,13,20,11,6
214,rec.sport.hockey,hockey,26,47,11,25,27,19,22,13
215,rec.sport.hockey,hockey,12,43,7,15,32,30,24,11
216,rec.sport.hockey,hockey,91,133,37,59,48,39,61,53
217,rec.sport.hockey,hockey,25,30,11,18,10,9,14,16
218,rec.sport.hockey,hockey,37,72,21,29,33,32,27,33
219,rec.sport.hockey,hockey,9,99,8,13,51,22,40,46
220,rec.sport.hockey,hockey,35,270,62,48,81,53,60,82
221,rec.sport.hockey,hockey,28,292,49,43,79,54,52,74
222,rec.sport.hockey,email filler,23,19,23,19,29,22,16,12
223,rec.sport.hockey,hockey,55,72,23,36,32,28,41,35
224,rec.sport.hockey,hockey,19,41,22,19,25,31,23,16
225,rec.sport.hockey,university misc,9,13,13,7,11,21,11,8
226,rec.sport.hockey,hockey,39,49,26,26,26,28,24,19
227,rec.sport.hockey,email filler,4,18,9,4,27,8,15,7
228,rec.sport.hockey,hockey,23,32,10,14,16,12,14,6
229,rec.sport.hockey,hockey,14,28,14,10,18,12,11,6
230,rec.sport.hockey,hockey,47,59,26,33,31,27,32,17
231,rec.sport.hockey,hockey,27,36,14,21,18,15,26,15
232,rec.sport.hockey,hockey,40,49,20,22,27,39,26,22
233,rec.sport.hockey,email filler,4,16,15,6,18,13,6,12
234,rec.sport.hockey,for sale,34,31,21,29,21,20,20,19
235,rec.sport.hockey,hockey,58,113,29,35,35,40,39,32
236,rec.sport.hockey,hockey,21,43,22,17,31,24,23,23
237,rec.sport.hockey,hockey,36,77,26,38,32,30,26,26
238,rec.sport.hockey,hockey,145,226,61,89,48,46,93,81
239,rec.sport.hockey,hockey,34,78,19,23,29,19,30,18
240,rec.sport.hockey,hockey,90,102,58,76,31,58,53,60
241,rec.sport.hockey,hockey,7,14,5,6,10,4,8,6
242,rec.sport.hockey,for sale,11,10,8,5,5,9,8,4
243,rec.sport.hockey,hockey,47,66,21,35,20,21,41,27
244,rec.sport.hockey,hockey,15,42,12,13,18,11,16,18
245,rec.sport.hockey,hockey,13,23,3,10,16,8,9,9
246,rec.sport.hockey,hockey,41,54,29,29,19,40,39,34
247,rec.sport.hockey,hockey,19,21,12,17,12,10,13,9
248,rec.sport.hockey,for sale,81,81,41,54,29,49,51,59
249,rec.sport.hockey,hockey,60,96,47,57,44,36,50,47
250,rec.sport.hockey,hockey,51,75,17,34,31,28,45,28
251,rec.sport.hockey,hockey,58,79,41,49,38,26,46,44
252,rec.sport.hockey,for sale,18,17,11,15,17,12,12,10
253,rec.sport.hockey,hockey,17,273,36,25,25,7,21,45
254,rec.sport.hockey,hockey,103,118,60,80,42,70,83,69
255,rec.sport.hockey,hockey,107,118,54,76,48,56,74,68
256,rec.sport.hockey,hockey,19,24,20,22,23,16,20,22
257,rec.sport.hockey,hockey,64,73,39,36,39,34,42,37
258,rec.sport.hockey,hockey,66,107,42,40,17,44,58,46
259,rec.sport.hockey,hockey,66,109,32,31,49,23,58,56
260,rec.sport.hockey,hockey,42,62,15,28,27,27,22,24
261,rec.sport.hockey,hockey,38,62,26,33,25,10,33,22
262,rec.sport.hockey,for sale,66,57,21,55,32,38,40,23
263,rec.sport.hockey,hockey,52,78,27,37,26,35,37,26
264,rec.sport.hockey,hockey,40,62,41,33,34,49,34,42
265,rec.sport.hockey,hockey,42,44,16,35,20,19,29,27
266,rec.sport.hockey,email filler,17,21,8,13,22,18,18,15
267,rec.sport.hockey,hockey,64,71,41,52,27,35,43,64
268,rec.sport.hockey,hockey,9,27,6,10,10,7,10,9
269,rec.sport.hockey,for sale,22,19,11,11,14,20,10,15
270,rec.sport.hockey,university misc,15,23,11,10,16,29,6,9
271,rec.sport.hockey,university misc,15,19,8,10,9,20,8,6
272,rec.sport.hockey,hockey,32,53,21,18,22,19,23,9
273,rec.sport.hockey,hockey,139,176,55,72,43,58,92,89
274,rec.sport.hockey,university misc,6,16,9,13,13,19,12,9
275,rec.sport.hockey,for sale,119,97,50,71,48,55,81,62
276,rec.sport.hockey,for sale,68,67,32,60,35,33,52,45
277,rec.sport.hockey,hockey,55,70,35,38,33,21,47,45
278,rec.sport.hockey,hockey,25,38,18,17,15,20,22,21
279,rec.sport.hockey,hockey,25,36,16,17,20,25,14,21
280,rec.sport.hockey,hockey,112,147,59,89,50,49,86,68
281,rec.sport.hockey,for sale,88,76,33,76,48,56,56,34
282,rec.sport.hockey,hockey,49,50,17,32,27,39,23,32
283,rec.sport.hockey,hockey,107,132,46,74,53,60,80,55
284,rec.sport.hockey,for sale,47,36,21,32,39,22,26,19
285,rec.sport.hockey,hockey,39,43,22,24,23,20,38,19
286,rec.sport.hockey,hockey,51,64,26,38,41,42,37,25
287,rec.sport.hockey,hockey,34,49,38,37,31,27,32,18
288,rec.sport.hockey,for sale,26,20,9,19,15,25,17,20
289,rec.sport.hockey,hockey,13,14,10,10,8,14,8,7
290,rec.sport.hockey,hockey,18,58,11,11,16,21,19,12
291,rec.sport.hockey,hockey,13,26,11,6,16,17,18,12
292,rec.sport.hockey,hockey,41,63,29,31,27,25,28,38
293,rec.sport.hockey,hockey,73,87,35,45,43,46,38,41
294,rec.sport.hockey,for sale,61,45,22,46,33,30,46,36
295,rec.sport.hockey,hockey,50,62,21,43,39,28,44,34
296,rec.sport.hockey,hockey,53,66,35,51,41,24,41,37
297,rec.sport.hockey,hockey,9,20,14,8,15,15,12,8
298,rec.sport.hockey,hockey,28,44,16,18,24,19,20,12
299,rec.sport.hockey,hockey,25,44,24,30,31,23,24,13
300,talk.politics.guns,guns,58,28,43,61,55,44,39,94
301,talk.politics.guns,guns,39,25,31,44,27,30,29,54
302,talk.politics.guns,guns,9,10,13,13,15,12,11,18
303,talk.politics.guns,guns,40,27,41,55,30,25,46,58
304,talk.politics.guns,guns,53,27,29,38,25,39,41,67
305,talk.politics.guns,guns,30,20,34,36,21,33,25,47
306,talk.politics.guns,guns,32,22,16,38,21,27,24,48
307,talk.politics.guns,guns,37,20,22,43,19,16,39,63
308,talk.politics.guns,guns,59,34,47,53,35,39,53,106
309,talk.politics.guns,guns,24,10,24,19,19,35,28,40
310,talk.politics.guns,guns,52,35,30,66,39,52,47,92
311,talk.politics.guns,guns,77,33,52,69,41,38,48,79
312,talk.politics.guns,atheism,88,28,47,91,35,44,71,81
313,talk.politics.guns,guns,58,17,35,53,28,25,51,88
314,talk.politics.guns,guns,71,25,38,62,24,35,58,94
315,talk.politics.guns,guns,32,16,21,42,32,26,29,51
316,talk.politics.guns,guns,36,21,20,34,29,30,32,53
317,talk.politics.guns,guns,54,34,37,62,34,51,59,83
318,talk.politics.guns,for sale,58,33,54,45,28,27,53,43
319,talk.politics.guns,apple hardware,16,14,26,10,13,15,22,17
320,talk.politics.guns,for sale,283,105,131,214,92,142,194,229
321,talk.politics.guns,guns,37,26,36,42,24,27,31,73
322,talk.politics.guns,guns,29,11,18,31,17,20,25,36
323,talk.politics.guns,guns,56,32,36,55,25,31,40,61
324,talk.politics.guns,guns,32,19,24,45,16,19,28,52
325,talk.politics.guns,email filler,7,7,7,3,8,5,4,7
326,talk.politics.guns,guns,68,38,49,65,36,47,83,132
327,talk.politics.guns,guns,10,6,11,12,15,8,19,24
328,talk.politics.guns,guns,84,34,50,89,39,65,69,118
329,talk.politics.guns,guns,66,38,64,66,64,51,60,90
330,talk.politics.guns,guns,30,23,15,24,16,29,19,56
331,talk.politics.guns,guns,172,60,82,159,67,87,142,185
332,talk.politics.guns,guns,51,23,36,57,36,37,38,79
333,talk.politics.guns,guns,20,13,10,21,12,15,17,33
334,talk.politics.guns,guns,103,59,82,112,59,58,98,124
335,talk.politics.guns,guns,71,30,37,71,39,45,53,73
336,talk.politics.guns,guns,61,32,26,57,44,35,46,111
337,talk.politics.guns,guns,41,22,24,40,18,26,39,59
338,talk.politics.guns,for sale,86,36,36,71,27,36,77,85
339,talk.politics.guns,guns,29,18,30,38,22,37,30,44
340,talk.politics.guns,guns,37,38,46,65,59,43,47,72
341,talk.politics.guns,guns,42,34,25,36,23,29,35,80
342,talk.politics.guns,guns,74,47,67,84,37,45,67,87
343,talk.politics.guns,guns,63,25,27,47,28,31,42,71
344,talk.politics.guns,guns,34,10,24,40,14,24,32,66
345,talk.politics.guns,guns,95,55,83,108,90,71,78,157
346,talk.politics.guns,guns,32,29,31,44,30,12,26,99
347,talk.politics.guns,guns,48,31,35,55,33,18,60,85
348,talk.politics.guns,guns,24,9,21,21,17,23,32,38
349,talk.politics.guns,guns,54,37,37,52,27,42,51,77
350,talk.politics.guns,atheism,81,42,54,99,40,55,72,89
351,talk.politics.guns,guns,32,22,15,28,12,27,29,35
352,talk.politics.guns,email filler,7,6,7,13,14,12,14,9
353,talk.politics.guns,guns,59,22,36,65,34,43,50,96
354,talk.politics.guns,guns,94,95,187,161,123,106,220,265
355,talk.politics.guns,guns,28,19,24,36,20,25,29,54
356,talk.politics.guns,guns,61,31,46,77,24,41,50,116
357,talk.politics.guns,guns,37,20,25,35,22,14,26,49
358,talk.politics.guns,guns,59,24,37,59,30,35,58,89
359,talk.politics.guns,guns,55,44,51,58,47,48,49,78
360,talk.politics.guns,guns,20,13,15,25,15,24,25,54
361,talk.politics.guns,guns,275,114,156,316,90,126,226,422
362,talk.politics.guns,guns,25,16,22,20,19,22,20,52
363,talk.politics.guns,atheism,43,24,30,47,17,22,32,43
364,talk.politics.guns,guns,49,25,36,47,30,38,47,87
365,talk.politics.guns,guns,66,32,51,76,42,67,72,112
366,talk.politics.guns,atheism,40,19,21,41,21,20,28,38
367,talk.politics.guns,guns,19,10,17,24,12,19,17,34
368,talk.politics.guns,atheism,18,9,11,21,14,18,13,19
369,talk.politics.guns,guns,114,47,53,117,38,54,85,154
370,talk.politics.guns,guns,8,12,12,12,17,20,12,27
371,talk.politics.guns,guns,14,14,13,17,23,10,16,46
372,talk.politics.guns,guns,24,10,10,14,14,22,21,30
373,talk.politics.guns,guns,47,28,22,45,31,32,31,59
374,talk.politics.guns,guns,23,14,21,28,26,24,22,41
375,talk.politics.guns,guns,17,12,16,12,13,25,14,37
376,talk.politics.guns,atheism,16,21,20,27,18,16,19,25
377,talk.politics.guns,guns,117,46,59,107,54,54,86,133
378,talk.politics.guns,guns,46,21,34,62,26,36,35,71
379,talk.politics.guns,guns,47,28,35,63,21,38,40,85
380,talk.politics.guns,guns,29,11,22,39,14,22,26,58
381,talk.politics.guns,guns,214,88,99,164,56,88,139,216
382,talk.politics.guns,guns,41,28,27,41,16,22,50,70
383,talk.politics.guns,guns,42,21,34,48,27,35,35,97
384,talk.politics.guns,guns,111,57,64,98,36,42,85,164
385,talk.politics.guns,guns,43,24,31,51,20,30,30,76
386,talk.politics.guns,guns,16,10,20,29,20,27,24,45
387,talk.politics.guns,guns,55,21,32,64,29,28,34,70
388,talk.politics.guns,guns,23,15,23,24,21,23,24,57
389,talk.politics.guns,guns,340,238,309,565,191,208,299,686
390,talk.politics.guns,for sale,29,11,21,21,15,17,26,24
391,talk.politics.guns,guns,32,18,27,48,20,27,33,62
392,talk.politics.guns,guns,118,55,72,113,58,38,98,154
393,talk.politics.guns,guns,292,112,180,352,101,156,232,419
394,talk.politics.guns,guns,17,10,15,19,14,14,25,32
395,talk.politics.guns,guns,21,16,17,36,27,26,25,41
396,talk.politics.guns,guns,139,114,111,218,84,80,189,385
397,talk.politics.guns,guns,48,23,35,45,40,47,54,58
398,talk.politics.guns,guns,36,18,29,31,21,29,43,59
399,talk.politics.guns,for sale,54,11,39,45,13,23,46,39
400,comp.sys.mac.hardware,apple hardware,18,15,58,15,28,21,30,12
401,comp.sys.mac.hardware,apple hardware,17,8,22,18,16,10,19,9
402,comp.sys.mac.hardware,apple hardware,13,8,32,21,16,13,28,22
403,comp.sys.mac.hardware,apple hardware,37,22,79,42,31,36,54,38
404,comp.sys.mac.hardware,apple hardware,23,20,84,26,24,16,44,25
405,comp.sys.mac.hardware,apple hardware,17,8,59,27,27,15,34,14
406,comp.sys.mac.hardware,apple hardware,27,12,91,40,50,44,47,39
407,comp.sys.mac.hardware,apple hardware,69,25,130,85,47,50,97,73
408,comp.sys.mac.hardware,electronics,43,19,57,56,41,30,62,36
409,comp.sys.mac.hardware,apple hardware,10,3,22,11,20,14,14,2
410,comp.sys.mac.hardware,university misc,11,12,23,13,22,26,18,13
411,comp.sys.mac.hardware,apple hardware,29,9,59,37,35,25,42,24
412,comp.sys.mac.hardware,apple hardware,17,18,37,20,12,20,22,10
413,comp.sys.mac.hardware,apple hardware,27,5,58,27,18,24,28,14
414,comp.sys.mac.hardware,email filler,12,11,21,16,24,17,19,11
415,comp.sys.mac.hardware,email filler,14,23,30,16,34,18,23,17
416,comp.sys.mac.hardware,apple hardware,14,11,31,12,25,19,18,10
417,comp.sys.mac.hardware,electronics,58,27,55,46,32,36,60,34
418,comp.sys.mac.hardware,apple hardware,24,20,56,25,23,23,34,19
419,comp.sys.mac.hardware,electronics,43,18,47,29,22,31,63,28
420,comp.sys.mac.hardware,electronics,54,28,50,47,34,32,71,28
421,comp.sys.mac.hardware,apple hardware,28,12,47,28,25,22,29,24
422,comp.sys.mac.hardware,apple hardware,20,13,55,17,25,19,24,16
423,comp.sys.mac.hardware,apple hardware,13,11,36,11,21,18,16,20
424,comp.sys.mac.hardware,apple hardware,39,31,59,35,33,36,44,35
425,comp.sys.mac.hardware,apple hardware,9,14,24,11,24,15,13,8
426,comp.sys.mac.hardware,electronics,14,16,28,19,23,25,31,19
427,comp.sys.mac.hardware,apple hardware,32,20,50,20,33,15,35,20
428,comp.sys.mac.hardware,apple hardware,15,13,31,15,16,8,27,13
429,comp.sys.mac.hardware,apple hardware,15,8,27,11,16,16,15,19
430,comp.sys.mac.hardware,apple hardware,41,33,78,42,36,39,46,32
431,comp.sys.mac.hardware,apple hardware,27,7,58,28,21,19,45,12
432,comp.sys.mac.hardware,apple hardware,29,16,49,22,27,20,34,16
433,comp.sys.mac.hardware,electronics,19,11,28,14,16,16,34,17
434,comp.sys.mac.hardware,apple hardware,18,7,34,14,14,17,25,7
435,comp.sys.mac.hardware,email filler,36,17,30,31,42,24,30,26
436,comp.sys.mac.hardware,apple hardware,53,35,93,38,41,24,53,36
437,comp.sys.mac.hardware,apple hardware,11,12,24,21,19,10,16,17
438,comp.sys.mac.hardware,apple hardware,4,8,21,9,13,12,6,10
439,comp.sys.mac.hardware,university misc,20,7,24,29,18,38,35,23
440,comp.sys.mac.hardware,apple hardware,5,11,28,12,12,6,11,15
441,comp.sys.mac.hardware,apple hardware,31,19,54,17,40,21,35,25
442,comp.sys.mac.hardware,apple hardware,10,8,40,10,16,30,9,13
443,comp.sys.mac.hardware,apple hardware,29,27,61,35,42,36,44,31
444,comp.sys.mac.hardware,apple hardware,32,27,94,40,74,33,55,50
445,comp.sys.mac.hardware,apple hardware,26,15,57,34,22,15,48,21
446,comp.sys.mac.hardware,apple hardware,6,9,22,12,11,16,8,6
447,comp.sys.mac.hardware,apple hardware,12,11,31,10,10,11,17,15
448,comp.sys.mac.hardware,apple hardware,63,34,116,58,37,32,72,41
449,comp.sys.mac.hardware,apple hardware,37,24,84,35,26,22,49,31
