document,actual,labeled,hockey,atheism,for sale,apple hardware,electronics,guns
54,alt.atheism,atheism,24,73,58,20,30,32
55,alt.atheism,for sale,12,42,71,19,25,27
56,alt.atheism,for sale,17,83,92,28,42,39
57,alt.atheism,for sale,15,46,81,15,29,28
58,alt.atheism,for sale,23,58,85,18,35,28
59,alt.atheism,atheism,57,157,70,51,74,90
60,alt.atheism,for sale,47,84,102,30,49,62
61,alt.atheism,atheism,22,59,54,16,26,29
62,alt.atheism,atheism,22,87,58,18,37,43
63,alt.atheism,atheism,14,73,36,18,24,28
64,alt.atheism,atheism,44,117,60,39,54,72
65,alt.atheism,atheism,37,66,37,35,45,47
66,alt.atheism,atheism,20,59,27,14,17,15
67,alt.atheism,atheism,19,45,43,28,33,37
68,alt.atheism,atheism,17,46,40,23,24,31
69,alt.atheism,atheism,27,91,50,30,28,43
70,alt.atheism,atheism,52,138,53,48,71,73
71,alt.atheism,atheism,32,113,35,28,48,57
72,alt.atheism,for sale,26,43,50,30,25,33
73,alt.atheism,atheism,58,131,116,43,68,96
74,alt.atheism,for sale,18,37,48,20,17,19
75,alt.atheism,atheism,32,95,59,33,37,49
76,alt.atheism,atheism,37,77,34,24,27,28
77,alt.atheism,atheism,55,103,54,41,69,65
78,alt.atheism,atheism,28,51,31,10,16,22
79,alt.atheism,atheism,44,152,65,43,58,84
80,alt.atheism,for sale,32,58,107,21,26,44
81,alt.atheism,for sale,21,45,60,24,20,21
82,alt.atheism,atheism,43,78,69,38,45,65
83,alt.atheism,atheism,21,52,30,22,30,26
84,alt.atheism,atheism,126,462,130,139,211,224
85,alt.atheism,atheism,47,114,63,61,71,81
86,alt.atheism,atheism,33,134,64,35,44,57
87,alt.atheism,atheism,199,756,198,191,297,375
88,alt.atheism,atheism,50,193,66,42,56,76
89,alt.atheism,atheism,40,79,71,26,44,54
90,alt.atheism,atheism,19,46,41,18,21,29
91,alt.atheism,atheism,21,54,27,18,35,44
92,alt.atheism,atheism,18,44,31,15,16,22
93,alt.atheism,atheism,55,202,69,62,78,106
94,alt.atheism,atheism,26,102,48,36,49,72
95,alt.atheism,atheism,24,64,33,16,31,31
96,alt.atheism,atheism,61,166,77,38,64,96
97,alt.atheism,atheism,23,54,46,24,33,42
98,alt.atheism,atheism,34,92,73,28,28,41
99,alt.atheism,for sale,16,41,51,20,21,24
100,alt.atheism,atheism,53,133,47,33,70,95
101,alt.atheism,atheism,39,113,49,38,55,57
102,alt.atheism,atheism,68,223,80,61,80,138
103,alt.atheism,atheism,20,43,18,17,27,21
104,alt.atheism,atheism,11,55,32,16,32,34
105,alt.atheism,atheism,12,37,26,13,19,26
106,alt.atheism,atheism,21,58,38,21,34,38
107,alt.atheism,atheism,47,242,49,40,88,109
108,alt.atheism,atheism,18,42,42,13,25,39
109,alt.atheism,atheism,23,68,52,12,27,44
110,alt.atheism,atheism,32,110,59,34,51,69
111,alt.atheism,atheism,42,161,85,33,75,104
112,alt.atheism,atheism,26,86,47,30,55,68
113,alt.atheism,for sale,9,26,31,11,14,25
114,alt.atheism,atheism,249,737,291,175,332,509
115,alt.atheism,atheism,28,105,24,19,39,46
116,alt.atheism,atheism,13,51,26,12,24,32
117,alt.atheism,atheism,18,59,37,13,24,35
118,alt.atheism,atheism,29,66,44,20,31,54
119,alt.atheism,atheism,62,187,51,43,75,85
120,alt.atheism,atheism,11,36,17,14,27,16
121,alt.atheism,atheism,24,101,40,22,39,47
122,alt.atheism,atheism,43,136,28,45,58,60
123,alt.atheism,atheism,39,141,32,32,57,66
124,alt.atheism,atheism,31,88,37,27,43,80
125,alt.atheism,atheism,60,204,61,45,72,108
126,alt.atheism,atheism,14,49,18,13,17,14
127,alt.atheism,atheism,34,107,63,31,40,73
128,alt.atheism,atheism,55,241,48,45,83,118
129,alt.atheism,atheism,59,210,74,62,94,123
130,alt.atheism,atheism,9,45,39,16,19,23
131,alt.atheism,for sale,55,127,138,43,62,73
132,alt.atheism,atheism,34,75,58,23,36,38
133,alt.atheism,atheism,52,108,42,35,50,78
134,alt.atheism,atheism,116,455,143,121,156,227
135,alt.atheism,atheism,34,137,39,30,40,56
136,alt.atheism,atheism,41,84,71,26,40,59
137,alt.atheism,atheism,25,76,34,16,29,43
138,alt.atheism,atheism,11,37,15,4,10,10
139,alt.atheism,atheism,12,63,11,11,16,21
140,alt.atheism,atheism,52,183,44,47,66,86
141,alt.atheism,atheism,17,88,23,14,28,42
142,alt.atheism,atheism,83,266,92,71,122,136
143,alt.atheism,atheism,24,106,26,22,37,46
144,alt.atheism,atheism,30,144,27,33,50,62
145,alt.atheism,for sale,13,46,49,23,22,35
146,alt.atheism,atheism,41,109,47,34,46,67
147,alt.atheism,atheism,53,191,66,59,70,95
148,alt.atheism,atheism,85,335,112,72,122,163
149,alt.atheism,atheism,32,123,38,30,46,59
150,alt.atheism,atheism,118,482,138,114,157,244
151,alt.atheism,atheism,16,75,27,9,30,20
152,alt.atheism,atheism,44,150,46,52,50,66
153,alt.atheism,for sale,26,48,60,16,22,28
154,alt.atheism,for sale,16,33,36,9,16,13
155,alt.atheism,atheism,56,208,67,59,74,92
156,alt.atheism,atheism,36,49,47,28,24,40
157,alt.atheism,atheism,21,90,53,19,30,38
158,alt.atheism,atheism,16,32,32,15,15,16
159,alt.atheism,atheism,14,36,31,14,15,18
160,alt.atheism,atheism,45,65,60,20,45,44
161,alt.atheism,atheism,152,571,160,141,227,325
162,alt.atheism,guns,18,31,50,20,49,53
163,alt.atheism,atheism,48,189,94,64,80,111
164,alt.atheism,atheism,20,77,42,25,34,33
165,alt.atheism,atheism,43,133,47,31,53,73
166,alt.atheism,atheism,25,108,63,19,40,45
167,alt.atheism,atheism,34,139,35,38,62,74
168,alt.atheism,atheism,71,314,98,63,101,143
169,alt.atheism,atheism,57,178,57,55,66,78
170,alt.atheism,atheism,52,166,61,32,57,71
171,alt.atheism,atheism,49,177,43,50,69,86
172,alt.atheism,atheism,117,456,158,84,164,258
173,alt.atheism,atheism,33,90,44,29,43,54
174,alt.atheism,atheism,54,119,63,48,60,82
175,alt.atheism,atheism,220,683,221,198,268,439
176,alt.atheism,atheism,24,88,65,29,42,49
177,alt.atheism,atheism,38,93,40,37,49,61
178,alt.atheism,atheism,106,324,103,92,146,177
179,alt.atheism,atheism,93,478,107,106,169,243
180,alt.atheism,atheism,29,63,28,33,26,43
181,alt.atheism,atheism,15,49,25,21,21,24
182,alt.atheism,atheism,20,78,28,20,25,37
183,alt.atheism,atheism,20,70,22,17,25,28
184,alt.atheism,atheism,32,56,35,20,34,36
185,alt.atheism,atheism,31,46,32,25,29,28
186,alt.atheism,atheism,28,73,38,31,40,59
187,alt.atheism,atheism,84,278,84,74,124,133
188,alt.atheism,atheism,10,26,15,12,14,14
189,alt.atheism,atheism,95,447,141,77,155,197
190,alt.atheism,atheism,202,729,181,156,262,396
191,alt.atheism,atheism,74,120,102,37,90,95
192,alt.atheism,atheism,509,2124,528,520,719,1201
193,alt.atheism,atheism,354,1978,367,426,612,953
194,alt.atheism,atheism,198,394,201,220,238,268
195,alt.atheism,atheism,18,55,25,14,18,23
196,alt.atheism,atheism,30,43,31,18,25,38
197,alt.atheism,atheism,20,44,42,12,21,17
198,alt.atheism,atheism,93,327,92,73,113,178
199,alt.atheism,for sale,32,85,117,24,52,57
200,misc.forsale,for sale,8,9,29,24,26,13
201,misc.forsale,apple hardware,12,20,24,45,28,24
202,misc.forsale,for sale,13,11,43,15,24,24
203,misc.forsale,apple hardware,12,23,18,43,28,13
204,misc.forsale,apple hardware,45,17,27,50,31,29
205,misc.forsale,apple hardware,9,3,11,14,13,5
206,misc.forsale,apple hardware,15,9,20,32,13,14
207,misc.forsale,guns,35,49,57,28,40,59
208,misc.forsale,guns,40,30,44,49,43,54
209,misc.forsale,electronics,68,64,41,175,229,76
210,misc.forsale,hockey,37,17,26,30,23,33
211,misc.forsale,hockey,29,8,15,12,24,21
212,misc.forsale,apple hardware,14,11,17,42,20,12
213,misc.forsale,apple hardware,12,3,11,27,17,8
214,misc.forsale,apple hardware,32,38,30,84,45,48
215,misc.forsale,apple hardware,71,71,37,161,67,101
216,misc.forsale,apple hardware,43,44,36,110,68,54
217,misc.forsale,apple hardware,27,23,24,50,48,32
218,misc.forsale,apple hardware,4,4,6,27,17,6
219,misc.forsale,apple hardware,32,8,22,56,45,21
220,misc.forsale,for sale,23,13,34,30,14,10
221,misc.forsale,apple hardware,14,9,10,29,15,9
222,misc.forsale,apple hardware,99,86,53,185,94,133
223,misc.forsale,apple hardware,33,30,23,53,32,41
224,misc.forsale,electronics,18,6,13,17,23,9
225,misc.forsale,for sale,33,52,59,28,37,41
226,misc.forsale,apple hardware,17,12,17,21,18,18
227,misc.forsale,electronics,31,36,35,48,57,36
228,misc.forsale,for sale,36,73,84,45,49,56
229,misc.forsale,apple hardware,23,7,9,35,24,15
230,misc.forsale,apple hardware,20,14,11,45,26,18
231,misc.forsale,guns,30,20,21,26,34,39
232,misc.forsale,electronics,50,50,52,62,81,69
233,misc.forsale,apple hardware,20,30,24,56,41,36
234,misc.forsale,apple hardware,28,32,26,88,44,37
235,misc.forsale,apple hardware,19,29,25,38,25,20
236,misc.forsale,electronics,14,6,12,18,31,11
237,misc.forsale,electronics,11,1,10,14,29,5
238,misc.forsale,apple hardware,31,17,26,76,44,28
239,misc.forsale,apple hardware,19,28,36,71,36,32
240,misc.forsale,apple hardware,30,17,25,73,42,28
241,misc.forsale,apple hardware,23,29,20,76,29,33
242,misc.forsale,apple hardware,30,38,42,73,42,51
243,misc.forsale,apple hardware,13,12,12,33,11,12
244,misc.forsale,apple hardware,24,9,21,31,20,12
245,misc.forsale,apple hardware,24,32,25,63,37,37
246,misc.forsale,apple hardware,38,27,29,84,48,38
247,misc.forsale,apple hardware,23,35,26,60,30,31
248,misc.forsale,apple hardware,87,102,50,145,116,108
249,misc.forsale,apple hardware,32,34,30,131,53,44
250,misc.forsale,apple hardware,22,12,26,40,26,14
251,misc.forsale,apple hardware,33,35,39,52,39,42
252,misc.forsale,apple hardware,16,15,27,42,20,18
253,misc.forsale,hockey,57,34,27,48,56,50
254,misc.forsale,electronics,18,19,19,10,34,12
255,misc.forsale,apple hardware,36,32,27,74,61,43
256,misc.forsale,electronics,16,16,21,28,50,26
257,misc.forsale,apple hardware,17,13,15,28,19,20
258,misc.forsale,electronics,17,7,21,27,39,15
259,misc.forsale,apple hardware,8,14,22,33,20,20
260,misc.forsale,apple hardware,33,26,26,66,45,39
261,misc.forsale,apple hardware,18,14,12,50,29,23
262,misc.forsale,apple hardware,38,49,52,96,58,61
263,misc.forsale,apple hardware,13,7,11,25,11,14
264,misc.forsale,apple hardware,26,16,10,44,25,20
265,misc.forsale,apple hardware,55,47,49,157,94,55
266,misc.forsale,apple hardware,25,17,29,56,27,32
267,misc.forsale,electronics,90,99,75,90,184,129
268,misc.forsale,apple hardware,22,26,41,49,36,44
269,misc.forsale,apple hardware,54,30,55,80,47,78
270,misc.forsale,guns,17,11,13,18,14,19
271,misc.forsale,apple hardware,44,72,54,89,63,65
272,misc.forsale,apple hardware,28,18,19,53,33,23
273,misc.forsale,apple hardware,25,19,20,47,24,15
274,misc.forsale,apple hardware,26,39,32,72,31,37
275,misc.forsale,apple hardware,24,19,24,36,23,18
276,misc.forsale,apple hardware,29,28,34,35,29,26
277,misc.forsale,electronics,8,5,6,10,19,6
278,misc.forsale,apple hardware,27,18,16,69,42,36
279,misc.forsale,apple hardware,39,16,27,63,30,25
280,misc.forsale,apple hardware,43,49,43,114,57,65
281,misc.forsale,apple hardware,50,29,25,68,42,33
282,misc.forsale,apple hardware,44,32,32,83,65,38
283,misc.forsale,guns,36,39,49,61,50,62
284,misc.forsale,apple hardware,31,19,24,89,37,38
285,misc.forsale,electronics,40,29,24,42,76,41
286,misc.forsale,apple hardware,51,41,38,71,70,60
287,misc.forsale,apple hardware,24,33,30,43,32,32
288,misc.forsale,electronics,26,11,15,22,29,19
289,misc.forsale,apple hardware,16,19,21,77,30,31
290,misc.forsale,apple hardware,22,14,24,34,22,22
291,misc.forsale,for sale,21,19,34,31,26,27
292,misc.forsale,apple hardware,33,29,27,69,39,33
293,misc.forsale,for sale,4,13,33,11,12,18
294,misc.forsale,electronics,15,7,18,26,32,18
295,misc.forsale,apple hardware,13,11,22,53,24,22
296,misc.forsale,apple hardware,23,16,27,35,30,10
297,misc.forsale,apple hardware,25,24,23,84,53,36
298,misc.forsale,apple hardware,13,9,20,23,17,12
299,misc.forsale,electronics,21,16,12,26,27,21
300,misc.forsale,apple hardware,22,11,19,29,21,14
301,misc.forsale,apple hardware,33,29,24,68,39,30
302,misc.forsale,apple hardware,21,17,20,54,30,27
303,misc.forsale,apple hardware,46,60,45,121,63,68
304,misc.forsale,apple hardware,48,39,34,57,34,46
305,misc.forsale,atheism,18,28,21,27,28,19
306,misc.forsale,electronics,45,41,30,29,92,36
307,misc.forsale,electronics,18,16,29,42,48,14
308,misc.forsale,apple hardware,50,24,35,58,51,40
309,misc.forsale,apple hardware,13,6,8,35,14,8
310,misc.forsale,apple hardware,23,21,14,50,38,18
311,misc.forsale,apple hardware,12,15,17,46,20,18
312,misc.forsale,electronics,18,15,18,22,32,17
313,misc.forsale,apple hardware,19,18,16,38,33,26
314,misc.forsale,apple hardware,28,23,11,51,23,29
315,misc.forsale,apple hardware,16,15,31,41,34,25
316,misc.forsale,apple hardware,25,12,12,71,25,15
317,misc.forsale,apple hardware,35,44,26,105,53,63
318,misc.forsale,apple hardware,60,99,38,210,77,114
319,misc.forsale,apple hardware,36,38,28,119,53,49
320,misc.forsale,apple hardware,31,28,22,80,32,37
321,misc.forsale,apple hardware,45,63,43,110,50,56
322,misc.forsale,atheism,110,145,77,125,132,131
323,misc.forsale,apple hardware,12,9,14,49,17,10
324,misc.forsale,apple hardware,17,18,16,25,20,17
325,misc.forsale,electronics,18,11,14,24,25,19
326,misc.forsale,electronics,18,17,6,18,30,14
327,misc.forsale,apple hardware,25,22,19,55,50,34
328,misc.forsale,electronics,5,3,6,9,11,6
329,misc.forsale,guns,38,53,50,34,45,63
330,misc.forsale,apple hardware,53,54,55,98,73,85
331,misc.forsale,hockey,41,31,25,37,41,40
332,misc.forsale,electronics,21,24,18,24,79,36
333,misc.forsale,for sale,16,6,18,16,16,15
334,misc.forsale,apple hardware,10,6,11,33,21,10
335,misc.forsale,apple hardware,30,14,21,60,35,37
336,misc.forsale,apple hardware,31,17,20,35,28,35
337,misc.forsale,hockey,31,12,12,23,28,19
338,misc.forsale,electronics,48,40,29,48,88,56
339,misc.forsale,electronics,36,18,21,38,56,25
340,misc.forsale,electronics,14,6,6,12,18,13
341,misc.forsale,apple hardware,16,10,11,30,19,9
342,misc.forsale,apple hardware,28,33,23,40,29,34
343,misc.forsale,for sale,6,7,38,34,18,6
344,misc.forsale,apple hardware,21,19,26,70,29,28
345,misc.forsale,apple hardware,40,53,47,123,63,35
346,misc.forsale,apple hardware,12,6,14,27,16,10
347,misc.forsale,apple hardware,62,66,45,148,73,77
348,misc.forsale,electronics,67,40,54,74,80,49
349,misc.forsale,hockey,52,26,30,47,49,39
350,misc.forsale,electronics,18,16,18,34,44,16
351,misc.forsale,electronics,63,61,54,86,94,85
352,misc.forsale,electronics,42,19,19,42,58,32
353,misc.forsale,apple hardware,20,28,27,68,36,26
354,misc.forsale,apple hardware,14,11,15,29,28,13
355,misc.forsale,apple hardware,24,20,23,49,31,24
356,misc.forsale,electronics,21,13,18,21,23,16
357,misc.forsale,apple hardware,18,9,22,40,11,13
358,misc.forsale,apple hardware,331,332,181,1122,206,344
359,misc.forsale,apple hardware,34,15,23,50,35,24
360,misc.forsale,apple hardware,105,91,49,330,72,116
361,misc.forsale,hockey,25,10,16,18,20,19
362,misc.forsale,apple hardware,15,13,28,45,19,21
363,misc.forsale,apple hardware,11,5,11,35,23,17
364,misc.forsale,apple hardware,74,71,62,151,83,96
365,misc.forsale,apple hardware,12,8,19,22,18,21
366,misc.forsale,electronics,7,4,9,20,21,14
367,misc.forsale,apple hardware,31,20,20,64,50,31
368,misc.forsale,apple hardware,13,3,14,16,10,2
369,misc.forsale,apple hardware,28,20,21,82,46,24
370,misc.forsale,apple hardware,15,14,18,35,20,13
371,misc.forsale,apple hardware,16,18,21,36,16,16
372,misc.forsale,apple hardware,45,42,26,91,69,47
373,misc.forsale,apple hardware,35,26,28,79,46,30
374,misc.forsale,apple hardware,28,19,23,32,31,29
375,misc.forsale,apple hardware,17,10,14,33,21,19
376,misc.forsale,electronics,17,18,15,15,27,20
377,misc.forsale,apple hardware,10,10,16,49,18,18
378,misc.forsale,apple hardware,19,32,32,43,24,22
379,misc.forsale,for sale,8,2,12,6,4,3
380,misc.forsale,apple hardware,13,4,15,18,9,7
381,misc.forsale,apple hardware,28,54,25,66,54,61
382,misc.forsale,apple hardware,14,5,12,21,8,5
383,misc.forsale,apple hardware,11,9,9,38,13,10
384,misc.forsale,apple hardware,43,27,14,82,43,43
385,misc.forsale,apple hardware,20,9,17,25,17,16
386,misc.forsale,for sale,14,12,32,26,25,18
387,misc.forsale,hockey,37,16,15,19,22,17
388,misc.forsale,electronics,17,12,19,18,29,16
389,misc.forsale,electronics,32,29,37,44,59,36
390,misc.forsale,apple hardware,17,16,15,63,26,20
391,misc.forsale,apple hardware,51,65,40,170,76,73
392,misc.forsale,apple hardware,11,10,11,60,31,18
393,misc.forsale,apple hardware,18,18,13,78,38,25
394,misc.forsale,guns,39,56,34,47,58,69
395,misc.forsale,for sale,29,18,31,16,24,30
396,misc.forsale,apple hardware,11,9,16,39,23,17
397,misc.forsale,apple hardware,258,286,154,744,245,308
398,misc.forsale,electronics,17,7,21,20,22,5
399,misc.forsale,apple hardware,7,4,12,26,11,10
400,rec.sport.hockey,hockey,382,275,159,114,202,273
401,rec.sport.hockey,hockey,132,71,43,23,50,56
402,rec.sport.hockey,hockey,93,54,36,31,37,52
403,rec.sport.hockey,hockey,64,22,26,25,26,24
404,rec.sport.hockey,for sale,21,12,35,15,9,9
405,rec.sport.hockey,hockey,140,72,36,39,55,83
406,rec.sport.hockey,for sale,28,24,31,21,23,17
407,rec.sport.hockey,hockey,14,3,9,10,8,7
408,rec.sport.hockey,hockey,137,60,49,42,53,69
409,rec.sport.hockey,hockey,110,55,44,40,58,54
410,rec.sport.hockey,hockey,682,54,29,93,42,138
411,rec.sport.hockey,hockey,406,38,21,80,25,104
412,rec.sport.hockey,hockey,72,13,30,18,15,16
413,rec.sport.hockey,hockey,40,20,21,20,27,34
414,rec.sport.hockey,hockey,138,52,45,41,52,65
415,rec.sport.hockey,hockey,81,40,46,19,39,38
416,rec.sport.hockey,hockey,70,47,41,33,41,55
417,rec.sport.hockey,hockey,219,131,90,56,107,136
418,rec.sport.hockey,hockey,48,17,18,20,20,23
419,rec.sport.hockey,hockey,188,120,64,36,77,103
420,rec.sport.hockey,hockey,108,54,51,39,53,63
421,rec.sport.hockey,hockey,236,60,33,34,32,51
422,rec.sport.hockey,hockey,43,9,19,11,18,9
423,rec.sport.hockey,electronics,80,77,58,53,84,67
424,rec.sport.hockey,hockey,150,56,44,35,61,64
425,rec.sport.hockey,hockey,113,74,56,48,81,77
426,rec.sport.hockey,hockey,15,5,9,7,9,7
427,rec.sport.hockey,hockey,243,41,34,27,35,53
428,rec.sport.hockey,hockey,81,21,32,16,34,36
429,rec.sport.hockey,atheism,147,149,81,65,96,123
430,rec.sport.hockey,hockey,87,40,26,24,33,40
431,rec.sport.hockey,hockey,60,28,31,21,32,33
432,rec.sport.hockey,hockey,48,19,47,17,23,25
433,rec.sport.hockey,hockey,97,17,28,20,33,18
434,rec.sport.hockey,for sale,43,43,57,34,29,40
435,rec.sport.hockey,hockey,77,27,18,23,33,33
436,rec.sport.hockey,hockey,55,33,24,21,29,32
437,rec.sport.hockey,hockey,26,5,14,17,17,7
438,rec.sport.hockey,hockey,82,47,39,28,41,51
439,rec.sport.hockey,hockey,167,86,54,38,63,91
440,rec.sport.hockey,hockey,51,20,20,18,24,26
441,rec.sport.hockey,hockey,47,27,33,22,33,29
442,rec.sport.hockey,hockey,108,48,52,46,50,52
443,rec.sport.hockey,hockey,138,86,56,46,67,73
444,rec.sport.hockey,hockey,43,14,18,7,18,18
445,rec.sport.hockey,hockey,73,37,28,17,27,39
446,rec.sport.hockey,hockey,97,50,51,38,60,56
447,rec.sport.hockey,for sale,57,25,67,22,32,30
448,rec.sport.hockey,hockey,112,49,48,30,53,50
449,rec.sport.hockey,hockey,71,33,29,19,27,33
450,rec.sport.hockey,hockey,107,61,49,34,53,68
451,rec.sport.hockey,hockey,47,28,46,16,20,26
452,rec.sport.hockey,hockey,94,51,31,33,45,49
453,rec.sport.hockey,for sale,52,37,92,24,41,42
454,rec.sport.hockey,hockey,27,7,22,13,11,7
455,rec.sport.hockey,hockey,198,109,72,54,74,106
456,rec.sport.hockey,hockey,128,40,43,46,44,55
457,rec.sport.hockey,hockey,103,63,70,41,71,81
458,rec.sport.hockey,hockey,71,11,26,16,13,11
459,rec.sport.hockey,hockey,120,61,54,47,58,76
460,rec.sport.hockey,hockey,155,84,57,42,81,103
461,rec.sport.hockey,hockey,156,66,48,52,86,74
462,rec.sport.hockey,hockey,174,82,62,47,78,99
463,rec.sport.hockey,hockey,155,65,44,36,57,73
464,rec.sport.hockey,hockey,984,341,198,190,309,422
465,rec.sport.hockey,hockey,175,87,65,27,68,76
466,rec.sport.hockey,hockey,149,67,57,44,59,75
467,rec.sport.hockey,hockey,244,61,36,33,35,52
468,rec.sport.hockey,hockey,136,65,53,36,73,73
469,rec.sport.hockey,hockey,344,34,28,57,26,50
470,rec.sport.hockey,hockey,53,34,30,26,34,47
471,rec.sport.hockey,hockey,229,129,72,69,99,123
472,rec.sport.hockey,electronics,10,8,17,17,25,12
473,rec.sport.hockey,hockey,264,145,88,71,119,160
474,rec.sport.hockey,hockey,66,31,27,18,32,41
475,rec.sport.hockey,hockey,58,19,21,13,28,24
476,rec.sport.hockey,hockey,61,30,32,15,27,34
477,rec.sport.hockey,hockey,103,12,16,19,9,24
478,rec.sport.hockey,hockey,54,45,40,35,34,46
479,rec.sport.hockey,hockey,126,10,11,21,11,27
480,rec.sport.hockey,hockey,528,93,90,123,102,140
481,rec.sport.hockey,hockey,794,47,83,72,74,75
482,rec.sport.hockey,hockey,43,21,19,19,23,22
483,rec.sport.hockey,hockey,69,27,20,18,22,27
484,rec.sport.hockey,hockey,78,22,20,18,20,26
485,rec.sport.hockey,hockey,37,25,35,22,21,24
486,rec.sport.hockey,hockey,61,38,33,36,40,42
487,rec.sport.hockey,hockey,110,80,65,33,60,75
488,rec.sport.hockey,hockey,155,104,64,48,76,115
489,rec.sport.hockey,hockey,64,24,17,22,29,29
490,rec.sport.hockey,hockey,207,109,83,59,83,116
491,rec.sport.hockey,hockey,99,40,35,22,45,45
492,rec.sport.hockey,hockey,141,68,46,34,62,64
493,rec.sport.hockey,hockey,77,30,31,14,30,31
494,rec.sport.hockey,hockey,59,21,23,13,28,27
495,rec.sport.hockey,hockey,160,98,77,59,72,85
496,rec.sport.hockey,hockey,103,48,35,32,45,41
497,rec.sport.hockey,hockey,162,102,81,45,83,83
498,rec.sport.hockey,hockey,40,18,18,10,29,24
499,rec.sport.hockey,hockey,40,22,34,10,15,19
500,rec.sport.hockey,hockey,75,30,29,21,36,35
501,rec.sport.hockey,hockey,268,102,73,63,89,123
502,rec.sport.hockey,hockey,42,8,7,11,13,15
503,rec.sport.hockey,electronics,16,21,10,13,26,15
504,rec.sport.hockey,electronics,7,1,9,7,10,10
505,rec.sport.hockey,hockey,114,49,44,30,68,51
506,rec.sport.hockey,hockey,291,143,88,67,108,139
507,rec.sport.hockey,hockey,76,45,35,29,49,49
508,rec.sport.hockey,hockey,55,27,20,14,25,26
509,rec.sport.hockey,hockey,112,25,25,23,33,30
510,rec.sport.hockey,hockey,78,36,32,23,38,43
511,rec.sport.hockey,hockey,138,87,64,50,73,106
512,rec.sport.hockey,hockey,187,122,90,69,96,133
513,rec.sport.hockey,hockey,22,11,13,9,13,14
514,rec.sport.hockey,hockey,71,18,26,19,20,23
515,rec.sport.hockey,electronics,21,9,25,22,30,17
516,rec.sport.hockey,hockey,61,21,29,17,23,25
517,rec.sport.hockey,for sale,38,19,39,14,20,23
518,rec.sport.hockey,guns,8,3,9,7,10,11
519,rec.sport.hockey,hockey,49,11,20,15,17,22
520,rec.sport.hockey,hockey,6130,1510,990,1485,1453,2480
521,rec.sport.hockey,hockey,84,47,55,34,46,44
522,rec.sport.hockey,hockey,66,27,39,26,31,23
523,rec.sport.hockey,hockey,156,77,50,44,65,81
524,rec.sport.hockey,hockey,204,138,84,71,97,132
525,rec.sport.hockey,hockey,170,68,55,63,57,75
526,rec.sport.hockey,hockey,137,64,41,24,40,56
527,rec.sport.hockey,hockey,141,15,20,30,24,31
528,rec.sport.hockey,hockey,111,54,41,28,62,61
529,rec.sport.hockey,hockey,102,71,57,30,58,57
