document,actual,labeled,apple hardware,atheism,hockey,electronics,for sale,guns
74,alt.atheism,atheism,21,53,25,17,24,24
75,alt.atheism,atheism,32,114,37,21,43,45
76,alt.atheism,atheism,18,83,32,21,24,33
77,alt.atheism,atheism,27,99,52,49,85,63
78,alt.atheism,atheism,10,67,26,12,25,27
79,alt.atheism,atheism,46,146,53,37,69,83
80,alt.atheism,atheism,42,106,30,16,35,42
81,alt.atheism,atheism,27,67,31,17,29,28
82,alt.atheism,atheism,36,100,42,26,51,63
83,alt.atheism,atheism,15,59,20,20,25,20
84,alt.atheism,atheism,102,436,140,116,179,231
85,alt.atheism,atheism,50,106,49,57,76,73
86,alt.atheism,atheism,23,143,38,39,57,58
87,alt.atheism,atheism,127,706,186,164,336,356
88,alt.atheism,atheism,36,202,45,56,73,84
89,alt.atheism,atheism,33,95,40,31,49,58
90,alt.atheism,atheism,19,56,18,11,28,31
91,alt.atheism,atheism,22,58,19,20,30,44
92,alt.atheism,atheism,10,55,13,12,21,26
93,alt.atheism,atheism,46,198,59,57,83,100
94,alt.atheism,atheism,31,97,29,34,47,71
95,alt.atheism,atheism,23,70,23,18,26,27
96,alt.atheism,atheism,39,169,55,40,85,96
97,alt.atheism,atheism,39,69,27,21,33,38
98,alt.atheism,atheism,43,118,37,24,35,36
99,alt.atheism,atheism,29,65,19,13,23,21
100,alt.atheism,atheism,28,136,43,40,67,76
101,alt.atheism,atheism,32,119,37,31,57,53
102,alt.atheism,atheism,52,227,64,50,102,128
103,alt.atheism,atheism,17,53,17,19,23,23
104,alt.atheism,atheism,16,61,13,27,23,34
105,alt.atheism,atheism,11,47,16,13,22,25
106,alt.atheism,atheism,16,67,30,28,24,26
107,alt.atheism,atheism,37,242,42,55,80,91
108,alt.atheism,atheism,20,53,19,8,33,37
109,alt.atheism,atheism,19,78,30,11,40,44
110,alt.atheism,atheism,34,120,40,25,56,60
111,alt.atheism,atheism,28,172,53,45,79,99
112,alt.atheism,atheism,33,92,27,30,54,60
113,alt.atheism,atheism,9,42,16,6,19,15
114,alt.atheism,atheism,142,729,237,174,366,477
115,alt.atheism,atheism,18,110,20,21,33,35
116,alt.atheism,atheism,11,56,16,19,19,22
117,alt.atheism,atheism,5,66,24,21,19,27
118,alt.atheism,atheism,20,67,26,33,28,54
119,alt.atheism,atheism,32,191,66,68,42,66
120,alt.atheism,atheism,13,41,10,16,16,13
121,alt.atheism,atheism,15,98,27,26,43,47
122,alt.atheism,atheism,31,141,41,45,44,63
123,alt.atheism,atheism,24,143,48,48,44,50
124,alt.atheism,atheism,24,91,36,30,41,73
125,alt.atheism,atheism,34,203,53,51,72,105
126,alt.atheism,atheism,9,53,11,17,16,14
127,alt.atheism,atheism,26,129,22,31,44,48
128,alt.atheism,atheism,52,240,54,50,76,109
129,alt.atheism,atheism,45,206,46,60,94,125
130,alt.atheism,atheism,15,58,15,14,24,21
131,alt.atheism,atheism,52,170,73,48,70,72
132,alt.atheism,atheism,29,89,40,26,40,45
133,alt.atheism,atheism,29,106,43,42,47,73
134,alt.atheism,atheism,80,458,116,122,157,204
135,alt.atheism,atheism,26,135,34,26,37,53
136,alt.atheism,atheism,25,122,38,26,43,52
137,alt.atheism,atheism,24,80,26,26,28,46
138,alt.atheism,atheism,7,41,12,8,13,11
139,alt.atheism,atheism,13,64,10,8,15,16
140,alt.atheism,atheism,36,180,55,32,62,84
141,alt.atheism,atheism,15,87,23,24,34,37
142,alt.atheism,atheism,60,258,96,73,96,137
143,alt.atheism,atheism,15,101,27,18,38,49
144,alt.atheism,atheism,25,148,32,27,42,52
145,alt.atheism,atheism,16,70,26,15,26,29
146,alt.atheism,atheism,30,113,28,31,50,53
147,alt.atheism,atheism,43,182,61,38,79,96
148,alt.atheism,atheism,52,340,87,67,115,150
149,alt.atheism,atheism,22,125,29,31,40,46
150,alt.atheism,atheism,85,486,122,116,171,236
151,alt.atheism,atheism,12,82,15,28,27,18
152,alt.atheism,atheism,41,145,47,36,46,53
153,alt.atheism,atheism,27,69,37,15,34,25
154,alt.atheism,atheism,20,47,21,9,20,11
155,alt.atheism,atheism,34,200,63,53,81,90
156,alt.atheism,atheism,47,48,37,16,30,37
157,alt.atheism,atheism,24,100,35,23,42,44
158,alt.atheism,atheism,24,43,22,9,18,16
159,alt.atheism,atheism,19,51,21,8,23,17
160,alt.atheism,atheism,19,88,41,26,49,49
161,alt.atheism,atheism,82,562,161,146,213,330
162,alt.atheism,atheism,14,55,27,37,36,44
163,alt.atheism,atheism,56,201,72,52,79,104
164,alt.atheism,atheism,27,89,30,18,38,37
165,alt.atheism,atheism,27,131,41,38,45,55
166,alt.atheism,atheism,32,124,25,18,39,54
167,alt.atheism,atheism,27,139,36,40,52,55
168,alt.atheism,atheism,46,303,78,69,119,135
169,alt.atheism,atheism,42,173,60,47,73,78
170,alt.atheism,atheism,34,174,41,33,65,78
171,alt.atheism,atheism,30,164,55,47,63,84
172,alt.atheism,atheism,80,460,117,108,198,250
173,alt.atheism,atheism,24,98,33,29,43,50
174,alt.atheism,atheism,39,126,56,36,70,74
175,alt.atheism,atheism,162,675,245,161,256,390
176,alt.atheism,atheism,21,117,33,20,44,36
177,alt.atheism,atheism,42,95,47,34,41,72
178,alt.atheism,atheism,78,307,122,91,128,159
179,alt.atheism,atheism,81,472,97,110,169,202
180,alt.atheism,atheism,19,62,26,24,30,43
181,alt.atheism,atheism,19,58,21,18,15,23
182,alt.atheism,atheism,18,83,20,25,37,35
183,alt.atheism,atheism,15,72,20,16,22,32
184,alt.atheism,atheism,16,55,30,20,34,34
185,alt.atheism,atheism,17,47,25,19,37,23
186,alt.atheism,atheism,29,78,32,33,40,43
187,alt.atheism,atheism,51,276,67,72,113,137
188,alt.atheism,atheism,11,31,12,10,15,14
189,alt.atheism,atheism,81,444,101,106,142,210
190,alt.atheism,atheism,137,733,206,154,264,375
191,alt.atheism,atheism,32,145,60,57,95,84
192,alt.atheism,atheism,435,2137,602,542,647,1065
193,alt.atheism,atheism,286,1962,379,459,512,945
194,alt.atheism,atheism,264,418,203,218,142,229
195,alt.atheism,atheism,12,56,20,15,28,29
196,alt.atheism,atheism,15,43,22,17,37,39
197,alt.atheism,atheism,14,57,26,19,25,21
198,alt.atheism,atheism,53,321,91,86,121,161
199,alt.atheism,atheism,27,145,43,35,48,61
200,misc.forsale,electronics,18,15,14,30,16,12
201,misc.forsale,apple hardware,44,21,14,24,20,22
202,misc.forsale,for sale,26,16,22,20,33,15
203,misc.forsale,apple hardware,45,20,12,19,18,13
204,misc.forsale,apple hardware,39,17,33,34,36,32
205,misc.forsale,apple hardware,18,6,10,7,9,5
206,misc.forsale,apple hardware,35,14,15,10,11,11
207,misc.forsale,for sale,35,49,45,25,62,55
208,misc.forsale,apple hardware,54,22,42,42,47,39
209,misc.forsale,electronics,172,54,65,184,60,83
210,misc.forsale,hockey,30,20,36,15,22,34
211,misc.forsale,apple hardware,29,8,27,18,11,22
212,misc.forsale,apple hardware,40,14,10,17,12,15
213,misc.forsale,apple hardware,29,7,11,10,9,7
214,misc.forsale,apple hardware,76,39,30,38,42,49
215,misc.forsale,electronics,104,85,67,110,42,62
216,misc.forsale,apple hardware,107,46,43,46,57,46
217,misc.forsale,apple hardware,42,18,24,28,32,26
218,misc.forsale,apple hardware,20,5,5,15,14,3
219,misc.forsale,apple hardware,56,15,29,40,29,15
220,misc.forsale,apple hardware,52,17,22,8,12,11
221,misc.forsale,apple hardware,22,6,11,13,12,7
222,misc.forsale,apple hardware,143,67,112,141,59,91
223,misc.forsale,for sale,33,29,26,35,42,32
224,misc.forsale,electronics,18,7,18,27,7,6
225,misc.forsale,for sale,30,49,39,23,59,39
226,misc.forsale,apple hardware,24,17,16,19,18,15
227,misc.forsale,for sale,39,33,29,46,48,25
228,misc.forsale,for sale,45,69,44,36,73,60
229,misc.forsale,apple hardware,44,8,14,18,16,9
230,misc.forsale,apple hardware,54,8,11,20,15,15
231,misc.forsale,for sale,22,21,25,30,34,31
232,misc.forsale,apple hardware,76,46,48,41,63,46
233,misc.forsale,apple hardware,51,23,23,30,26,32
234,misc.forsale,apple hardware,80,32,21,32,39,32
235,misc.forsale,apple hardware,32,30,19,19,25,16
236,misc.forsale,apple hardware,23,9,13,17,14,8
237,misc.forsale,apple hardware,23,4,10,12,8,3
238,misc.forsale,apple hardware,81,23,32,26,30,22
239,misc.forsale,apple hardware,82,43,31,30,26,27
240,misc.forsale,apple hardware,77,23,32,24,30,22
241,misc.forsale,apple hardware,72,30,24,30,40,23
242,misc.forsale,apple hardware,77,38,35,28,47,48
243,misc.forsale,apple hardware,32,12,10,11,14,12
244,misc.forsale,apple hardware,38,11,22,14,17,14
245,misc.forsale,apple hardware,50,30,20,42,29,43
246,misc.forsale,apple hardware,87,30,41,27,35,31
247,misc.forsale,apple hardware,61,31,24,25,32,27
248,misc.forsale,apple hardware,140,94,80,62,81,97
249,misc.forsale,apple hardware,128,31,30,58,41,41
250,misc.forsale,apple hardware,43,19,19,21,21,15
251,misc.forsale,apple hardware,54,24,29,29,36,35
252,misc.forsale,apple hardware,47,19,14,16,23,17
253,misc.forsale,apple hardware,62,33,49,39,29,41
254,misc.forsale,apple hardware,24,20,14,20,18,7
255,misc.forsale,apple hardware,78,31,32,35,44,37
256,misc.forsale,electronics,32,21,14,44,24,21
257,misc.forsale,apple hardware,30,13,15,20,20,9
258,misc.forsale,electronics,26,7,13,38,23,21
259,misc.forsale,apple hardware,34,21,13,12,15,14
260,misc.forsale,apple hardware,59,32,34,44,22,37
261,misc.forsale,apple hardware,57,20,23,20,17,20
262,misc.forsale,apple hardware,80,48,35,80,41,47
263,misc.forsale,apple hardware,24,10,5,17,12,13
264,misc.forsale,apple hardware,37,16,26,26,11,16
265,misc.forsale,apple hardware,183,62,40,72,39,63
266,misc.forsale,apple hardware,52,21,24,22,17,33
267,misc.forsale,guns,95,94,75,133,94,138
268,misc.forsale,electronics,34,30,24,50,31,41
269,misc.forsale,electronics,32,30,39,79,57,73
270,misc.forsale,apple hardware,21,12,17,11,12,16
271,misc.forsale,apple hardware,85,69,39,51,74,63
272,misc.forsale,apple hardware,52,24,26,20,21,25
273,misc.forsale,apple hardware,41,23,22,24,16,11
274,misc.forsale,apple hardware,64,44,25,27,32,36
275,misc.forsale,apple hardware,31,14,22,17,31,15
276,misc.forsale,apple hardware,43,27,31,20,21,24
277,misc.forsale,apple hardware,12,4,12,8,12,6
278,misc.forsale,apple hardware,65,24,22,32,31,29
279,misc.forsale,apple hardware,52,22,36,33,23,20
280,misc.forsale,electronics,62,42,53,105,42,47
281,misc.forsale,apple hardware,56,31,53,34,24,32
282,misc.forsale,apple hardware,84,35,41,50,35,35
283,misc.forsale,electronics,43,39,37,60,45,51
284,misc.forsale,apple hardware,97,25,36,25,25,35
285,misc.forsale,electronics,42,42,34,46,37,45
286,misc.forsale,apple hardware,73,39,52,39,45,70
287,misc.forsale,apple hardware,45,33,23,25,32,25
288,misc.forsale,apple hardware,28,15,21,17,19,15
289,misc.forsale,apple hardware,64,28,25,33,19,24
290,misc.forsale,apple hardware,33,16,20,20,19,24
291,misc.forsale,apple hardware,41,20,19,17,23,24
292,misc.forsale,apple hardware,70,29,31,30,22,34
293,misc.forsale,electronics,15,17,13,18,18,6
294,misc.forsale,apple hardware,30,20,15,17,13,12
295,misc.forsale,apple hardware,49,15,13,31,13,16
296,misc.forsale,electronics,31,13,20,37,18,17
297,misc.forsale,apple hardware,85,27,27,48,25,26
298,misc.forsale,apple hardware,22,10,14,19,13,4
299,misc.forsale,apple hardware,26,13,20,15,14,20
300,misc.forsale,apple hardware,34,19,21,16,18,12
301,misc.forsale,apple hardware,65,27,26,32,24,22
302,misc.forsale,apple hardware,59,17,17,25,25,23
303,misc.forsale,apple hardware,116,58,40,49,57,58
304,misc.forsale,apple hardware,47,42,46,22,34,32
305,misc.forsale,apple hardware,33,25,17,30,18,20
306,misc.forsale,for sale,39,38,40,39,59,29
307,misc.forsale,electronics,37,18,18,52,18,19
308,misc.forsale,apple hardware,74,24,43,27,28,42
309,misc.forsale,apple hardware,31,13,9,14,9,8
310,misc.forsale,apple hardware,49,13,23,42,22,15
311,misc.forsale,apple hardware,46,16,21,19,12,17
312,misc.forsale,apple hardware,26,15,19,18,22,14
313,misc.forsale,apple hardware,35,16,22,28,19,22
314,misc.forsale,apple hardware,51,16,28,20,14,25
315,misc.forsale,apple hardware,44,19,23,24,19,26
316,misc.forsale,apple hardware,68,15,21,24,21,12
317,misc.forsale,apple hardware,107,48,39,49,30,49
318,misc.forsale,apple hardware,214,75,53,50,49,96
319,misc.forsale,apple hardware,121,30,22,38,30,46
320,misc.forsale,apple hardware,76,24,22,25,30,35
321,misc.forsale,apple hardware,112,50,36,35,37,61
322,misc.forsale,guns,112,129,108,83,84,161
323,misc.forsale,apple hardware,44,8,15,10,10,5
324,misc.forsale,electronics,17,19,17,24,18,18
325,misc.forsale,apple hardware,32,9,19,17,20,16
326,misc.forsale,electronics,18,13,19,22,15,14
327,misc.forsale,apple hardware,56,33,17,34,28,26
328,misc.forsale,apple hardware,9,2,7,4,7,5
329,misc.forsale,for sale,37,51,34,25,57,52
330,misc.forsale,for sale,69,52,55,38,82,70
331,misc.forsale,for sale,27,27,37,29,42,23
332,misc.forsale,electronics,16,22,17,62,34,32
333,misc.forsale,apple hardware,29,9,12,11,12,9
334,misc.forsale,apple hardware,37,7,11,14,14,6
335,misc.forsale,apple hardware,74,23,27,25,26,32
336,misc.forsale,guns,26,25,30,22,22,31
337,misc.forsale,hockey,16,10,26,19,19,21
338,misc.forsale,apple hardware,66,35,39,60,46,52
339,misc.forsale,apple hardware,54,19,38,33,20,35
340,misc.forsale,apple hardware,17,7,10,15,5,11
341,misc.forsale,apple hardware,25,9,13,11,23,7
342,misc.forsale,for sale,30,31,27,24,35,26
343,misc.forsale,apple hardware,37,10,10,34,10,12
344,misc.forsale,apple hardware,70,20,19,22,22,31
345,misc.forsale,apple hardware,117,35,47,68,25,59
346,misc.forsale,apple hardware,31,8,11,10,9,8
347,misc.forsale,apple hardware,141,58,60,53,58,65
348,misc.forsale,electronics,48,51,37,87,63,55
349,misc.forsale,hockey,46,26,49,34,34,34
350,misc.forsale,apple hardware,32,18,23,30,23,18
351,misc.forsale,for sale,72,61,67,55,80,69
352,misc.forsale,electronics,30,24,38,45,21,34
353,misc.forsale,apple hardware,72,43,22,22,27,23
354,misc.forsale,apple hardware,31,14,12,20,11,15
355,misc.forsale,apple hardware,54,21,24,23,25,21
356,misc.forsale,apple hardware,28,12,18,16,17,15
357,misc.forsale,apple hardware,51,9,13,21,13,10
358,misc.forsale,electronics,182,296,322,1136,117,299
359,misc.forsale,apple hardware,51,16,27,30,30,21
360,misc.forsale,electronics,67,87,100,312,53,114
361,misc.forsale,hockey,16,16,23,21,11,19
362,misc.forsale,apple hardware,59,17,18,21,13,24
363,misc.forsale,apple hardware,34,3,11,27,11,20
364,misc.forsale,apple hardware,132,64,75,91,58,85
365,misc.forsale,electronics,18,13,15,24,12,11
366,misc.forsale,apple hardware,22,4,6,12,9,21
367,misc.forsale,apple hardware,66,19,28,32,24,30
368,misc.forsale,for sale,15,6,15,6,16,3
369,misc.forsale,apple hardware,80,24,29,35,20,19
370,misc.forsale,apple hardware,33,11,10,15,17,13
371,misc.forsale,apple hardware,37,16,17,14,11,16
372,misc.forsale,apple hardware,76,34,41,59,47,41
373,misc.forsale,apple hardware,85,26,31,41,24,31
374,misc.forsale,apple hardware,46,19,27,19,23,25
375,misc.forsale,apple hardware,29,11,16,19,17,15
376,misc.forsale,apple hardware,21,11,16,13,16,19
377,misc.forsale,apple hardware,47,12,13,20,15,13
378,misc.forsale,for sale,34,27,18,26,35,12
379,misc.forsale,apple hardware,15,4,8,2,2,3
380,misc.forsale,apple hardware,30,10,9,4,4,7
381,misc.forsale,apple hardware,74,57,36,34,24,55
382,misc.forsale,apple hardware,22,5,22,9,10,6
383,misc.forsale,apple hardware,40,12,11,13,11,8
384,misc.forsale,apple hardware,60,31,42,45,32,41
385,misc.forsale,apple hardware,28,10,23,13,13,11
386,misc.forsale,electronics,24,16,17,26,22,17
387,misc.forsale,hockey,23,14,31,19,16,16
388,misc.forsale,electronics,15,14,15,34,17,11
389,misc.forsale,apple hardware,45,35,28,37,45,36
390,misc.forsale,apple hardware,59,19,14,18,21,12
391,misc.forsale,apple hardware,142,67,42,75,68,60
392,misc.forsale,apple hardware,66,14,14,25,15,19
393,misc.forsale,apple hardware,77,15,21,33,14,23
394,misc.forsale,electronics,41,48,35,62,40,59
395,misc.forsale,hockey,28,26,32,16,19,29
396,misc.forsale,apple hardware,44,9,12,27,11,11
397,misc.forsale,electronics,176,273,221,772,187,256
398,misc.forsale,apple hardware,25,10,17,12,19,6
399,misc.forsale,apple hardware,26,9,8,6,10,11
400,rec.sport.hockey,hockey,80,257,369,99,218,276
401,rec.sport.hockey,hockey,21,69,125,20,61,44
402,rec.sport.hockey,hockey,26,48,95,26,45,48
403,rec.sport.hockey,hockey,20,22,66,10,20,22
404,rec.sport.hockey,hockey,15,13,24,19,14,12
405,rec.sport.hockey,hockey,29,75,135,41,67,79
406,rec.sport.hockey,for sale,24,23,29,13,34,16
407,rec.sport.hockey,hockey,12,4,13,7,7,5
408,rec.sport.hockey,hockey,37,57,139,32,60,57
409,rec.sport.hockey,hockey,33,51,104,35,49,53
410,rec.sport.hockey,hockey,36,61,682,117,56,103
411,rec.sport.hockey,hockey,27,41,406,82,42,87
412,rec.sport.hockey,hockey,18,15,75,12,28,18
413,rec.sport.hockey,hockey,13,23,36,25,26,30
414,rec.sport.hockey,hockey,19,55,140,44,43,64
415,rec.sport.hockey,hockey,15,40,83,23,42,37
416,rec.sport.hockey,hockey,27,44,66,35,45,45
417,rec.sport.hockey,hockey,44,133,217,62,113,135
418,rec.sport.hockey,hockey,22,17,41,15,21,16
419,rec.sport.hockey,hockey,35,111,170,35,89,84
420,rec.sport.hockey,hockey,29,56,104,42,57,60
421,rec.sport.hockey,hockey,29,44,237,31,38,52
422,rec.sport.hockey,hockey,8,11,44,18,10,9
423,rec.sport.hockey,hockey,35,62,81,40,70,70
424,rec.sport.hockey,hockey,14,52,155,33,47,62
425,rec.sport.hockey,hockey,42,71,101,62,80,78
426,rec.sport.hockey,hockey,13,7,14,9,9,4
427,rec.sport.hockey,hockey,20,33,241,25,33,47
428,rec.sport.hockey,hockey,22,22,80,20,36,28
429,rec.sport.hockey,hockey,38,135,143,55,119,118
430,rec.sport.hockey,hockey,25,38,90,24,39,32
431,rec.sport.hockey,hockey,22,34,63,22,32,32
432,rec.sport.hockey,hockey,21,25,58,21,19,26
433,rec.sport.hockey,hockey,17,20,97,25,21,16
434,rec.sport.hockey,guns,41,40,48,15,40,49
435,rec.sport.hockey,hockey,17,36,72,18,24,35
436,rec.sport.hockey,hockey,10,26,52,15,35,27
437,rec.sport.hockey,apple hardware,20,5,19,9,8,16
438,rec.sport.hockey,hockey,15,38,82,20,52,41
439,rec.sport.hockey,hockey,31,72,170,37,71,88
440,rec.sport.hockey,hockey,13,16,46,11,26,19
441,rec.sport.hockey,hockey,28,29,42,23,29,30
442,rec.sport.hockey,hockey,55,49,104,30,44,48
443,rec.sport.hockey,hockey,32,72,136,40,77,73
444,rec.sport.hockey,hockey,14,18,45,11,13,12
445,rec.sport.hockey,hockey,22,32,79,17,25,36
446,rec.sport.hockey,hockey,31,54,89,43,63,50
447,rec.sport.hockey,hockey,25,33,68,26,28,32
448,rec.sport.hockey,hockey,24,45,108,27,54,41
449,rec.sport.hockey,hockey,25,31,71,18,30,27
450,rec.sport.hockey,hockey,28,60,109,27,62,54
451,rec.sport.hockey,hockey,19,29,57,15,36,25
452,rec.sport.hockey,hockey,16,41,87,34,44,45
453,rec.sport.hockey,hockey,35,49,78,32,56,41
454,rec.sport.hockey,hockey,15,10,25,11,19,6
455,rec.sport.hockey,hockey,41,94,199,46,99,104
456,rec.sport.hockey,hockey,37,42,127,29,43,54
457,rec.sport.hockey,hockey,41,62,98,32,82,74
458,rec.sport.hockey,hockey,26,15,70,12,14,15
459,rec.sport.hockey,hockey,30,59,121,41,76,62
460,rec.sport.hockey,hockey,33,83,156,48,85,93
461,rec.sport.hockey,hockey,47,66,147,53,70,81
462,rec.sport.hockey,hockey,37,81,171,48,85,92
463,rec.sport.hockey,hockey,25,58,145,34,53,66
464,rec.sport.hockey,hockey,105,298,959,195,305,419
465,rec.sport.hockey,hockey,31,87,156,32,70,64
466,rec.sport.hockey,hockey,39,69,156,35,65,65
467,rec.sport.hockey,hockey,29,46,243,33,41,54
468,rec.sport.hockey,hockey,31,70,130,43,75,67
469,rec.sport.hockey,hockey,26,49,354,64,20,49
470,rec.sport.hockey,hockey,37,34,52,39,30,39
471,rec.sport.hockey,hockey,54,111,230,64,103,123
472,rec.sport.hockey,electronics,15,10,12,24,13,15
473,rec.sport.hockey,hockey,59,124,260,70,123,159
474,rec.sport.hockey,hockey,13,26,62,18,37,33
475,rec.sport.hockey,hockey,12,18,47,10,26,20
476,rec.sport.hockey,hockey,21,31,62,12,34,31
477,rec.sport.hockey,hockey,7,9,103,23,15,18
478,rec.sport.hockey,for sale,13,40,50,30,51,43
479,rec.sport.hockey,hockey,7,12,117,29,13,20
480,rec.sport.hockey,hockey,84,87,526,123,102,117
481,rec.sport.hockey,hockey,56,61,801,97,74,76
482,rec.sport.hockey,hockey,14,19,45,17,22,24
483,rec.sport.hockey,hockey,13,27,67,19,26,24
484,rec.sport.hockey,hockey,14,26,81,16,22,22
485,rec.sport.hockey,hockey,15,27,41,24,25,23
486,rec.sport.hockey,for sale,34,37,46,24,50,43
487,rec.sport.hockey,hockey,29,71,106,26,78,66
488,rec.sport.hockey,hockey,34,89,152,59,99,115
489,rec.sport.hockey,hockey,14,32,61,22,25,27
490,rec.sport.hockey,hockey,48,90,178,66,102,118
491,rec.sport.hockey,hockey,19,36,96,17,42,46
492,rec.sport.hockey,hockey,27,57,123,26,62,60
493,rec.sport.hockey,hockey,13,25,80,15,31,36
494,rec.sport.hockey,hockey,14,21,49,11,39,20
495,rec.sport.hockey,hockey,38,77,158,51,95,105
496,rec.sport.hockey,hockey,23,40,101,20,37,42
497,rec.sport.hockey,hockey,33,71,168,46,108,95
498,rec.sport.hockey,hockey,13,17,40,14,27,24
499,rec.sport.hockey,hockey,14,27,38,14,30,21
500,rec.sport.hockey,hockey,31,32,57,21,40,32
501,rec.sport.hockey,hockey,41,101,268,45,94,119
502,rec.sport.hockey,hockey,14,10,42,16,7,12
503,rec.sport.hockey,for sale,10,18,10,18,27,18
504,rec.sport.hockey,hockey,7,4,8,7,7,6
505,rec.sport.hockey,hockey,25,52,108,47,58,50
506,rec.sport.hockey,hockey,61,130,293,52,123,135
507,rec.sport.hockey,hockey,20,44,73,23,53,38
508,rec.sport.hockey,hockey,12,26,54,11,25,28
509,rec.sport.hockey,hockey,20,29,111,28,30,28
510,rec.sport.hockey,hockey,22,29,67,25,45,35
511,rec.sport.hockey,hockey,45,91,134,48,84,102
512,rec.sport.hockey,hockey,55,106,187,62,125,152
513,rec.sport.hockey,hockey,12,9,25,7,15,11
514,rec.sport.hockey,hockey,13,25,75,19,20,20
515,rec.sport.hockey,electronics,16,13,23,31,13,17
516,rec.sport.hockey,hockey,20,26,58,15,23,25
517,rec.sport.hockey,hockey,18,21,42,13,33,24
518,rec.sport.hockey,hockey,7,5,9,8,7,6
519,rec.sport.hockey,hockey,18,20,49,9,23,18
520,rec.sport.hockey,hockey,1263,1408,6245,1320,1123,2251
521,rec.sport.hockey,hockey,22,42,78,30,72,45
522,rec.sport.hockey,hockey,22,23,66,13,43,23
523,rec.sport.hockey,hockey,32,67,143,36,83,81
524,rec.sport.hockey,hockey,27,109,185,50,125,120
525,rec.sport.hockey,hockey,31,73,167,40,64,67
526,rec.sport.hockey,hockey,22,63,134,31,41,50
527,rec.sport.hockey,hockey,22,22,139,29,18,28
528,rec.sport.hockey,hockey,18,60,97,24,64,62
