document,actual,apple hardware,atheism,hockey,electronics,for sale,guns
48,atheism,20.33,30.89,8.13,9.76,17.89,13.01
49,atheism,7.86,52.2,5.97,5.03,17.3,11.64
50,atheism,5.38,56.05,5.83,5.83,17.04,9.87
51,atheism,12.84,43.12,11.01,9.17,12.84,11.01
52,atheism,5.53,52.77,5.11,8.09,13.19,15.32
53,atheism,8.58,54.13,7.26,5.94,15.18,8.91
54,atheism,8.82,54.12,10.0,9.41,10.0,7.65
55,atheism,10.53,51.97,6.58,8.55,11.84,10.53
56,atheism,9.74,61.54,5.13,7.69,9.74,6.15
57,atheism,12.42,45.34,7.45,6.83,16.77,11.18
58,atheism,9.09,51.7,7.39,6.82,16.48,8.52
59,atheism,7.91,49.01,7.11,4.74,21.74,9.49
60,atheism,6.88,44.5,8.26,7.8,24.77,7.8
61,atheism,12.34,48.7,11.04,7.79,10.39,9.74
62,atheism,9.09,53.41,6.25,7.39,15.34,8.52
63,atheism,8.72,58.39,6.71,6.71,10.74,8.72
64,atheism,16.16,51.97,6.55,8.3,8.73,8.3
65,for sale,11.25,23.75,12.5,10.0,30.63,11.88
66,atheism,11.68,48.18,9.49,8.76,14.6,7.3
67,atheism,11.49,37.84,7.43,14.19,14.86,14.19
68,atheism,19.12,42.65,7.35,10.29,11.76,8.82
69,atheism,8.33,49.44,7.78,8.33,15.56,10.56
70,atheism,9.96,50.22,8.23,6.49,15.58,9.52
71,atheism,6.5,54.0,8.5,7.5,10.5,13.0
72,atheism,14.09,40.94,7.38,9.4,18.12,10.07
73,atheism,8.3,55.23,6.86,6.14,15.88,7.58
74,atheism,13.49,39.68,12.7,9.52,15.87,8.73
75,atheism,13.76,54.5,7.94,5.82,8.99,8.99
76,atheism,7.84,50.33,9.15,7.84,15.03,9.8
77,atheism,9.05,32.58,9.5,9.95,28.96,9.95
78,atheism,7.97,49.28,10.87,9.42,14.49,7.97
79,atheism,7.76,50.61,4.49,5.31,13.06,18.78
80,atheism,17.35,47.96,5.61,6.63,15.31,7.14
81,atheism,16.31,43.26,9.22,7.09,14.18,9.93
82,atheism,15.46,40.21,11.34,6.7,11.86,14.43
83,atheism,10.14,41.3,10.87,13.04,16.67,7.97
84,atheism,4.02,61.47,3.02,4.52,14.57,12.4
85,atheism,14.35,29.15,7.17,14.35,26.01,8.97
86,atheism,6.88,60.09,5.96,5.96,13.3,7.8
87,atheism,2.5,65.91,3.47,4.02,17.92,6.19
88,atheism,4.64,62.91,4.3,9.6,11.59,6.95
89,atheism,10.0,45.26,8.42,8.42,15.79,12.11
90,atheism,13.85,39.23,10.0,8.46,16.15,12.31
91,atheism,12.5,31.94,11.11,13.89,11.81,18.75
92,atheism,12.1,43.55,9.68,9.68,10.48,14.52
93,atheism,7.95,58.94,5.63,8.28,11.92,7.28
94,atheism,6.98,37.67,7.91,11.16,13.02,23.26
95,atheism,14.19,44.59,9.46,10.14,12.16,9.46
96,atheism,8.02,53.05,5.73,5.34,17.94,9.92
97,atheism,20.26,35.29,10.46,9.15,13.07,11.76
98,atheism,17.67,48.37,7.91,6.51,9.77,9.77
99,atheism,20.13,44.3,9.4,8.72,10.74,6.71
100,atheism,9.2,43.2,8.8,7.6,18.0,13.2
101,atheism,9.45,48.26,8.96,7.96,14.93,10.45
102,atheism,5.73,57.31,5.44,4.58,13.47,13.47
103,atheism,16.41,39.06,8.59,9.38,15.62,10.94
104,atheism,10.49,45.45,6.99,11.19,11.89,13.99
105,atheism,11.48,37.7,9.02,9.84,19.67,12.3
106,atheism,9.09,40.26,12.34,14.94,12.99,10.39
107,atheism,4.36,70.72,4.05,4.98,9.97,5.92
108,atheism,12.03,34.59,8.27,7.52,18.05,19.55
109,atheism,12.99,40.91,8.44,7.14,13.64,16.88
110,atheism,11.34,53.61,5.15,6.7,15.46,7.73
111,atheism,6.44,58.33,5.68,6.82,9.09,13.64
112,atheism,8.47,40.68,6.21,7.91,16.95,19.77
113,atheism,11.11,36.75,11.11,11.11,15.38,14.53
114,atheism,3.0,65.99,2.25,3.22,13.3,12.23
115,atheism,10.29,61.14,6.29,8.0,6.86,7.43
116,atheism,8.59,42.19,7.81,13.28,14.06,14.06
117,atheism,7.69,39.16,11.19,15.38,13.29,13.29
118,atheism,11.52,30.3,9.09,13.94,12.73,22.42
119,atheism,5.82,64.0,6.18,12.0,6.18,5.82
120,atheism,12.39,31.86,9.73,18.58,15.93,11.5
121,atheism,8.33,47.22,9.44,6.67,15.56,12.78
122,atheism,6.82,57.73,5.91,8.64,9.09,11.82
123,atheism,6.22,58.67,6.22,10.22,12.0,6.67
124,atheism,9.33,39.38,7.25,8.81,9.84,25.39
125,atheism,5.67,59.67,5.33,6.67,12.0,10.67
126,atheism,13.68,47.86,9.4,9.4,11.11,8.55
127,atheism,10.81,53.6,4.95,7.66,13.51,9.46
128,atheism,4.17,74.04,4.17,5.45,8.01,4.17
129,atheism,5.36,53.0,5.05,7.89,12.3,16.4
130,atheism,10.32,44.44,8.73,8.73,13.49,14.29
131,atheism,9.75,54.51,5.42,9.75,15.88,4.69
132,atheism,14.04,47.19,10.67,7.3,12.92,7.87
133,atheism,11.4,39.04,11.84,10.09,10.96,16.67
134,atheism,2.58,72.81,4.48,5.34,10.84,3.96
135,atheism,5.31,65.7,7.73,5.31,9.18,6.76
136,atheism,8.5,60.0,6.0,7.5,9.0,9.0
137,atheism,12.35,41.76,9.41,8.24,12.35,15.88
138,atheism,10.58,41.35,11.54,10.58,15.38,10.58
139,atheism,9.45,54.33,8.66,7.87,10.24,9.45
140,atheism,7.75,67.83,5.04,5.43,7.75,6.2
141,atheism,7.01,53.5,7.64,8.92,12.1,10.83
142,atheism,4.32,67.44,4.9,6.63,8.65,8.07
143,atheism,6.98,56.4,6.4,6.98,15.12,8.14
144,atheism,5.78,63.11,5.33,6.67,12.0,7.11
145,atheism,13.67,46.76,7.19,8.63,10.79,12.95
146,atheism,8.72,50.77,5.64,8.21,18.46,8.21
147,atheism,6.91,56.36,6.55,6.18,15.64,8.36
148,atheism,3.69,72.58,3.46,4.15,10.37,5.76
149,atheism,5.94,59.9,6.44,6.44,11.39,9.9
150,atheism,3.13,73.64,2.97,3.29,8.07,8.9
151,atheism,9.09,49.35,7.79,9.74,14.94,9.09
152,atheism,10.0,57.83,7.83,7.83,10.43,6.09
153,atheism,14.84,42.58,7.74,9.03,18.71,7.1
154,atheism,16.95,38.14,9.32,9.32,16.1,10.17
155,atheism,5.69,60.87,7.02,7.02,12.04,7.36
156,apple hardware,32.05,21.79,9.62,8.33,15.38,12.82
157,atheism,12.43,54.8,6.78,6.78,10.17,9.04
158,atheism,21.05,36.84,12.28,8.77,12.28,8.77
159,atheism,18.03,38.52,10.66,10.66,12.3,9.84
160,atheism,8.84,44.2,11.05,7.73,17.13,11.05
161,atheism,2.94,70.21,2.24,3.22,7.83,13.57
162,atheism,9.94,26.71,11.8,21.12,13.04,17.39
163,atheism,10.86,56.25,4.93,3.95,11.18,12.83
164,atheism,15.76,44.85,7.88,8.48,13.33,9.7
165,atheism,8.72,54.59,8.26,8.72,10.55,9.17
166,atheism,10.53,55.02,5.26,7.18,9.57,12.44
167,atheism,6.7,62.2,6.22,7.66,7.66,9.57
168,atheism,4.31,67.22,3.83,3.11,11.0,10.53
169,atheism,8.68,58.33,6.94,6.6,13.89,5.56
170,atheism,8.27,60.24,8.27,4.33,13.78,5.12
171,atheism,6.37,64.14,5.18,6.37,10.36,7.57
172,atheism,2.29,66.67,4.58,3.76,13.07,9.64
173,atheism,11.49,52.3,6.9,8.62,13.79,6.9
174,atheism,8.33,46.3,10.19,6.94,18.98,9.26
175,atheism,5.24,72.5,3.69,2.74,7.62,8.21
176,atheism,9.6,54.04,7.58,7.58,13.13,8.08
177,atheism,14.75,40.98,9.84,9.29,14.21,10.93
178,atheism,4.38,64.23,5.84,7.54,11.19,6.81
179,atheism,3.7,76.72,1.94,4.94,7.76,4.94
180,atheism,13.21,30.82,11.32,12.58,16.35,15.72
181,atheism,17.97,38.28,7.81,11.72,10.16,14.06
182,atheism,12.34,48.05,7.14,12.34,9.09,11.04
183,atheism,12.68,45.77,8.45,9.15,11.97,11.97
184,atheism,8.76,31.39,10.95,9.49,24.82,14.6
185,atheism,14.06,28.91,9.38,10.16,25.78,11.72
186,atheism,12.87,33.92,7.6,12.28,17.54,15.79
187,atheism,4.01,66.31,4.28,6.95,11.23,7.22
188,atheism,16.49,27.84,11.34,15.46,16.49,12.37
189,atheism,3.16,79.74,2.79,4.65,5.2,4.46
190,atheism,2.35,73.46,2.24,2.69,9.63,9.63
191,atheism,8.88,39.0,7.34,6.95,25.87,11.97
192,atheism,2.58,76.45,2.97,3.4,3.01,11.58
193,atheism,1.83,82.48,1.88,2.01,2.91,8.9
194,atheism,23.11,44.48,7.12,12.35,7.85,5.09
195,atheism,10.08,39.53,8.53,9.3,21.71,10.85
196,for sale,12.95,22.3,11.51,10.79,25.9,16.55
197,atheism,9.93,37.59,13.48,9.93,19.86,9.22
198,atheism,3.02,69.77,3.95,4.88,10.7,7.67
199,atheism,7.93,55.07,7.49,10.57,8.37,10.57
200,electronics,16.34,18.95,15.03,19.61,16.34,13.73
201,atheism,7.66,33.01,15.79,8.61,18.66,16.27
202,atheism,12.84,24.77,11.93,11.93,19.27,19.27
203,atheism,2.08,75.12,3.24,3.24,9.38,6.94
204,atheism,4.96,54.96,4.61,6.03,20.21,9.22
205,atheism,9.48,41.38,13.79,10.34,12.93,12.07
206,atheism,15.97,27.73,10.92,16.81,15.13,13.45
207,atheism,14.5,23.05,8.55,15.99,21.19,16.73
208,atheism,7.04,57.79,9.55,7.04,10.05,8.54
209,atheism,10.0,30.45,19.09,8.64,21.82,10.0
210,atheism,7.2,44.0,8.8,10.0,20.4,9.6
211,for sale,17.17,23.23,11.11,10.1,25.25,13.13
212,atheism,8.33,52.38,7.74,7.74,11.31,12.5
213,atheism,10.07,41.73,11.51,11.51,14.39,10.79
214,atheism,7.45,44.72,9.94,8.7,18.63,10.56
215,atheism,6.28,42.26,7.53,4.6,30.96,8.37
216,atheism,10.37,39.63,8.54,6.1,21.34,14.02
217,atheism,15.29,22.35,14.12,11.76,22.35,14.12
218,atheism,8.71,55.97,7.21,6.72,11.94,9.45
219,atheism,14.11,50.31,7.36,6.75,12.27,9.2
220,atheism,12.26,40.65,10.32,9.68,15.48,11.61
221,atheism,10.46,41.18,7.84,9.8,20.26,10.46
222,atheism,8.78,38.51,8.78,12.84,14.86,16.22
223,atheism,9.2,34.97,9.82,9.2,24.54,12.27
224,atheism,9.09,53.41,6.82,11.93,9.09,9.66
225,atheism,8.64,52.47,6.79,8.64,14.81,8.64
226,atheism,6.07,64.37,4.86,10.12,8.91,5.67
227,atheism,8.82,33.09,11.76,9.56,26.47,10.29
228,atheism,5.38,62.69,5.77,8.85,9.62,7.69
229,for sale,11.2,23.2,13.6,10.4,30.4,11.2
230,atheism,8.77,58.6,5.61,5.61,14.39,7.02
231,atheism,8.39,27.74,14.84,8.71,17.42,22.9
232,atheism,10.42,47.4,5.73,6.77,19.79,9.9
233,atheism,6.93,52.48,7.92,9.41,13.86,9.41
234,atheism,7.28,59.49,4.43,5.7,7.91,15.19
235,atheism,4.17,57.11,4.41,6.13,6.13,22.06
236,atheism,8.64,46.82,8.18,10.45,11.36,14.55
237,atheism,7.74,64.31,7.07,7.07,5.72,8.08
238,atheism,10.74,38.93,9.4,10.07,22.82,8.05
239,atheism,4.16,62.6,5.54,4.71,14.4,8.59
240,atheism,7.66,51.91,5.11,11.06,18.3,5.96
241,atheism,10.29,46.86,5.71,8.0,16.57,12.57
242,atheism,11.76,47.06,8.82,7.35,13.24,11.76
243,atheism,12.42,47.71,8.5,9.15,15.03,7.19
244,atheism,12.62,48.54,6.31,7.28,11.17,14.08
245,atheism,12.41,40.0,8.28,13.1,16.55,9.66
246,atheism,10.92,32.77,14.29,10.08,20.17,11.76
247,atheism,8.57,60.57,7.43,8.0,8.0,7.43
248,for sale,10.59,23.31,9.75,9.75,37.29,9.32
249,atheism,4.26,61.9,4.01,5.51,14.79,9.52
250,atheism,5.04,56.8,5.04,5.7,16.01,11.4
251,atheism,17.46,25.4,16.4,9.52,18.52,12.7
252,atheism,7.95,65.89,4.3,5.3,9.27,7.28
253,atheism,10.25,59.02,5.33,5.74,9.43,10.25
254,atheism,15.24,39.05,11.43,9.52,12.38,12.38
255,atheism,17.46,39.68,8.73,11.11,11.11,11.9
256,atheism,9.02,44.36,8.27,9.77,16.54,12.03
257,atheism,15.48,45.16,7.74,10.97,12.26,8.39
258,atheism,14.1,35.26,13.46,10.9,12.82,13.46
259,atheism,7.88,48.96,6.64,14.94,14.94,6.64
260,atheism,11.8,38.76,7.87,15.17,17.42,8.99
261,atheism,10.57,43.61,7.49,15.42,13.22,9.69
262,atheism,7.69,37.28,8.28,8.88,24.26,13.61
263,for sale,6.55,20.83,11.31,10.12,26.19,25.0
264,atheism,7.23,34.14,6.02,10.44,32.93,9.24
265,for sale,18.46,22.31,14.62,10.77,26.15,7.69
266,atheism,6.33,43.88,8.86,8.86,18.57,13.5
267,atheism,5.06,62.08,6.46,7.3,11.52,7.58
268,for sale,10.34,29.06,7.88,7.88,32.02,12.81
269,atheism,5.56,58.55,9.83,5.13,10.26,10.68
270,atheism,5.62,58.23,7.23,6.83,9.24,12.85
271,atheism,6.51,35.5,10.06,14.2,20.71,13.02
272,atheism,9.52,38.1,9.52,10.32,19.05,13.49
273,atheism,10.28,42.99,9.35,11.21,14.02,12.15
274,atheism,9.83,45.09,7.51,8.09,9.25,20.23
275,atheism,9.09,52.41,6.95,6.95,15.51,9.09
276,atheism,9.86,41.84,6.46,3.4,31.29,7.14
277,atheism,14.17,47.24,7.87,7.87,12.6,10.24
278,atheism,9.43,60.38,6.92,6.92,8.81,7.55
279,atheism,8.43,60.11,5.62,7.3,11.8,6.74
280,atheism,15.2,38.4,8.0,9.6,14.4,14.4
281,atheism,8.67,53.18,8.09,7.51,13.29,9.25
282,atheism,8.7,59.13,6.52,6.52,11.74,7.39
283,atheism,5.26,61.28,6.39,7.14,12.41,7.52
284,atheism,6.0,53.0,5.5,5.5,21.0,9.0
285,atheism,6.75,47.26,7.17,5.06,17.3,16.46
286,atheism,5.9,70.8,5.01,4.13,9.14,5.01
287,atheism,15.19,47.47,6.96,7.59,13.29,9.49
288,atheism,7.82,50.84,9.5,6.15,17.88,7.82
289,atheism,10.19,52.43,7.28,7.77,15.05,7.28
290,atheism,6.93,40.15,8.03,7.66,18.25,18.98
291,atheism,6.38,63.53,4.56,5.47,7.9,12.16
292,atheism,13.6,43.2,8.0,8.8,12.8,13.6
293,atheism,6.02,57.03,7.23,5.22,12.45,12.05
294,atheism,7.58,45.45,8.08,6.57,19.7,12.63
295,atheism,6.13,66.51,5.66,5.19,8.49,8.02
296,atheism,8.33,67.59,5.56,4.63,6.48,7.41
297,atheism,6.11,52.22,7.22,5.56,12.22,16.67
298,atheism,14.84,46.88,8.59,7.81,12.5,9.38
299,atheism,5.39,60.17,5.39,4.98,18.26,5.81
300,atheism,7.88,50.74,7.88,6.9,15.27,11.33
301,for sale,5.96,29.8,8.61,4.97,39.74,10.93
302,for sale,9.36,22.81,9.36,11.7,38.01,8.77
303,atheism,9.95,35.6,8.9,10.99,19.37,15.18
304,atheism,10.0,55.0,7.78,6.11,10.56,10.56
305,atheism,12.22,51.11,6.67,7.22,11.11,11.67
306,atheism,3.39,61.46,5.99,7.81,9.38,11.98
307,atheism,9.09,54.55,6.06,6.06,16.97,7.27
308,atheism,8.25,46.39,10.82,8.25,14.95,11.34
309,atheism,5.84,71.48,4.47,4.12,7.9,6.19
310,atheism,12.63,41.58,8.42,8.42,19.47,9.47
311,atheism,4.31,51.76,6.27,9.8,7.45,20.39
312,atheism,10.86,43.89,4.98,9.95,21.72,8.6
313,atheism,11.68,36.5,8.03,10.22,18.25,15.33
314,atheism,10.64,53.19,7.8,7.8,12.06,8.51
315,atheism,7.85,65.29,4.55,5.37,8.68,8.26
316,atheism,10.07,49.66,8.72,7.38,10.74,13.42
317,for sale,17.61,18.24,10.69,8.81,33.33,11.32
318,atheism,14.05,44.63,8.26,9.09,12.4,11.57
319,atheism,8.7,52.8,7.45,6.83,15.53,8.7
320,atheism,8.55,60.68,5.13,4.27,11.54,9.83
321,atheism,14.29,40.0,5.31,7.35,23.67,9.39
322,atheism,5.33,69.28,3.76,4.7,9.09,7.84
323,atheism,9.68,47.58,8.87,11.29,13.71,8.87
324,atheism,8.61,52.98,7.28,8.61,13.91,8.61
325,atheism,10.0,43.64,10.0,10.91,14.55,10.91
326,atheism,9.6,45.6,9.6,8.8,12.8,13.6
327,atheism,7.19,46.04,9.35,9.35,17.27,10.79
328,atheism,10.57,32.52,14.63,9.76,23.58,8.94
329,atheism,8.72,56.98,5.81,8.14,10.47,9.88
330,atheism,4.51,63.52,5.33,5.74,12.3,8.61
331,atheism,6.6,55.66,7.08,7.08,14.15,9.43
332,atheism,9.16,48.09,9.16,7.63,14.5,11.45
333,atheism,7.64,52.08,6.94,7.64,15.97,9.72
334,atheism,13.53,30.59,14.71,8.24,19.41,13.53
335,atheism,10.73,42.37,6.21,7.91,24.29,8.47
336,atheism,7.98,36.81,7.98,15.95,23.31,7.98
337,atheism,9.14,49.14,7.43,11.43,12.57,10.29
338,atheism,7.89,52.19,9.65,13.16,10.96,6.14
339,atheism,12.15,35.91,7.18,13.81,20.44,10.5
340,atheism,9.88,38.37,6.98,15.12,22.09,7.56
341,for sale,9.04,20.48,9.64,13.25,38.55,9.04
342,atheism,12.78,41.35,9.77,9.77,14.29,12.03
343,atheism,6.81,61.07,3.41,9.0,12.41,7.3
344,atheism,5.06,66.01,3.93,5.34,12.08,7.58
345,atheism,6.33,57.92,8.14,7.24,13.12,7.24
346,atheism,5.03,65.68,5.92,6.51,10.65,6.21
347,atheism,11.11,39.51,8.02,17.28,12.35,11.73
348,atheism,8.13,48.37,12.6,9.35,11.38,10.16
349,atheism,5.86,42.97,5.86,7.42,25.78,12.11
350,electronics,13.84,16.98,10.69,28.3,17.61,12.58
351,atheism,3.87,51.79,6.85,5.06,15.77,16.67
352,atheism,9.79,44.76,9.09,9.79,12.59,13.99
353,apple hardware,26.67,22.22,13.33,12.22,13.33,12.22
354,atheism,5.42,65.36,7.83,6.33,7.83,7.23
355,atheism,4.27,64.53,3.73,7.73,11.47,8.27
356,atheism,4.48,61.72,5.52,5.52,11.03,11.72
357,atheism,9.03,34.72,12.5,10.42,19.44,13.89
358,atheism,6.6,44.81,9.43,10.38,15.57,13.21
359,atheism,2.2,58.85,2.09,2.72,10.68,23.46
360,atheism,3.59,71.64,4.35,3.21,10.96,6.24
361,atheism,7.38,42.95,8.05,12.08,16.11,13.42
362,atheism,9.04,51.98,8.47,7.91,10.73,11.86
363,atheism,18.93,28.64,9.22,12.62,17.96,12.62
364,atheism,12.5,40.76,8.15,5.98,13.59,19.02
365,atheism,23.73,37.29,8.47,9.32,9.32,11.86
366,atheism,12.4,43.8,10.74,9.92,11.57,11.57
367,atheism,8.57,37.86,8.57,13.57,19.29,12.14
368,atheism,17.39,46.58,7.45,7.45,13.04,8.07
369,atheism,17.29,28.04,10.75,11.68,17.76,14.49
370,atheism,16.07,20.54,19.64,17.86,11.61,14.29
371,atheism,2.07,59.69,2.14,1.7,13.02,21.38
372,atheism,7.83,50.0,9.64,10.24,12.05,10.24
373,atheism,17.6,40.8,8.8,9.6,15.2,8.0
374,atheism,2.97,68.71,4.9,3.67,12.59,7.17
375,for sale,15.94,26.09,10.63,7.25,27.54,12.56
376,atheism,19.08,35.11,10.69,9.92,16.03,9.16
377,atheism,8.93,43.75,11.61,12.5,12.5,10.71
378,atheism,3.74,62.06,3.74,4.11,21.68,4.67
379,atheism,5.96,41.74,9.17,6.88,27.98,8.26
380,for sale,8.64,20.99,11.11,7.41,43.21,8.64
381,for sale,9.68,20.16,12.1,13.71,33.87,10.48
382,atheism,9.09,39.67,14.88,13.22,14.05,9.09
383,atheism,12.79,29.07,12.79,18.6,13.95,12.79
384,for sale,11.84,15.13,8.55,13.82,36.84,13.82
385,atheism,9.77,57.81,5.86,6.25,9.77,10.55
386,atheism,7.21,44.71,8.17,8.17,10.58,21.15
387,atheism,7.61,46.74,10.87,11.41,13.04,10.33
388,for sale,11.38,22.76,13.82,13.82,28.46,9.76
389,apple hardware,22.68,20.62,10.31,12.37,18.56,15.46
390,apple hardware,25.62,23.14,9.92,12.4,17.36,11.57
391,atheism,8.72,60.09,5.05,6.88,11.93,7.34
392,atheism,9.64,51.78,8.12,7.61,11.68,11.17
393,atheism,13.95,36.43,10.08,10.85,16.28,12.4
394,atheism,12.5,51.39,7.64,10.42,8.33,9.72
395,for sale,10.34,23.45,11.03,10.34,34.48,10.34
396,atheism,9.24,44.02,8.7,9.78,15.76,12.5
397,atheism,15.08,31.84,7.26,10.06,24.02,11.73
398,atheism,18.0,29.0,10.0,13.0,16.0,14.0
399,atheism,11.85,37.04,8.15,12.59,12.59,17.78
400,electronics,20.0,11.43,13.33,27.62,16.19,11.43
401,apple hardware,36.72,11.72,9.38,17.19,13.28,11.72
402,for sale,22.61,11.3,13.04,13.91,27.83,11.3
403,apple hardware,37.9,14.52,9.68,16.13,10.48,11.29
404,for sale,20.26,12.42,14.38,20.26,23.53,9.15
405,apple hardware,32.94,11.76,15.29,14.12,12.94,12.94
406,apple hardware,40.0,10.48,10.48,14.29,14.29,10.48
407,for sale,16.25,14.37,9.38,11.25,30.63,18.12
408,apple hardware,28.48,7.88,13.33,15.15,21.21,13.94
409,electronics,36.87,5.04,5.04,40.05,6.63,6.37
410,apple hardware,26.83,10.57,21.95,10.57,13.82,16.26
411,apple hardware,24.56,10.53,21.05,13.16,13.16,17.54
412,apple hardware,40.71,9.73,9.73,15.93,12.39,11.5
413,apple hardware,39.18,10.31,14.43,13.4,11.34,11.34
414,apple hardware,37.06,11.18,8.82,14.71,15.88,12.35
415,electronics,28.83,9.96,12.1,32.74,10.32,6.05
416,apple hardware,42.65,8.06,10.43,15.17,17.06,6.64
417,apple hardware,28.77,10.27,10.96,21.23,18.49,10.27
418,apple hardware,29.35,11.96,11.96,15.22,19.57,11.96
419,apple hardware,31.61,9.03,11.61,25.16,14.19,8.39
420,apple hardware,49.14,9.48,12.07,9.48,11.21,8.62
421,apple hardware,30.21,14.58,11.46,17.71,14.58,11.46
422,apple hardware,33.43,9.88,10.47,32.27,5.81,8.14
423,for sale,19.59,10.81,10.14,21.62,26.35,11.49
424,electronics,24.27,9.71,14.56,30.1,10.68,10.68
425,for sale,15.85,21.34,11.59,10.37,31.1,9.76
426,apple hardware,27.72,14.85,14.85,19.8,9.9,12.87
427,for sale,20.0,8.0,8.0,26.0,30.67,7.33
428,for sale,19.5,23.0,7.5,13.0,30.0,7.0
429,apple hardware,41.74,8.7,10.43,17.39,12.17,9.57
430,apple hardware,43.38,9.56,9.56,15.44,11.03,11.03
431,for sale,16.67,15.15,11.36,18.94,21.97,15.91
432,apple hardware,36.41,8.7,7.07,13.59,25.54,8.7
433,apple hardware,36.69,9.35,10.07,14.39,15.11,14.39
434,apple hardware,46.89,7.91,6.21,11.86,16.95,10.17
435,apple hardware,28.7,14.78,11.3,15.65,20.0,9.57
436,apple hardware,28.12,11.46,13.54,18.75,16.67,11.46
437,apple hardware,31.11,12.22,13.33,17.78,14.44,11.11
438,apple hardware,55.13,7.05,7.69,12.18,9.62,8.33
439,apple hardware,50.0,10.84,8.43,9.64,11.45,9.64
440,apple hardware,53.29,7.89,7.89,10.53,11.18,9.21
441,apple hardware,48.1,10.13,7.59,12.03,15.19,6.96
442,apple hardware,41.34,13.97,7.26,8.38,17.32,11.73
443,apple hardware,36.36,14.14,11.11,14.14,14.14,10.1
444,apple hardware,36.61,9.82,16.96,10.71,14.29,11.61
445,apple hardware,29.7,11.52,7.88,18.79,15.15,16.97
446,apple hardware,54.22,10.24,9.04,10.84,8.43,7.23
447,apple hardware,40.67,14.0,10.0,7.33,19.33,8.67
448,apple hardware,40.94,17.39,7.25,9.06,14.86,10.51
449,apple hardware,54.27,5.56,8.12,13.68,10.68,7.69
450,apple hardware,37.01,11.02,14.17,13.39,14.17,10.24
451,apple hardware,34.69,10.2,12.93,12.93,14.97,14.29
452,apple hardware,39.67,12.4,9.92,11.57,15.7,10.74
453,apple hardware,33.33,12.31,16.92,13.33,8.72,15.38
454,apple hardware,26.79,16.07,10.71,17.86,18.75,9.82
455,apple hardware,39.66,8.62,8.62,15.52,18.39,9.2
456,electronics,26.19,8.73,11.11,30.16,13.49,10.32
457,apple hardware,32.73,12.73,12.73,15.45,16.36,10.0
458,electronics,19.67,9.84,9.02,35.25,13.11,13.11
459,apple hardware,36.11,11.11,12.96,14.81,13.89,11.11
460,apple hardware,33.33,9.94,11.11,22.22,8.77,14.62
