document,actual,labeled,hockey,apple hardware,for sale,politics misc,guns,atheism
59,alt.atheism,atheism,40,50,37,42,49,145
60,alt.atheism,politics misc,26,35,18,110,34,66
61,alt.atheism,politics misc,15,22,17,51,28,36
62,alt.atheism,politics misc,17,27,22,78,29,43
63,alt.atheism,politics misc,12,14,12,64,21,36
64,alt.atheism,atheism,22,32,38,48,37,117
65,alt.atheism,atheism,23,36,25,25,28,58
66,alt.atheism,atheism,8,11,11,36,4,53
67,alt.atheism,politics misc,13,22,19,51,24,32
68,alt.atheism,politics misc,9,16,20,53,18,26
69,alt.atheism,atheism,13,29,22,39,24,84
70,alt.atheism,atheism,29,41,34,70,49,102
71,alt.atheism,atheism,23,25,27,65,47,69
72,alt.atheism,politics misc,23,14,30,49,17,43
73,alt.atheism,politics misc,38,52,21,139,56,86
74,alt.atheism,politics misc,13,19,12,44,13,29
75,alt.atheism,politics misc,21,35,17,84,27,78
76,alt.atheism,atheism,17,20,20,33,16,68
77,alt.atheism,atheism,35,50,42,59,40,71
78,alt.atheism,atheism,16,10,12,32,15,49
79,alt.atheism,atheism,35,33,35,38,60,146
80,alt.atheism,politics misc,13,19,20,125,18,34
81,alt.atheism,politics misc,13,24,14,66,19,27
82,alt.atheism,politics misc,24,33,34,61,45,56
83,alt.atheism,atheism,9,19,14,40,21,46
84,alt.atheism,atheism,88,121,97,84,119,465
85,alt.atheism,atheism,26,41,57,38,37,112
86,alt.atheism,politics misc,19,30,19,104,34,64
87,alt.atheism,atheism,135,163,118,140,239,753
88,alt.atheism,politics misc,36,45,41,117,58,108
89,alt.atheism,politics misc,24,30,22,74,38,52
90,alt.atheism,politics misc,13,17,15,47,20,20
91,alt.atheism,politics misc,15,20,18,53,33,30
92,alt.atheism,politics misc,9,15,9,50,9,19
93,alt.atheism,atheism,30,47,50,59,73,195
94,alt.atheism,politics misc,36,30,25,84,51,70
95,alt.atheism,politics misc,15,17,16,47,19,39
96,alt.atheism,politics misc,37,40,30,137,53,88
97,alt.atheism,politics misc,25,23,21,76,30,34
98,alt.atheism,politics misc,23,29,21,93,25,74
99,alt.atheism,politics misc,10,13,17,61,15,35
100,alt.atheism,atheism,33,39,41,55,53,82
101,alt.atheism,atheism,19,29,20,50,37,76
102,alt.atheism,atheism,53,60,40,50,92,167
103,alt.atheism,atheism,13,14,17,22,15,38
104,alt.atheism,atheism,11,17,17,25,20,29
105,alt.atheism,politics misc,11,12,10,26,18,18
106,alt.atheism,atheism,14,12,18,28,21,44
107,alt.atheism,atheism,34,52,31,51,77,186
108,alt.atheism,atheism,11,18,11,33,24,35
109,alt.atheism,atheism,20,18,14,46,26,50
110,alt.atheism,atheism,22,39,23,51,47,84
111,alt.atheism,atheism,42,36,31,66,80,129
112,alt.atheism,atheism,26,25,15,59,44,60
113,alt.atheism,politics misc,10,7,14,30,14,20
114,alt.atheism,atheism,165,192,113,259,309,573
115,alt.atheism,atheism,11,25,17,59,21,89
116,alt.atheism,politics misc,11,9,12,40,27,35
117,alt.atheism,atheism,10,11,16,31,29,42
118,alt.atheism,atheism,21,15,15,33,41,52
119,alt.atheism,atheism,33,47,37,34,64,158
120,alt.atheism,atheism,10,13,11,21,15,28
121,alt.atheism,politics misc,22,23,14,62,33,52
122,alt.atheism,atheism,25,35,26,30,39,113
123,alt.atheism,atheism,27,36,19,30,46,107
124,alt.atheism,atheism,12,32,18,42,54,57
125,alt.atheism,atheism,48,44,31,69,89,139
126,alt.atheism,atheism,10,13,13,20,9,34
127,alt.atheism,atheism,19,31,29,52,41,69
128,alt.atheism,atheism,41,59,29,58,65,219
129,alt.atheism,atheism,42,52,39,63,85,148
130,alt.atheism,politics misc,8,12,12,37,19,36
131,alt.atheism,atheism,46,40,51,90,47,105
132,alt.atheism,politics misc,22,27,31,71,26,38
133,alt.atheism,atheism,33,35,33,38,48,62
134,alt.atheism,atheism,71,100,77,129,150,315
135,alt.atheism,atheism,21,29,13,28,48,108
136,alt.atheism,atheism,28,24,16,54,38,71
137,alt.atheism,atheism,17,23,17,36,25,43
138,alt.atheism,politics misc,4,9,4,24,7,19
139,alt.atheism,atheism,8,11,4,27,6,37
140,alt.atheism,atheism,36,41,18,58,87,128
141,alt.atheism,atheism,11,18,12,37,28,48
142,alt.atheism,atheism,72,85,33,89,103,189
143,alt.atheism,atheism,13,22,8,43,36,60
144,alt.atheism,atheism,22,32,21,37,45,101
145,alt.atheism,politics misc,14,12,13,52,24,30
146,alt.atheism,atheism,17,31,24,36,42,80
147,alt.atheism,atheism,44,47,33,65,60,129
148,alt.atheism,atheism,52,76,43,142,144,199
149,alt.atheism,politics misc,16,25,22,71,48,66
150,alt.atheism,atheism,82,109,83,182,187,263
151,alt.atheism,politics misc,12,29,11,46,22,40
152,alt.atheism,atheism,28,38,34,41,23,114
153,alt.atheism,politics misc,15,19,24,45,20,38
154,alt.atheism,politics misc,6,16,10,37,11,22
155,alt.atheism,atheism,47,49,39,54,74,144
156,alt.atheism,atheism,22,25,24,30,19,37
157,alt.atheism,politics misc,17,34,19,68,27,48
158,alt.atheism,politics misc,6,16,20,31,9,19
159,alt.atheism,politics misc,11,12,11,35,18,18
160,alt.atheism,atheism,26,21,37,35,31,50
161,alt.atheism,atheism,120,126,90,176,253,372
162,alt.atheism,guns,13,27,16,31,34,28
163,alt.atheism,atheism,22,55,29,76,92,138
164,alt.atheism,atheism,16,24,19,40,32,43
165,alt.atheism,atheism,29,39,23,46,64,97
166,alt.atheism,atheism,9,28,16,39,38,92
167,alt.atheism,atheism,28,41,12,44,39,106
168,alt.atheism,atheism,53,63,43,107,88,178
169,alt.atheism,atheism,35,42,38,54,45,136
170,alt.atheism,atheism,33,36,24,87,67,92
171,alt.atheism,atheism,29,43,20,55,63,113
172,alt.atheism,atheism,92,121,77,229,170,261
173,alt.atheism,atheism,19,36,26,37,34,62
174,alt.atheism,atheism,39,46,38,47,52,79
175,alt.atheism,atheism,132,205,149,164,232,442
176,alt.atheism,atheism,24,18,19,63,31,71
177,alt.atheism,atheism,23,37,32,41,38,51
178,alt.atheism,atheism,102,108,46,95,125,234
179,alt.atheism,atheism,70,110,63,120,148,413
180,alt.atheism,atheism,17,23,16,16,42,43
181,alt.atheism,guns,6,14,12,22,31,29
182,alt.atheism,atheism,13,19,13,21,33,57
183,alt.atheism,atheism,11,19,14,22,30,53
184,alt.atheism,atheism,23,22,15,29,29,38
185,alt.atheism,guns,19,24,18,20,27,24
186,alt.atheism,guns,18,28,26,32,45,44
187,alt.atheism,atheism,45,68,56,66,117,180
188,alt.atheism,guns,8,9,7,15,21,12
189,alt.atheism,atheism,60,99,64,178,151,290
190,alt.atheism,atheism,133,160,108,279,290,419
191,alt.atheism,politics misc,49,57,29,97,67,93
192,alt.atheism,atheism,356,458,409,493,802,1480
193,alt.atheism,atheism,210,383,273,541,730,1350
194,alt.atheism,atheism,119,158,182,121,141,286
195,alt.atheism,atheism,14,12,15,25,13,30
196,alt.atheism,atheism,19,21,18,22,13,37
197,alt.atheism,politics misc,16,17,17,20,16,17
198,alt.atheism,atheism,76,79,39,93,117,255
199,alt.atheism,politics misc,25,30,36,77,40,67
200,misc.forsale,for sale,5,19,28,12,9,18
201,misc.forsale,for sale,11,14,51,11,16,17
202,misc.forsale,for sale,18,13,39,18,15,10
203,misc.forsale,apple hardware,8,30,29,15,12,14
204,misc.forsale,apple hardware,18,65,23,16,14,14
205,misc.forsale,for sale,8,6,19,13,7,5
206,misc.forsale,for sale,8,15,26,17,12,6
207,misc.forsale,apple hardware,27,50,31,30,35,42
208,misc.forsale,for sale,36,30,81,26,29,18
209,misc.forsale,for sale,34,81,244,41,55,50
210,misc.forsale,for sale,22,25,26,17,17,20
211,misc.forsale,apple hardware,17,24,14,13,12,17
212,misc.forsale,for sale,6,20,42,9,10,13
213,misc.forsale,for sale,9,8,32,13,9,5
214,misc.forsale,for sale,13,45,66,24,30,29
215,misc.forsale,for sale,42,46,181,26,35,41
216,misc.forsale,for sale,28,71,78,28,31,33
217,misc.forsale,for sale,19,25,52,18,23,23
218,misc.forsale,for sale,6,17,21,7,6,5
219,misc.forsale,for sale,21,28,71,18,10,8
220,misc.forsale,for sale,10,17,37,25,10,6
221,misc.forsale,for sale,11,9,19,10,5,10
222,misc.forsale,for sale,50,73,218,27,66,52
223,misc.forsale,for sale,22,24,47,24,24,29
224,misc.forsale,apple hardware,19,21,13,13,14,4
225,misc.forsale,atheism,23,31,44,45,25,51
226,misc.forsale,hockey,18,15,12,17,13,7
227,misc.forsale,apple hardware,16,65,33,17,25,28
228,misc.forsale,atheism,25,37,56,55,34,84
229,misc.forsale,for sale,12,16,41,8,13,5
230,misc.forsale,for sale,9,18,51,8,10,9
231,misc.forsale,apple hardware,18,33,18,22,26,22
232,misc.forsale,apple hardware,34,65,62,19,26,37
233,misc.forsale,for sale,18,31,44,23,25,21
234,misc.forsale,apple hardware,21,51,49,25,19,22
235,misc.forsale,for sale,13,25,26,16,14,25
236,misc.forsale,for sale,10,19,22,10,8,4
237,misc.forsale,for sale,9,13,22,6,4,0
238,misc.forsale,for sale,18,18,90,21,16,17
239,misc.forsale,for sale,11,34,57,36,21,17
240,misc.forsale,for sale,18,18,87,19,16,16
241,misc.forsale,apple hardware,15,68,34,23,15,22
242,misc.forsale,for sale,14,28,77,19,38,30
243,misc.forsale,for sale,10,9,31,10,6,6
244,misc.forsale,for sale,15,18,31,11,8,9
245,misc.forsale,apple hardware,16,55,39,18,25,26
246,misc.forsale,for sale,23,21,97,23,19,21
247,misc.forsale,politics misc,9,21,32,50,18,37
248,misc.forsale,apple hardware,45,138,77,48,48,71
249,misc.forsale,apple hardware,15,129,40,30,26,21
250,misc.forsale,hockey,29,28,25,24,8,9
251,misc.forsale,for sale,25,34,38,30,21,18
252,misc.forsale,for sale,9,19,45,13,11,14
253,misc.forsale,for sale,30,22,80,38,31,19
254,misc.forsale,apple hardware,11,19,18,16,12,17
255,misc.forsale,for sale,24,29,88,24,28,22
256,misc.forsale,for sale,14,31,38,21,19,11
257,misc.forsale,for sale,10,19,31,12,10,13
258,misc.forsale,for sale,8,15,52,11,11,6
259,misc.forsale,for sale,7,20,32,12,10,10
260,misc.forsale,for sale,22,32,69,23,21,22
261,misc.forsale,for sale,18,29,39,20,17,10
262,misc.forsale,for sale,25,64,80,46,35,45
263,misc.forsale,for sale,6,10,20,9,10,10
264,misc.forsale,for sale,25,19,35,19,11,4
265,misc.forsale,for sale,31,47,180,31,28,43
266,misc.forsale,for sale,18,21,52,17,17,20
267,misc.forsale,politics misc,46,109,87,141,55,66
268,misc.forsale,for sale,13,22,72,15,18,25
269,misc.forsale,for sale,17,28,106,25,32,28
270,misc.forsale,for sale,12,11,18,11,15,14
271,misc.forsale,politics misc,24,40,42,86,44,61
272,misc.forsale,for sale,20,20,56,26,17,16
273,misc.forsale,for sale,16,25,43,15,16,6
274,misc.forsale,for sale,22,32,67,19,16,29
275,misc.forsale,apple hardware,17,32,23,17,12,12
276,misc.forsale,for sale,17,20,46,31,18,19
277,misc.forsale,for sale,7,10,20,5,7,4
278,misc.forsale,for sale,16,30,56,20,18,24
279,misc.forsale,for sale,38,17,63,25,14,12
280,misc.forsale,for sale,35,40,118,38,37,29
281,misc.forsale,for sale,34,34,60,20,23,29
282,misc.forsale,for sale,37,34,74,19,21,29
283,misc.forsale,for sale,25,36,86,18,24,31
284,misc.forsale,apple hardware,15,63,57,23,29,17
285,misc.forsale,for sale,32,43,53,29,25,33
286,misc.forsale,for sale,37,40,85,23,39,30
287,misc.forsale,for sale,15,34,46,24,18,23
288,misc.forsale,for sale,12,17,31,12,14,15
289,misc.forsale,for sale,13,26,61,14,23,14
290,misc.forsale,for sale,12,13,32,21,13,21
291,misc.forsale,for sale,12,26,27,23,11,13
292,misc.forsale,for sale,24,24,73,21,18,20
293,misc.forsale,for sale,12,11,26,21,4,15
294,misc.forsale,apple hardware,9,28,25,9,14,13
295,misc.forsale,apple hardware,10,34,31,21,17,13
296,misc.forsale,apple hardware,8,35,28,24,9,7
297,misc.forsale,for sale,17,32,74,16,23,19
298,misc.forsale,apple hardware,6,21,20,8,10,9
299,misc.forsale,for sale,11,19,21,12,15,15
300,misc.forsale,for sale,12,13,19,16,10,7
301,misc.forsale,for sale,25,33,40,17,26,23
302,misc.forsale,for sale,16,28,43,16,16,12
303,misc.forsale,politics misc,27,49,67,71,37,64
304,misc.forsale,guns,33,26,21,21,36,22
305,misc.forsale,for sale,10,24,26,11,23,15
306,misc.forsale,apple hardware,26,34,29,26,21,31
307,misc.forsale,for sale,7,30,34,18,9,8
308,misc.forsale,for sale,31,24,41,15,27,20
309,misc.forsale,apple hardware,6,17,16,8,6,5
310,misc.forsale,for sale,15,26,32,18,10,10
311,misc.forsale,for sale,9,23,31,11,13,13
312,misc.forsale,apple hardware,17,22,19,9,14,13
313,misc.forsale,for sale,12,21,23,13,15,15
314,misc.forsale,for sale,17,23,33,6,19,12
315,misc.forsale,for sale,12,20,23,17,16,19
316,misc.forsale,apple hardware,11,38,38,9,12,14
317,misc.forsale,apple hardware,21,59,47,34,33,40
318,misc.forsale,for sale,40,69,106,56,56,67
319,misc.forsale,for sale,22,46,59,26,30,24
320,misc.forsale,for sale,18,29,40,23,25,21
321,misc.forsale,for sale,27,39,59,27,37,46
322,misc.forsale,atheism,84,89,70,65,88,96
323,misc.forsale,for sale,8,13,26,6,10,2
324,misc.forsale,politics misc,10,12,14,17,14,13
325,misc.forsale,for sale,14,15,26,11,15,10
326,misc.forsale,for sale,14,9,15,13,14,7
327,misc.forsale,for sale,18,24,39,23,10,17
328,misc.forsale,for sale,2,7,8,6,6,2
329,misc.forsale,atheism,34,35,26,32,37,47
330,misc.forsale,for sale,27,54,55,38,54,47
331,misc.forsale,atheism,23,26,25,13,20,27
332,misc.forsale,politics misc,12,39,14,44,29,15
333,misc.forsale,apple hardware,9,18,18,7,7,9
334,misc.forsale,for sale,9,18,23,10,8,6
335,misc.forsale,for sale,16,27,51,22,21,13
336,misc.forsale,hockey,24,20,20,14,20,14
337,misc.forsale,hockey,19,18,18,13,12,11
338,misc.forsale,for sale,33,31,44,23,32,31
339,misc.forsale,for sale,21,17,35,16,19,13
340,misc.forsale,for sale,5,7,12,7,9,3
341,misc.forsale,for sale,13,20,23,8,5,8
342,misc.forsale,guns,24,21,23,16,27,26
343,misc.forsale,for sale,4,20,26,18,5,17
344,misc.forsale,apple hardware,14,33,32,20,26,13
345,misc.forsale,for sale,37,46,81,25,28,29
346,misc.forsale,apple hardware,6,15,15,7,8,4
347,misc.forsale,apple hardware,35,73,69,34,45,52
348,misc.forsale,for sale,27,34,53,41,33,40
349,misc.forsale,hockey,43,33,38,28,24,26
350,misc.forsale,for sale,8,27,33,24,14,13
351,misc.forsale,atheism,44,59,49,43,45,60
352,misc.forsale,for sale,18,19,27,14,21,16
353,misc.forsale,for sale,20,28,36,28,15,18
354,misc.forsale,for sale,9,11,26,12,13,9
355,misc.forsale,for sale,18,12,32,16,14,11
356,misc.forsale,for sale,9,9,16,9,9,10
357,misc.forsale,apple hardware,4,37,19,16,8,4
358,misc.forsale,atheism,226,138,179,149,238,289
359,misc.forsale,apple hardware,23,29,27,6,21,10
360,misc.forsale,guns,71,67,66,51,82,78
361,misc.forsale,for sale,16,12,18,11,9,8
362,misc.forsale,for sale,9,26,36,19,17,8
363,misc.forsale,for sale,6,15,25,8,12,2
364,misc.forsale,for sale,39,89,95,48,49,47
365,misc.forsale,apple hardware,9,17,16,9,11,9
366,misc.forsale,apple hardware,4,13,12,7,7,5
367,misc.forsale,for sale,24,34,43,19,22,11
368,misc.forsale,apple hardware,9,19,11,6,2,4
369,misc.forsale,for sale,21,39,50,16,21,15
370,misc.forsale,apple hardware,9,25,20,13,12,10
371,misc.forsale,for sale,7,20,29,21,8,8
372,misc.forsale,for sale,24,46,56,34,26,32
373,misc.forsale,for sale,32,38,41,28,20,20
374,misc.forsale,apple hardware,17,29,26,13,24,13
375,misc.forsale,for sale,9,19,27,10,13,8
376,misc.forsale,apple hardware,13,17,11,9,12,8
377,misc.forsale,for sale,8,19,27,8,12,8
378,misc.forsale,apple hardware,18,24,21,15,24,23
379,misc.forsale,politics misc,3,5,8,9,4,1
380,misc.forsale,for sale,3,7,18,11,8,4
381,misc.forsale,guns,17,29,43,30,48,42
382,misc.forsale,for sale,7,10,15,8,4,4
383,misc.forsale,for sale,9,18,22,7,9,8
384,misc.forsale,for sale,35,30,37,26,19,30
385,misc.forsale,for sale,18,11,22,11,10,8
386,misc.forsale,apple hardware,6,21,21,15,17,16
387,misc.forsale,hockey,18,17,15,13,11,11
388,misc.forsale,apple hardware,9,20,13,11,8,10
389,misc.forsale,apple hardware,17,35,32,23,14,28
390,misc.forsale,for sale,10,21,32,17,21,14
391,misc.forsale,apple hardware,30,118,62,38,53,53
392,misc.forsale,apple hardware,7,36,24,8,15,10
393,misc.forsale,apple hardware,11,43,31,11,17,10
394,misc.forsale,atheism,27,26,43,24,37,49
395,misc.forsale,atheism,14,17,20,18,21,26
396,misc.forsale,for sale,12,18,21,15,10,11
397,misc.forsale,for sale,100,256,269,156,177,217
398,misc.forsale,for sale,7,13,27,11,8,6
399,misc.forsale,for sale,7,12,15,9,8,4
400,rec.sport.hockey,hockey,353,112,86,119,180,255
401,rec.sport.hockey,hockey,136,32,20,37,29,55
402,rec.sport.hockey,hockey,86,36,22,28,28,43
403,rec.sport.hockey,hockey,65,15,17,19,15,18
404,rec.sport.hockey,hockey,24,8,20,11,3,18
405,rec.sport.hockey,hockey,119,40,27,34,54,63
406,rec.sport.hockey,for sale,22,21,24,19,17,15
407,rec.sport.hockey,for sale,9,8,14,6,6,2
408,rec.sport.hockey,hockey,145,32,31,31,40,49
409,rec.sport.hockey,hockey,84,48,32,47,41,41
410,rec.sport.hockey,hockey,682,54,46,8,56,48
411,rec.sport.hockey,hockey,404,36,37,6,44,34
412,rec.sport.hockey,hockey,73,15,16,21,14,11
413,rec.sport.hockey,hockey,32,21,23,20,25,17
414,rec.sport.hockey,hockey,108,35,44,36,53,39
415,rec.sport.hockey,hockey,84,27,27,19,24,36
416,rec.sport.hockey,hockey,53,39,21,38,38,40
417,rec.sport.hockey,hockey,211,52,50,65,84,123
418,rec.sport.hockey,hockey,29,17,29,19,13,12
419,rec.sport.hockey,hockey,194,52,28,54,55,97
420,rec.sport.hockey,hockey,104,25,30,45,42,44
421,rec.sport.hockey,hockey,242,21,27,24,42,29
422,rec.sport.hockey,hockey,46,6,15,7,7,7
423,rec.sport.hockey,hockey,83,56,29,33,42,54
424,rec.sport.hockey,hockey,145,34,27,32,57,35
425,rec.sport.hockey,hockey,104,62,50,46,51,59
426,rec.sport.hockey,hockey,12,8,11,8,5,3
427,rec.sport.hockey,hockey,243,17,26,17,41,23
428,rec.sport.hockey,hockey,75,14,28,27,18,13
429,rec.sport.hockey,hockey,116,66,44,83,78,111
430,rec.sport.hockey,hockey,91,18,13,14,27,33
431,rec.sport.hockey,hockey,50,26,11,29,19,23
432,rec.sport.hockey,hockey,70,25,14,17,12,17
433,rec.sport.hockey,hockey,95,17,26,13,16,16
434,rec.sport.hockey,politics misc,39,28,30,43,25,33
435,rec.sport.hockey,hockey,70,22,10,19,30,22
436,rec.sport.hockey,hockey,48,28,12,15,20,26
437,rec.sport.hockey,hockey,21,14,7,13,4,8
438,rec.sport.hockey,hockey,79,33,15,23,32,42
439,rec.sport.hockey,hockey,185,38,23,37,61,70
440,rec.sport.hockey,hockey,50,15,9,11,14,14
441,rec.sport.hockey,hockey,36,30,28,32,15,20
442,rec.sport.hockey,hockey,65,42,44,48,37,37
443,rec.sport.hockey,hockey,138,49,27,29,54,60
444,rec.sport.hockey,hockey,39,7,8,14,7,17
445,rec.sport.hockey,hockey,78,15,17,23,24,24
446,rec.sport.hockey,hockey,82,49,30,57,39,43
447,rec.sport.hockey,hockey,80,32,21,25,14,24
448,rec.sport.hockey,hockey,100,38,18,33,34,43
449,rec.sport.hockey,hockey,74,14,15,18,22,24
450,rec.sport.hockey,hockey,115,29,26,40,40,52
451,rec.sport.hockey,hockey,63,17,21,17,12,26
452,rec.sport.hockey,hockey,105,23,11,18,35,39
453,rec.sport.hockey,hockey,98,30,36,31,20,36
454,rec.sport.hockey,for sale,14,10,27,12,8,5
455,rec.sport.hockey,hockey,212,54,29,59,66,89
456,rec.sport.hockey,hockey,102,41,34,35,43,33
457,rec.sport.hockey,hockey,78,44,67,29,50,59
458,rec.sport.hockey,hockey,39,17,35,20,11,12
459,rec.sport.hockey,hockey,121,41,32,40,47,45
460,rec.sport.hockey,hockey,142,49,34,47,67,81
461,rec.sport.hockey,hockey,140,58,39,45,53,53
462,rec.sport.hockey,hockey,179,45,28,42,64,75
463,rec.sport.hockey,hockey,155,27,24,31,40,44
464,rec.sport.hockey,hockey,934,176,142,174,270,238
465,rec.sport.hockey,hockey,161,40,21,55,36,73
466,rec.sport.hockey,hockey,157,36,37,34,46,56
467,rec.sport.hockey,hockey,250,22,27,27,41,31
468,rec.sport.hockey,hockey,114,52,46,36,54,67
469,rec.sport.hockey,hockey,349,20,21,17,19,20
470,rec.sport.hockey,hockey,47,28,31,26,26,22
471,rec.sport.hockey,hockey,250,64,43,59,80,99
472,rec.sport.hockey,apple hardware,4,23,20,4,13,5
473,rec.sport.hockey,hockey,275,76,50,69,104,116
474,rec.sport.hockey,hockey,62,21,21,19,26,21
475,rec.sport.hockey,hockey,56,17,13,14,9,13
476,rec.sport.hockey,hockey,62,16,22,22,22,28
477,rec.sport.hockey,hockey,103,13,10,6,17,7
478,rec.sport.hockey,hockey,38,34,28,33,27,28
479,rec.sport.hockey,hockey,117,10,18,12,21,4
480,rec.sport.hockey,hockey,344,113,176,86,88,58
481,rec.sport.hockey,hockey,762,87,87,56,48,40
482,rec.sport.hockey,hockey,40,26,23,15,15,17
483,rec.sport.hockey,hockey,75,11,12,17,16,25
484,rec.sport.hockey,hockey,66,20,17,22,20,16
485,rec.sport.hockey,for sale,27,18,30,24,23,27
486,rec.sport.hockey,for sale,38,33,52,33,24,31
487,rec.sport.hockey,hockey,99,34,35,46,39,58
488,rec.sport.hockey,hockey,129,55,25,73,72,79
489,rec.sport.hockey,hockey,52,19,13,18,18,24
490,rec.sport.hockey,hockey,207,60,55,55,79,75
491,rec.sport.hockey,hockey,98,23,18,24,33,33
492,rec.sport.hockey,hockey,128,42,26,33,40,45
493,rec.sport.hockey,hockey,75,18,12,21,22,27
494,rec.sport.hockey,hockey,53,16,13,18,10,16
495,rec.sport.hockey,hockey,141,47,28,63,59,64
496,rec.sport.hockey,hockey,97,29,22,24,33,38
497,rec.sport.hockey,hockey,144,45,45,70,46,58
498,rec.sport.hockey,hockey,32,12,19,10,19,11
499,rec.sport.hockey,hockey,38,12,19,22,10,22
500,rec.sport.hockey,for sale,29,23,34,24,25,26
501,rec.sport.hockey,hockey,194,53,64,50,78,73
502,rec.sport.hockey,hockey,29,12,12,9,7,6
503,rec.sport.hockey,politics misc,10,12,11,16,11,16
504,rec.sport.hockey,for sale,5,3,9,6,9,3
505,rec.sport.hockey,hockey,82,45,20,40,43,42
506,rec.sport.hockey,hockey,281,67,49,57,101,114
507,rec.sport.hockey,hockey,61,34,25,34,31,33
508,rec.sport.hockey,hockey,56,12,10,15,22,24
509,rec.sport.hockey,hockey,99,28,26,26,19,25
510,rec.sport.hockey,hockey,72,25,23,24,26,27
511,rec.sport.hockey,hockey,117,48,43,48,65,73
512,rec.sport.hockey,hockey,141,61,41,73,93,84
513,rec.sport.hockey,hockey,18,12,8,10,10,8
514,rec.sport.hockey,hockey,53,20,14,27,15,15
515,rec.sport.hockey,for sale,11,17,21,15,11,8
516,rec.sport.hockey,hockey,42,21,20,20,17,23
517,rec.sport.hockey,hockey,40,17,31,17,10,18
518,rec.sport.hockey,for sale,6,4,9,6,9,4
519,rec.sport.hockey,hockey,43,18,10,18,15,15
520,rec.sport.hockey,hockey,3493,1174,1329,923,1542,1204
521,rec.sport.hockey,hockey,49,33,36,28,34,42
522,rec.sport.hockey,hockey,44,21,33,24,15,20
523,rec.sport.hockey,hockey,115,45,31,32,61,59
524,rec.sport.hockey,hockey,134,71,34,54,86,95
525,rec.sport.hockey,hockey,128,50,32,39,48,59
526,rec.sport.hockey,hockey,76,29,26,34,34,52
527,rec.sport.hockey,hockey,88,17,17,18,25,22
528,rec.sport.hockey,hockey,80,36,24,37,42,46
529,rec.sport.hockey,hockey,88,43,33,37,37,52
530,rec.sport.hockey,hockey,128,48,26,54,67,69
531,rec.sport.hockey,hockey,406,162,81,135,237,224
532,rec.sport.hockey,hockey,252,24,25,4,40,18
533,rec.sport.hockey,hockey,31,20,16,18,15,23
