document,actual,for sale,guns,atheism,electronics,apple hardware,religion misc
149,religion misc,6.44,13.37,10.4,13.86,6.93,49.01
150,religion misc,4.28,14.5,35.75,5.44,3.46,36.57
151,religion misc,11.69,7.14,20.13,12.34,7.79,40.91
152,atheism,6.09,6.96,61.3,7.39,12.17,6.09
153,religion misc,9.68,10.97,17.42,7.1,20.0,34.84
154,religion misc,11.02,10.17,25.42,10.17,12.71,30.51
155,atheism,5.69,11.37,37.79,6.35,6.69,32.11
156,apple hardware,9.62,16.67,26.28,10.26,28.85,8.33
157,religion misc,7.91,8.47,15.25,9.6,9.6,49.15
158,atheism,10.53,9.65,24.56,9.65,23.68,21.93
159,religion misc,9.84,10.66,15.57,8.2,16.39,39.34
160,religion misc,7.73,7.73,13.81,16.02,19.89,34.81
161,atheism,3.78,16.22,43.78,7.97,2.24,26.01
162,religion misc,15.53,14.29,11.8,18.01,13.04,27.33
163,atheism,4.61,14.47,34.21,12.5,5.26,28.95
164,religion misc,7.27,7.27,27.27,11.52,10.91,35.76
165,atheism,9.63,8.26,55.96,10.09,9.63,6.42
166,atheism,4.78,8.61,37.32,11.48,11.0,26.79
167,atheism,5.26,5.74,60.29,11.48,8.61,8.61
168,atheism,3.35,10.77,43.78,5.98,3.11,33.01
169,atheism,9.03,6.6,51.39,7.29,9.38,16.32
170,religion misc,4.72,9.06,18.11,12.6,6.3,49.21
171,atheism,3.98,8.37,58.96,12.75,7.17,8.76
172,religion misc,3.43,18.79,23.04,8.01,3.92,42.81
173,atheism,7.47,10.34,50.57,8.05,12.07,11.49
174,atheism,8.8,14.81,40.28,9.72,13.89,12.5
175,atheism,4.17,6.67,70.36,6.43,5.6,6.79
176,religion misc,6.57,7.58,13.13,10.1,9.09,53.54
177,atheism,8.2,14.75,37.16,12.02,13.11,14.75
178,atheism,3.65,12.65,65.69,7.06,5.35,5.6
179,atheism,3.0,3.53,81.66,4.59,3.17,4.06
180,atheism,13.21,12.58,29.56,13.84,10.06,20.75
181,religion misc,13.28,12.5,18.75,10.16,11.72,33.59
182,atheism,12.34,12.99,37.66,9.74,8.44,18.83
183,atheism,13.38,9.15,33.8,9.15,9.86,24.65
184,religion misc,16.06,12.41,21.17,10.95,16.79,22.63
185,religion misc,17.19,15.62,14.06,10.16,16.41,26.56
186,religion misc,14.04,15.2,18.71,11.7,14.62,25.73
187,atheism,4.55,5.35,56.15,9.36,3.74,20.86
188,religion misc,15.46,12.37,14.43,10.31,11.34,36.08
189,atheism,3.53,7.25,44.42,5.02,3.16,36.62
190,religion misc,3.25,16.57,30.01,5.71,2.91,41.55
191,religion misc,8.11,18.92,13.13,14.29,6.56,39.0
192,atheism,2.03,9.15,75.31,4.97,3.05,5.48
193,atheism,1.16,8.27,80.73,5.41,1.39,3.04
194,atheism,8.28,3.49,36.48,13.52,29.65,8.58
195,atheism,7.75,13.18,34.11,11.63,15.5,17.83
196,atheism,12.95,17.99,23.74,20.86,14.39,10.07
197,religion misc,8.51,8.51,14.89,7.8,19.86,40.43
198,atheism,3.49,15.58,60.23,2.79,4.88,13.02
199,religion misc,6.61,6.17,22.03,6.17,7.05,51.98
200,atheism,15.03,16.99,19.61,13.07,17.65,17.65
201,religion misc,6.22,12.92,21.05,14.83,11.96,33.01
202,religion misc,15.6,11.93,18.35,12.84,12.84,28.44
203,atheism,2.2,4.63,66.67,8.91,1.74,15.86
204,religion misc,5.32,10.99,25.18,8.51,7.45,42.55
205,atheism,9.48,13.79,33.62,11.21,18.97,12.93
206,atheism,14.29,16.81,32.77,13.45,10.92,11.76
207,guns,13.01,27.51,16.73,12.27,10.41,20.07
208,atheism,7.04,8.54,54.27,10.05,8.04,12.06
209,guns,8.18,22.27,21.82,10.91,18.18,18.64
210,atheism,8.8,25.6,26.0,12.0,12.0,15.6
211,religion misc,11.11,11.11,14.14,12.12,14.14,37.37
212,religion misc,8.33,10.71,25.6,8.93,6.55,39.88
213,religion misc,11.51,10.07,17.27,13.67,12.95,34.53
214,religion misc,9.32,13.04,16.15,11.18,11.18,39.13
215,atheism,6.28,9.62,35.56,12.13,14.64,21.76
216,atheism,7.93,11.59,32.32,10.37,13.41,24.39
217,religion misc,11.76,16.47,16.47,12.94,20.0,22.35
218,atheism,5.97,8.71,65.42,5.97,7.46,6.47
219,religion misc,8.59,8.59,17.18,7.98,6.75,50.92
220,atheism,11.61,12.26,32.9,12.9,12.9,17.42
221,religion misc,9.15,11.11,20.26,11.76,13.07,34.64
222,religion misc,8.78,14.19,8.78,12.84,8.11,47.3
223,atheism,9.82,14.11,28.83,11.04,16.56,19.63
224,religion misc,7.39,13.07,22.73,8.52,10.8,37.5
225,atheism,8.02,9.88,44.44,7.41,11.11,19.14
226,religion misc,7.69,7.69,27.94,5.26,6.07,45.34
227,atheism,9.56,10.29,33.09,10.29,27.21,9.56
228,religion misc,8.46,10.77,24.62,8.08,5.0,43.08
229,religion misc,14.4,15.2,16.0,10.4,11.2,32.8
230,religion misc,6.67,8.07,32.98,8.42,7.02,36.84
231,guns,6.13,31.94,14.19,13.55,12.58,21.61
232,religion misc,5.21,8.33,23.96,10.94,8.85,42.71
233,religion misc,6.93,6.44,11.88,8.42,5.94,60.4
234,religion misc,4.43,22.78,16.14,5.38,4.11,47.15
235,religion misc,3.43,21.57,18.14,12.25,3.19,41.42
236,atheism,7.27,18.64,29.09,9.55,8.18,27.27
237,atheism,4.38,6.4,37.37,13.13,6.06,32.66
238,religion misc,10.74,8.72,26.85,12.75,12.08,28.86
239,atheism,4.99,11.63,62.05,6.37,9.42,5.54
240,religion misc,6.38,8.09,16.17,12.34,5.53,51.49
241,religion misc,6.29,13.14,16.0,10.86,9.71,44.0
242,atheism,8.09,15.44,36.76,9.56,10.29,19.85
243,religion misc,9.8,9.8,16.34,10.46,9.15,44.44
244,religion misc,7.77,20.39,13.59,7.77,5.83,44.66
245,religion misc,8.28,11.72,22.76,11.72,11.03,34.48
246,religion misc,10.92,14.29,12.61,12.61,16.81,32.77
247,religion misc,6.86,9.71,18.29,8.0,6.86,50.29
248,atheism,12.29,11.86,35.59,11.02,18.64,10.59
249,atheism,4.01,7.02,69.92,6.77,6.27,6.02
250,atheism,5.04,16.45,46.71,11.18,6.36,14.25
251,apple hardware,13.23,20.11,10.58,8.99,35.98,11.11
252,religion misc,4.3,5.63,13.58,8.94,4.64,62.91
253,religion misc,4.51,7.38,9.84,11.07,6.56,60.66
254,religion misc,10.48,10.48,11.43,9.52,11.43,46.67
255,religion misc,8.73,12.7,17.46,9.52,15.87,35.71
256,religion misc,11.28,8.27,14.29,12.78,7.52,45.86
257,religion misc,12.26,8.39,25.81,10.97,8.39,34.19
258,religion misc,10.9,16.03,14.1,10.26,14.74,33.97
259,religion misc,8.3,9.13,15.77,8.3,8.3,50.21
260,religion misc,8.99,11.24,17.42,10.67,12.36,39.33
261,religion misc,9.25,11.45,18.5,9.69,14.54,36.56
262,religion misc,10.06,21.89,17.16,11.83,8.88,30.18
263,guns,9.52,40.48,17.26,7.74,14.29,10.71
264,atheism,11.24,13.65,35.74,12.85,14.06,12.45
265,apple hardware,10.77,13.85,15.38,10.0,35.38,14.62
266,atheism,8.44,14.35,35.86,16.03,13.08,12.24
267,religion misc,3.65,5.62,17.13,13.2,3.65,56.74
268,atheism,6.9,9.85,32.51,12.32,26.11,12.32
269,religion misc,5.98,11.54,28.63,10.26,6.41,37.18
270,religion misc,6.02,8.84,25.7,13.25,6.02,40.16
271,religion misc,14.2,15.98,7.69,18.34,13.02,30.77
272,religion misc,7.94,16.67,11.11,11.11,14.29,38.89
273,religion misc,10.28,11.21,11.21,11.21,11.21,44.86
274,religion misc,7.51,20.23,24.28,8.09,8.09,31.79
275,religion misc,6.95,10.7,20.32,6.95,12.3,42.78
276,religion misc,5.44,12.93,8.84,14.63,12.93,45.24
277,religion misc,9.45,10.24,9.45,8.66,9.45,52.76
278,religion misc,6.29,7.55,11.32,8.18,6.92,59.75
279,religion misc,7.87,9.55,9.55,8.99,7.3,56.74
280,religion misc,10.4,14.4,13.6,12.8,12.0,36.8
281,religion misc,9.25,11.56,20.81,8.67,8.67,41.04
282,religion misc,6.09,9.13,26.52,9.57,10.0,38.7
283,atheism,7.89,9.4,52.63,8.65,8.65,12.78
284,religion misc,7.5,13.5,13.0,10.5,7.5,48.0
285,religion misc,7.17,21.52,23.21,10.55,9.7,27.85
286,religion misc,3.54,10.03,20.65,6.49,5.01,54.28
287,religion misc,7.59,13.29,17.72,12.03,13.29,36.08
288,atheism,7.82,7.82,32.4,7.82,11.73,32.4
289,religion misc,5.83,9.71,24.76,11.17,9.71,38.83
290,guns,5.84,36.5,13.5,13.14,8.39,22.63
291,atheism,6.08,15.5,54.71,6.08,5.78,11.85
292,religion misc,8.0,9.6,10.4,13.6,9.6,48.8
293,atheism,6.02,10.04,62.25,9.24,6.02,6.43
294,religion misc,8.08,14.65,9.09,10.61,6.06,51.52
295,religion misc,6.13,5.66,8.96,6.6,5.66,66.98
296,religion misc,5.56,7.41,14.81,6.94,4.63,60.65
297,religion misc,5.56,19.44,13.89,6.67,7.22,47.22
298,religion misc,9.38,11.72,18.75,10.16,8.59,41.41
299,religion misc,5.81,11.2,14.11,8.3,5.81,54.77
300,religion misc,6.4,17.24,19.21,6.9,8.37,41.87
301,atheism,8.28,13.91,30.46,12.25,23.18,11.92
302,apple hardware,8.19,17.54,24.56,12.87,28.65,8.19
303,atheism,11.52,14.66,28.27,9.95,13.61,21.99
304,atheism,7.22,10.0,44.44,8.33,8.89,21.11
305,religion misc,6.67,10.56,22.22,8.33,6.11,46.11
306,atheism,4.17,19.79,40.36,11.2,5.73,18.75
307,religion misc,10.3,9.09,11.52,10.3,7.88,50.91
308,religion misc,7.22,14.43,15.98,11.86,9.79,40.72
309,religion misc,3.78,6.87,16.15,5.15,4.12,63.92
310,religion misc,7.37,16.84,14.74,9.47,13.68,37.89
311,religion misc,5.49,18.43,25.88,8.63,5.88,35.69
312,religion misc,12.67,8.14,9.5,11.31,8.6,49.77
313,religion misc,8.03,13.14,20.44,11.68,10.22,36.5
314,religion misc,9.22,16.31,15.6,8.51,10.64,39.72
315,religion misc,5.37,6.61,17.36,6.61,5.79,58.26
316,religion misc,10.74,9.4,12.75,9.4,10.07,47.65
317,apple hardware,8.18,13.84,15.72,8.81,41.51,11.95
318,religion misc,11.57,10.74,9.92,8.26,9.92,49.59
319,religion misc,7.45,12.42,14.91,9.32,7.45,48.45
320,religion misc,6.84,7.69,10.26,8.55,4.27,62.39
321,religion misc,9.8,13.47,9.8,13.47,6.94,46.53
322,religion misc,4.7,6.58,12.54,7.21,4.08,64.89
323,religion misc,8.87,9.68,19.35,11.29,8.87,41.94
324,religion misc,7.95,6.62,11.92,9.93,9.27,54.3
325,religion misc,10.0,10.0,10.0,10.91,10.91,48.18
326,religion misc,9.6,14.4,11.2,11.2,10.4,43.2
327,religion misc,7.19,15.83,13.67,9.35,7.91,46.04
328,religion misc,9.76,10.57,13.01,8.13,22.76,35.77
329,religion misc,6.98,10.47,9.88,6.4,7.56,58.72
330,religion misc,5.74,9.02,15.16,6.56,6.56,56.97
331,religion misc,7.08,8.96,32.08,8.96,7.55,35.38
332,religion misc,8.4,15.27,17.56,16.79,11.45,30.53
333,religion misc,9.03,13.89,20.14,11.81,7.64,37.5
334,religion misc,10.0,22.94,14.12,9.41,15.29,28.24
335,religion misc,12.99,11.3,22.03,9.6,10.73,33.33
336,religion misc,7.98,8.59,12.88,8.59,9.2,52.76
337,atheism,6.86,14.29,37.14,12.57,14.29,14.86
338,atheism,6.58,6.58,39.91,10.09,12.72,24.12
339,religion misc,8.84,17.13,10.5,8.84,7.18,47.51
340,religion misc,8.72,12.21,16.86,11.05,9.3,41.86
341,apple hardware,10.84,19.88,12.65,10.84,34.94,10.84
342,atheism,9.77,11.28,41.35,11.28,15.79,10.53
343,atheism,6.81,10.22,40.39,8.76,6.57,27.25
344,atheism,5.9,16.57,59.83,6.18,3.37,8.15
345,atheism,6.33,11.31,33.94,5.88,8.6,33.94
346,atheism,6.21,8.88,44.97,5.92,5.62,28.4
347,religion misc,11.73,11.73,14.81,9.26,12.35,40.12
348,atheism,13.01,15.85,43.9,11.79,10.16,5.28
349,atheism,7.42,10.16,51.95,11.72,11.33,7.42
350,apple hardware,10.69,14.47,17.61,11.32,37.74,8.18
351,guns,4.17,40.77,24.4,7.14,6.85,16.67
352,atheism,9.79,13.29,43.36,6.99,13.99,12.59
353,religion misc,13.33,14.44,13.33,12.22,17.78,28.89
354,atheism,6.02,14.46,60.24,3.61,3.31,12.35
355,religion misc,3.73,13.07,23.47,11.2,4.0,44.53
356,religion misc,5.86,26.55,20.34,6.9,5.52,34.83
357,atheism,9.03,18.75,34.72,13.19,11.81,12.5
358,religion misc,5.66,17.45,21.7,9.43,9.43,36.32
359,guns,1.78,64.19,22.41,3.98,1.47,6.18
360,atheism,4.73,7.75,65.03,6.43,3.78,12.29
361,atheism,8.72,18.79,34.23,10.74,9.4,18.12
362,atheism,9.04,11.3,39.55,10.17,10.73,19.21
363,apple hardware,9.22,22.82,10.19,7.28,32.52,17.96
364,religion misc,7.07,20.11,12.5,7.07,7.07,46.2
365,religion misc,9.32,11.02,11.86,9.32,13.56,44.92
366,atheism,9.92,9.09,42.98,9.92,14.05,14.05
367,atheism,7.86,18.57,41.43,8.57,11.43,12.14
368,religion misc,8.7,8.7,9.94,9.32,11.18,52.17
369,apple hardware,8.88,25.23,14.02,7.48,28.97,15.42
370,apple hardware,12.5,16.96,22.32,11.61,23.21,13.39
371,guns,2.29,58.73,26.04,3.18,2.29,7.47
372,atheism,9.04,10.84,41.57,9.04,12.05,17.47
373,religion misc,8.0,12.8,14.4,10.4,9.6,44.8
374,atheism,3.67,14.34,65.56,7.17,4.02,5.24
375,religion misc,23.19,11.11,17.87,8.7,14.01,25.12
376,religion misc,9.16,9.16,21.37,9.16,19.85,31.3
377,atheism,10.71,11.61,47.32,8.93,12.5,8.93
378,atheism,9.91,9.35,65.05,6.36,3.74,5.61
379,atheism,5.96,17.43,36.7,7.34,21.56,11.01
380,apple hardware,9.26,12.35,12.35,11.73,36.42,17.9
381,apple hardware,12.9,12.9,15.32,9.68,26.61,22.58
382,religion misc,9.09,11.57,19.01,9.92,9.92,40.5
383,atheism,15.12,13.95,24.42,15.12,15.12,16.28
384,apple hardware,11.84,14.47,20.39,14.47,26.32,12.5
385,atheism,8.2,11.72,43.75,8.98,6.25,21.09
386,religion misc,5.77,22.6,13.46,10.58,7.69,39.9
387,religion misc,8.7,9.24,14.67,8.7,9.24,49.46
388,apple hardware,10.57,16.26,22.76,11.38,29.27,9.76
389,religion misc,12.37,16.49,17.53,13.4,17.53,22.68
390,apple hardware,14.05,9.09,17.36,9.92,29.75,19.83
391,atheism,6.42,11.47,47.71,11.01,5.05,18.35
392,atheism,12.69,13.71,39.09,9.64,5.58,19.29
393,religion misc,19.38,9.3,23.26,8.53,10.85,28.68
394,religion misc,10.42,10.42,20.83,12.5,11.11,34.72
395,apple hardware,8.97,8.28,14.48,7.59,30.34,30.34
396,atheism,10.87,16.3,31.52,9.78,7.07,24.46
397,religion misc,10.61,10.61,16.2,11.73,15.08,35.75
398,religion misc,15.0,12.0,14.0,12.0,13.0,34.0
399,religion misc,9.63,17.78,22.22,9.63,8.15,32.59
400,atheism,9.33,7.77,34.72,18.13,8.29,21.76
401,atheism,9.09,9.09,37.37,11.11,13.64,19.7
402,religion misc,16.57,20.44,10.5,9.94,18.78,23.76
403,religion misc,9.16,15.38,15.02,16.85,10.99,32.6
404,apple hardware,6.86,13.73,17.16,11.27,36.76,14.22
405,religion misc,11.39,10.13,15.19,9.49,8.23,45.57
406,religion misc,8.47,10.58,20.63,16.4,11.11,32.8
407,religion misc,7.64,8.92,25.48,11.46,10.83,35.67
408,religion misc,6.28,10.47,24.08,9.42,7.85,41.88
409,religion misc,9.21,7.24,28.29,13.16,8.55,33.55
410,atheism,7.41,16.46,33.33,13.17,15.23,14.4
411,atheism,12.2,12.2,30.89,10.57,17.89,16.26
412,religion misc,9.56,10.29,27.21,10.29,12.5,30.15
413,apple hardware,6.8,22.33,7.77,8.25,45.63,9.22
414,religion misc,9.63,10.37,16.3,9.63,9.63,44.44
415,religion misc,9.92,15.27,13.74,11.45,10.69,38.93
416,religion misc,6.02,22.22,17.59,6.94,10.65,36.57
417,religion misc,6.8,7.2,34.0,10.4,6.4,35.2
418,guns,1.01,57.61,35.29,3.78,0.95,1.36
419,atheism,4.87,9.04,66.43,6.78,3.65,9.22
420,apple hardware,10.34,13.1,22.07,9.66,25.52,19.31
421,atheism,5.88,16.61,32.53,7.61,6.23,31.14
422,apple hardware,11.96,13.04,17.39,11.96,23.91,21.74
423,religion misc,6.98,8.14,23.26,6.98,6.98,47.67
424,religion misc,16.51,11.01,9.17,10.09,24.77,28.44
425,atheism,7.14,15.65,35.37,15.31,5.44,21.09
426,atheism,10.55,20.7,42.97,6.25,10.55,8.98
427,atheism,12.5,16.25,21.25,12.5,17.5,20.0
428,religion misc,13.79,14.37,16.09,10.34,6.9,38.51
429,guns,10.5,24.5,16.0,8.0,22.0,19.0
430,atheism,9.77,8.05,40.23,8.05,14.37,19.54
431,atheism,13.04,13.04,27.17,11.96,17.39,17.39
432,religion misc,12.39,14.16,18.58,16.81,15.04,23.01
433,religion misc,7.09,13.48,18.44,14.18,10.64,36.17
434,religion misc,8.72,18.12,12.75,10.07,12.75,37.58
435,religion misc,9.02,9.02,13.11,9.02,9.84,50.0
436,religion misc,7.89,11.18,23.03,7.24,10.53,40.13
437,atheism,14.58,11.25,24.58,16.25,10.0,23.33
438,religion misc,9.47,12.12,26.14,12.5,4.92,34.85
439,religion misc,5.88,14.34,24.26,8.09,9.19,38.24
440,apple hardware,7.09,7.87,29.53,9.06,32.68,13.78
441,guns,2.19,66.13,18.54,5.4,4.09,3.65
442,religion misc,6.12,17.86,12.24,10.71,11.73,41.33
443,apple hardware,13.68,17.09,11.97,11.97,34.19,11.11
444,atheism,8.66,9.45,31.5,11.81,13.39,25.2
445,atheism,4.2,12.86,40.68,9.19,4.72,28.35
446,atheism,8.57,6.86,50.29,7.43,13.71,13.14
447,religion misc,6.07,8.91,30.77,9.31,6.48,38.46
448,atheism,13.49,15.87,24.6,13.49,15.08,17.46
449,religion misc,9.32,11.86,27.97,12.29,8.47,30.08
450,religion misc,11.3,11.3,13.91,11.3,12.17,40.0
451,religion misc,9.76,9.76,12.2,8.94,8.13,51.22
452,religion misc,9.84,9.02,9.84,10.66,10.66,50.0
453,religion misc,6.64,28.24,13.29,7.64,7.97,36.21
